#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718498.1         -           1253 2668at5820           -            661         0 1156.6  90.8   1   4   9.2e-12   9.9e-09   32.7   0.4     1    36     1    36     1    48 0.88 | transcript=PVPAM_040024200_t1 | gene=PVPAM_040024200 | organism=Plasmodium_vivax_PAM | gene_product=GAF domain-related protein, putative | transcript_product=GAF domain-related protein, putative | location=CASCJQ010000004:806325-810086(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718498.1         -           1253 2668at5820           -            661         0 1156.6  90.8   2   4  8.7e-221  9.3e-218  723.4  14.3    40   351   225   536   220   542 0.99 | transcript=PVPAM_040024200_t1 | gene=PVPAM_040024200 | organism=Plasmodium_vivax_PAM | gene_product=GAF domain-related protein, putative | transcript_product=GAF domain-related protein, putative | location=CASCJQ010000004:806325-810086(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718498.1         -           1253 2668at5820           -            661         0 1156.6  90.8   3   4     2e-10   2.1e-07   28.3  13.2   341   410   568   641   559   705 0.79 | transcript=PVPAM_040024200_t1 | gene=PVPAM_040024200 | organism=Plasmodium_vivax_PAM | gene_product=GAF domain-related protein, putative | transcript_product=GAF domain-related protein, putative | location=CASCJQ010000004:806325-810086(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718498.1         -           1253 2668at5820           -            661         0 1156.6  90.8   4   4  1.8e-119  1.9e-116  388.6  40.9   427   661  1005  1253   952  1253 0.92 | transcript=PVPAM_040024200_t1 | gene=PVPAM_040024200 | organism=Plasmodium_vivax_PAM | gene_product=GAF domain-related protein, putative | transcript_product=GAF domain-related protein, putative | location=CASCJQ010000004:806325-810086(-) | protein_length=1253 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720740.1         -            696 2668at5820           -            661     2e-29  101.1   3.1   1   3      0.72   7.8e+02   -3.3   1.3   402   426   103   128    42   143 0.52 | transcript=PVPAM_090050500_t1 | gene=PVPAM_090050500 | organism=Plasmodium_vivax_PAM | gene_product=TMEM65 domain-containing protein, putative | transcript_product=TMEM65 domain-containing protein, putative | location=CASCJQ010000009:2034023-2036522(-) | protein_length=696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720740.1         -            696 2668at5820           -            661     2e-29  101.1   3.1   2   3   1.9e-32     2e-29  101.1   3.1    37   211   341   528   314   545 0.79 | transcript=PVPAM_090050500_t1 | gene=PVPAM_090050500 | organism=Plasmodium_vivax_PAM | gene_product=TMEM65 domain-containing protein, putative | transcript_product=TMEM65 domain-containing protein, putative | location=CASCJQ010000009:2034023-2036522(-) | protein_length=696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720740.1         -            696 2668at5820           -            661     2e-29  101.1   3.1   3   3     0.077        83   -0.1   0.0   266   314   628   674   617   681 0.85 | transcript=PVPAM_090050500_t1 | gene=PVPAM_090050500 | organism=Plasmodium_vivax_PAM | gene_product=TMEM65 domain-containing protein, putative | transcript_product=TMEM65 domain-containing protein, putative | location=CASCJQ010000009:2034023-2036522(-) | protein_length=696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722416.1         -            131 2668at5820           -            661     0.065   10.2  11.0   1   1   6.9e-05     0.074   10.0  11.0   335   446     7   124     2   130 0.72 | transcript=PVPAM_120065200_t1 | gene=PVPAM_120065200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2454406-2455194(+) | protein_length=131 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 2668at5820           -            661      0.64    6.9  18.2   1   1   0.00073      0.78    6.6  18.2   330   415    49   134    35   137 0.76 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718911.1         -            421 2668at5820           -            661       2.6    4.9  11.9   1   1    0.0031       3.3    4.5  11.9   350   427   120   194   100   268 0.62 | transcript=PVPAM_050030300_t1 | gene=PVPAM_050030300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1046207-1047662(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719311.1         -            327 2668at5820           -            661       4.2    4.2  13.5   1   1    0.0052       5.6    3.8  13.5   354   447   204   297   187   312 0.64 | transcript=PVPAM_060031800_t1 | gene=PVPAM_060031800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:1089970-1090953(+) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2668at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2668at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2668at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:14 2026
# [ok]
