#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720850.1         -            437 8463at5820           -            312  1.1e-174  578.4  42.9   1   2   5.3e-06    0.0029   15.4   8.7     5    41    31    71    23    75 0.76 | transcript=PVPAM_100011600_t1 | gene=PVPAM_100011600 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=CASCJQ010000010:301705-304636(-) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720850.1         -            437 8463at5820           -            312  1.1e-174  578.4  42.9   2   2    3e-174  1.6e-171  568.0  26.2    21   311   121   435   113   436 0.94 | transcript=PVPAM_100011600_t1 | gene=PVPAM_100011600 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=CASCJQ010000010:301705-304636(-) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719233.1         -            281 8463at5820           -            312   1.8e-55  186.9  10.2   1   1   4.3e-58   2.3e-55  186.5  10.2    46   296    27   272    11   279 0.91 | transcript=PVPAM_060024000_t1 | gene=PVPAM_060024000 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=CASCJQ010000006:811347-814019(+) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721534.1         -            284 8463at5820           -            312   2.2e-31  107.7  24.3   1   1   3.2e-33   1.7e-30  104.8  24.3    38   296    18   272     9   283 0.73 | transcript=PVPAM_110043900_t1 | gene=PVPAM_110043900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC2, putative | transcript_product=palmitoyltransferase DHHC2, putative | location=CASCJQ010000011:1610925-1612592(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720442.1         -            294 8463at5820           -            312   3.9e-29  100.3  16.9   1   1   9.3e-32     5e-29  100.0  16.9    39   292     3   254     1   273 0.71 | transcript=PVPAM_090020700_t1 | gene=PVPAM_090020700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=CASCJQ010000009:747788-750049(+) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718451.1         -            272 8463at5820           -            312     7e-21   73.2  15.7   1   1   3.1e-23   1.7e-20   72.0  15.7    43   291    13   254     3   268 0.71 | transcript=PVPAM_040019700_t1 | gene=PVPAM_040019700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC11, putative | transcript_product=palmitoyltransferase DHHC11, putative | location=CASCJQ010000004:629271-631608(+) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723392.1         -           1013 8463at5820           -            312   2.6e-17   61.5  21.8   1   2   4.8e-20   2.6e-17   61.5  21.8    45   277    43   290     3   312 0.66 | transcript=PVPAM_140031100_t1 | gene=PVPAM_140031100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=CASCJQ010000014:1148101-1151923(+) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723392.1         -           1013 8463at5820           -            312   2.6e-17   61.5  21.8   2   2       1.8   9.7e+02   -2.8   0.1    23    61   752   790   738   802 0.71 | transcript=PVPAM_140031100_t1 | gene=PVPAM_140031100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=CASCJQ010000014:1148101-1151923(+) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720493.1         -            289 8463at5820           -            312     4e-15   54.3  24.6   1   1   1.2e-17   6.3e-15   53.6  24.6    81   255    60   243    25   257 0.68 | transcript=PVPAM_090025800_t1 | gene=PVPAM_090025800 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC3, putative | transcript_product=palmitoyltransferase DHHC3, putative | location=CASCJQ010000009:944948-946649(+) | protein_length=289 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723380.1         -            297 8463at5820           -            312   1.1e-13   49.6  19.4   1   1   3.1e-16   1.7e-13   49.0  19.4    39   221    36   218    17   275 0.70 | transcript=PVPAM_140029900_t1 | gene=PVPAM_140029900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=CASCJQ010000014:1083862-1086487(+) | protein_length=297 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719773.1         -            525 8463at5820           -            312   2.9e-11   41.6  10.6   1   1   8.4e-14   4.5e-11   41.0  10.6   132   241   302   409   296   422 0.81 | transcript=PVPAM_070038700_t1 | gene=PVPAM_070038700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=CASCJQ010000007:1411119-1414091(-) | protein_length=525 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720269.1         -            611 8463at5820           -            312   1.2e-10   39.6  15.2   1   1   5.9e-13   3.2e-10   38.2  15.2   130   254   429   552   411   597 0.69 | transcript=PVPAM_080049200_t1 | gene=PVPAM_080049200 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=CASCJQ010000008:1907073-1909842(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722131.1         -            641 8463at5820           -            312   1.8e-10   39.0   4.7   1   1   6.1e-13   3.3e-10   38.2   4.7   113   242   417   540   404   579 0.63 | transcript=PVPAM_120036900_t1 | gene=PVPAM_120036900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=CASCJQ010000012:1252674-1255416(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718586.1         -            287 8463at5820           -            312   1.5e-07   29.4  21.6   1   1   4.5e-09   2.4e-06   25.5  21.6   131   276   100   272    13   279 0.58 | transcript=PVPAM_040033100_t1 | gene=PVPAM_040033100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=CASCJQ010000004:1158820-1161025(-) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8463at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8463at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8463at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:14 2026
# [ok]
