#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718072.1         -            585 4740at5820           -            449  2.9e-262  869.0  37.4   1   2  1.3e-117  1.2e-114  382.4  13.8     1   215     5   225     5   279 0.93 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718072.1         -            585 4740at5820           -            449  2.9e-262  869.0  37.4   2   2  4.6e-151  4.2e-148  492.8  15.6   216   449   339   579   319   579 0.95 | transcript=PVPAM_030006800_t1 | gene=PVPAM_030006800 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000003:76714-78471(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 4740at5820           -            449   5.2e-16   57.4  22.2   1   6    0.0013       1.2    6.7   0.0   380   414    96   130    79   135 0.79 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 4740at5820           -            449   5.2e-16   57.4  22.2   2   6   5.1e-09   4.7e-06   24.6   0.4   217   288   137   209   131   216 0.74 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 4740at5820           -            449   5.2e-16   57.4  22.2   3   6    0.0009      0.83    7.3   0.6   379   408   212   242   184   254 0.56 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 4740at5820           -            449   5.2e-16   57.4  22.2   4   6   9.6e-07   0.00089   17.1   0.1    48    84   261   297   254   307 0.92 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 4740at5820           -            449   5.2e-16   57.4  22.2   5   6   4.7e-05     0.043   11.5   0.4    48    88   320   360   310   375 0.81 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720660.1         -            453 4740at5820           -            449   5.2e-16   57.4  22.2   6   6    0.0064       5.9    4.5   0.3   326   395   374   445   361   450 0.69 | transcript=PVPAM_090042500_t1 | gene=PVPAM_090042500 | organism=Plasmodium_vivax_PAM | gene_product=UVB-resistance protein UVR8 homologue | transcript_product=UVB-resistance protein UVR8 homologue | location=CASCJQ010000009:1661953-1663314(-) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 4740at5820           -            449   2.6e-12   45.2  19.4   1   5   0.00044      0.41    8.3   0.2   237   271    72   106    52   113 0.67 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 4740at5820           -            449   2.6e-12   45.2  19.4   2   5   9.6e-06    0.0088   13.8   1.3   235   302   121   188   110   216 0.70 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 4740at5820           -            449   2.6e-12   45.2  19.4   3   5      0.26   2.4e+02   -0.9   0.2    64    84   207   226   190   238 0.65 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 4740at5820           -            449   2.6e-12   45.2  19.4   4   5   0.00019      0.17    9.5   0.1   379   408   240   270   236   285 0.85 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721291.1         -            479 4740at5820           -            449   2.6e-12   45.2  19.4   5   5   7.7e-09   7.1e-06   24.0   0.8   318   414   296   392   276   426 0.78 | transcript=PVPAM_110019300_t1 | gene=PVPAM_110019300 | organism=Plasmodium_vivax_PAM | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=CASCJQ010000011:610069-611508(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 4740at5820           -            449   4.2e-11   41.2   7.7   1   8      0.62   5.7e+02   -2.1   0.0   242   273    21    55    19    61 0.77 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 4740at5820           -            449   4.2e-11   41.2   7.7   2   8   2.6e-05     0.024   12.3   0.0   230   265   226   261   192   279 0.69 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 4740at5820           -            449   4.2e-11   41.2   7.7   3   8      0.22     2e+02   -0.6   0.0   239   274   318   353   313   363 0.71 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721051.1         -           2237 4740at5820           -            449   4.2e-11   41.2   7.7   4   8   4.9e-06    0.0045   14.7   0.1   232   274   364   406   351   411 0.88 | transcript=PVPAM_100031900_t1 | gene=PVPAM_100031900 | organism=Plasmodium_vivax_PAM | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=CASCJQ010000010:1169076-1175789(+) | protein_length=2237 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
