#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719943.1         -            341 9722at5820           -            288  3.1e-157  521.1  36.3   1   3  1.9e-117  1.7e-114  380.9  17.1     1   205     1   214     1   219 0.95 | transcript=PVPAM_080016600_t1 | gene=PVPAM_080016600 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=CASCJQ010000008:576663-578050(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719943.1         -            341 9722at5820           -            288  3.1e-157  521.1  36.3   2   3   7.5e-30   6.9e-27   93.4   1.5   198   256   228   286   225   298 0.93 | transcript=PVPAM_080016600_t1 | gene=PVPAM_080016600 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=CASCJQ010000008:576663-578050(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719943.1         -            341 9722at5820           -            288  3.1e-157  521.1  36.3   3   3   2.8e-19   2.6e-16   58.7   2.7   250   288   303   341   291   341 0.91 | transcript=PVPAM_080016600_t1 | gene=PVPAM_080016600 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 2, putative | transcript_product=ADP,ATP carrier protein 2, putative | location=CASCJQ010000008:576663-578050(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 9722at5820           -            288   1.6e-18   65.9   3.9   1   3   4.6e-17   4.2e-14   51.4   0.4    14   184     5   188     3   188 0.76 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 9722at5820           -            288   1.6e-18   65.9   3.9   2   3   3.7e-07   0.00034   18.9   0.3    66   145   160   243   151   259 0.75 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 9722at5820           -            288   1.6e-18   65.9   3.9   3   3       0.1        94    1.0   0.0    62   105   252   297   247   301 0.74 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 9722at5820           -            288   1.3e-07   30.2  14.1   1   5    0.0011         1    7.5   0.0   203   246    21    63     3    82 0.78 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 9722at5820           -            288   1.3e-07   30.2  14.1   2   5     0.044        41    2.2   1.3    44   104   584   652   577   664 0.77 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 9722at5820           -            288   1.3e-07   30.2  14.1   3   5     0.081        75    1.4   0.1   163   199   667   703   662   710 0.59 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 9722at5820           -            288   1.3e-07   30.2  14.1   4   5   0.00098       0.9    7.7   0.4   131   201   764   829   736   836 0.67 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 9722at5820           -            288   1.3e-07   30.2  14.1   5   5   3.1e-06    0.0028   15.9   0.0   196   261  1004  1071   989  1081 0.81 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
