#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723499.1         -             68 15483at5820          -             56   8.3e-34  113.7   6.1   1   1   6.6e-37   1.1e-33  113.4   6.1     1    56     7    67     7    67 0.95 | transcript=PVPAM_140042200_t1 | gene=PVPAM_140042200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:1579846-1580938(-) | protein_length=68 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723397.1         -             98 15483at5820          -             56   0.00098   17.4   2.3   1   2      0.02        32    2.9   0.6    17    42     7    27     4    47 0.74 | transcript=PVPAM_140031900_t1 | gene=PVPAM_140031900 | organism=Plasmodium_vivax_PAM | gene_product=C-Myc-binding protein, putative | transcript_product=C-Myc-binding protein, putative | location=CASCJQ010000014:1167550-1168027(-) | protein_length=98 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723397.1         -             98 15483at5820          -             56   0.00098   17.4   2.3   2   2     1e-05     0.017   13.5   0.0     8    38    58    89    53    94 0.87 | transcript=PVPAM_140031900_t1 | gene=PVPAM_140031900 | organism=Plasmodium_vivax_PAM | gene_product=C-Myc-binding protein, putative | transcript_product=C-Myc-binding protein, putative | location=CASCJQ010000014:1167550-1168027(-) | protein_length=98 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723044.1         -            340 15483at5820          -             56      0.79    8.1   6.5   1   5       0.4   6.5e+02   -1.2   0.0    22    34   130   142   121   146 0.83 | transcript=PVPAM_130055000_t1 | gene=PVPAM_130055000 | organism=Plasmodium_vivax_PAM | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=CASCJQ010000013:2210932-2211954(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723044.1         -            340 15483at5820          -             56      0.79    8.1   6.5   2   5       1.7   2.7e+03   -3.2   0.0    12    26   170   184   164   188 0.73 | transcript=PVPAM_130055000_t1 | gene=PVPAM_130055000 | organism=Plasmodium_vivax_PAM | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=CASCJQ010000013:2210932-2211954(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723044.1         -            340 15483at5820          -             56      0.79    8.1   6.5   3   5      0.18     3e+02   -0.2   0.1    35    55   249   269   247   270 0.81 | transcript=PVPAM_130055000_t1 | gene=PVPAM_130055000 | organism=Plasmodium_vivax_PAM | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=CASCJQ010000013:2210932-2211954(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723044.1         -            340 15483at5820          -             56      0.79    8.1   6.5   4   5      0.83   1.3e+03   -2.2   0.0    17    25   273   281   272   283 0.85 | transcript=PVPAM_130055000_t1 | gene=PVPAM_130055000 | organism=Plasmodium_vivax_PAM | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=CASCJQ010000013:2210932-2211954(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723044.1         -            340 15483at5820          -             56      0.79    8.1   6.5   5   5   0.00043      0.69    8.3   0.2    19    34   287   302   278   306 0.89 | transcript=PVPAM_130055000_t1 | gene=PVPAM_130055000 | organism=Plasmodium_vivax_PAM | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=CASCJQ010000013:2210932-2211954(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720431.1         -            394 15483at5820          -             56       1.9    6.9   7.7   1   2   0.00028      0.45    8.9   2.8     2    23    81   102    80   105 0.90 | transcript=PVPAM_090019600_t1 | gene=PVPAM_090019600 | organism=Plasmodium_vivax_PAM | gene_product=glycerol-3-phosphate dehydrogenase, putative | transcript_product=glycerol-3-phosphate dehydrogenase, putative | location=CASCJQ010000009:705980-708547(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720431.1         -            394 15483at5820          -             56       1.9    6.9   7.7   2   2       0.4   6.5e+02   -1.2   0.2    13    20   142   149   131   151 0.68 | transcript=PVPAM_090019600_t1 | gene=PVPAM_090019600 | organism=Plasmodium_vivax_PAM | gene_product=glycerol-3-phosphate dehydrogenase, putative | transcript_product=glycerol-3-phosphate dehydrogenase, putative | location=CASCJQ010000009:705980-708547(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
