#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721008.1         -            200 12020at5820          -            161  1.3e-103  342.2  19.9   1   1  1.9e-105  6.6e-103  339.9  19.9     1   161    30   200    30   200 0.97 | transcript=PVPAM_100027700_t1 | gene=PVPAM_100027700 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=CASCJQ010000010:968337-969961(-) | protein_length=200 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720996.1         -            207 12020at5820          -            161   5.1e-57  190.7   4.5   1   1   1.8e-59   6.2e-57  190.4   4.5     1   145    34   179    34   194 0.93 | transcript=PVPAM_100026500_t1 | gene=PVPAM_100026500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=CASCJQ010000010:930208-930831(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717749.1         -            201 12020at5820          -            161   3.4e-42  142.5   6.7   1   1   1.2e-44   4.2e-42  142.2   6.7     1   158    32   192    32   195 0.88 | transcript=PVPAM_010026300_t1 | gene=PVPAM_010026300 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=CASCJQ010000001:951416-952500(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720733.1         -            207 12020at5820          -            161   9.1e-41  137.9   1.5   1   1   3.4e-43   1.1e-40  137.5   1.5     2   155    34   187    33   192 0.97 | transcript=PVPAM_090049800_t1 | gene=PVPAM_090049800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=CASCJQ010000009:1997786-1999218(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723650.1         -            213 12020at5820          -            161   2.9e-40  136.2   0.2   1   1   1.1e-42   3.9e-40  135.8   0.2    10   141    38   168    29   175 0.95 | transcript=PVPAM_140057400_t1 | gene=PVPAM_140057400 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=CASCJQ010000014:2254682-2256145(+) | protein_length=213 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723372.1         -            216 12020at5820          -            161   3.9e-39  132.5   4.4   1   1   1.2e-41   3.9e-39  132.5   4.4     9   147    41   180    33   197 0.93 | transcript=PVPAM_140029100_t1 | gene=PVPAM_140029100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=CASCJQ010000014:1044385-1045933(+) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717926.1         -            194 12020at5820          -            161   8.5e-37  125.0   2.2   1   1   3.1e-39   1.1e-36  124.6   2.2     9   161    37   194    30   194 0.90 | transcript=PVPAM_020015800_t1 | gene=PVPAM_020015800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=CASCJQ010000002:455366-457119(-) | protein_length=194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721950.1         -            229 12020at5820          -            161   1.4e-32  111.2   0.4   1   1   6.5e-35   2.2e-32  110.6   0.4    10   147    40   182    35   195 0.91 | transcript=PVPAM_120018600_t1 | gene=PVPAM_120018600 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=CASCJQ010000012:585822-587159(+) | protein_length=229 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719471.1         -            206 12020at5820          -            161   6.4e-28   96.1   0.5   1   1   2.4e-30     8e-28   95.8   0.5     3   140    32   174    30   197 0.87 | transcript=PVPAM_070008500_t1 | gene=PVPAM_070008500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=CASCJQ010000007:187577-189993(-) | protein_length=206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723272.1         -            205 12020at5820          -            161   1.2e-26   92.0   0.2   1   1   5.9e-29     2e-26   91.2   0.2     6   140    59   192    55   202 0.92 | transcript=PVPAM_140019100_t1 | gene=PVPAM_140019100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=CASCJQ010000014:641770-643260(-) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718501.1         -            245 12020at5820          -            161   1.1e-20   72.6   6.3   1   2       1.4   4.9e+02   -1.0   0.0     2    25    29    52    28    59 0.82 | transcript=PVPAM_040024500_t1 | gene=PVPAM_040024500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=CASCJQ010000004:818004-818741(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
