#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722263.1         -            121 13983at5820          -            111   5.1e-66  218.2   6.4   1   1   6.3e-69   5.8e-66  218.1   6.4     1   111     1   115     1   115 0.98 | transcript=PVPAM_120050000_t1 | gene=PVPAM_120050000 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein | transcript_product=thioredoxin-like protein | location=CASCJQ010000012:1839394-1839759(+) | protein_length=121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722312.1         -            104 13983at5820          -            111   4.9e-09   34.8   0.1   1   1   5.9e-12   5.5e-09   34.6   0.1    28   109    19   101     5   103 0.91 | transcript=PVPAM_120054900_t1 | gene=PVPAM_120054900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=CASCJQ010000012:2015654-2016102(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719696.1         -            133 13983at5820          -            111   6.1e-07   28.0   0.0   1   1   8.2e-10   7.6e-07   27.7   0.0     9   110    25   125    18   126 0.85 | transcript=PVPAM_070031000_t1 | gene=PVPAM_070031000 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=CASCJQ010000007:1124314-1125388(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721909.1         -            157 13983at5820          -            111   5.5e-05   21.7   0.4   1   1   7.3e-08   6.8e-05   21.5   0.4    18   111    62   157    47   157 0.80 | transcript=PVPAM_120014300_t1 | gene=PVPAM_120014300 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=CASCJQ010000012:383174-384266(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718814.1         -            519 13983at5820          -            111    0.0081   14.8   1.5   1   3      0.48   4.4e+02   -0.5   0.1    64   103    62   100    51   105 0.76 | transcript=PVPAM_050020800_t1 | gene=PVPAM_050020800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:683166-685398(-) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718814.1         -            519 13983at5820          -            111    0.0081   14.8   1.5   2   3      0.48   4.4e+02   -0.5   0.1    59    91   173   205   154   227 0.60 | transcript=PVPAM_050020800_t1 | gene=PVPAM_050020800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:683166-685398(-) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718814.1         -            519 13983at5820          -            111    0.0081   14.8   1.5   3   3   8.8e-06    0.0081   14.8   1.5    28    90   257   322   245   330 0.84 | transcript=PVPAM_050020800_t1 | gene=PVPAM_050020800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:683166-685398(-) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720207.1         -            308 13983at5820          -            111     0.022   13.4   0.1   1   1   0.00018      0.16   10.6   0.1    57   104   120   166    51   170 0.73 | transcript=PVPAM_080042900_t1 | gene=PVPAM_080042900 | organism=Plasmodium_vivax_PAM | gene_product=YTH domain-containing protein 2, putative | transcript_product=YTH domain-containing protein 2, putative | location=CASCJQ010000008:1681055-1682992(-) | protein_length=308 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719603.1         -            179 13983at5820          -            111     0.024   13.3   0.2   1   1   4.2e-05     0.038   12.6   0.2     6   101    65   164    58   172 0.76 | transcript=PVPAM_070021700_t1 | gene=PVPAM_070021700 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=CASCJQ010000007:760911-762124(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13983at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13983at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13983at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:06 2026
# [ok]
