#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720269.1         -            611 4261at5820           -            540         0 1038.5  61.0   1   1         0         0 1022.6  61.0     2   535     4   594     3   607 0.93 | transcript=PVPAM_080049200_t1 | gene=PVPAM_080049200 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=CASCJQ010000008:1907073-1909842(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718451.1         -            272 4261at5820           -            540   2.2e-15   55.1   7.2   1   2         2   7.7e+02   -2.8   1.6   241   274    26    60     2    71 0.44 | transcript=PVPAM_040019700_t1 | gene=PVPAM_040019700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC11, putative | transcript_product=palmitoyltransferase DHHC11, putative | location=CASCJQ010000004:629271-631608(+) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718451.1         -            272 4261at5820           -            540   2.2e-15   55.1   7.2   2   2   5.8e-18   2.2e-15   55.1   7.2   374   441    91   160    82   224 0.80 | transcript=PVPAM_040019700_t1 | gene=PVPAM_040019700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC11, putative | transcript_product=palmitoyltransferase DHHC11, putative | location=CASCJQ010000004:629271-631608(+) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721534.1         -            284 4261at5820           -            540   6.4e-15   53.6  15.6   1   1   1.7e-17   6.4e-15   53.6  15.6   373   488    95   231    82   261 0.71 | transcript=PVPAM_110043900_t1 | gene=PVPAM_110043900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC2, putative | transcript_product=palmitoyltransferase DHHC2, putative | location=CASCJQ010000011:1610925-1612592(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722131.1         -            641 4261at5820           -            540   1.5e-14   52.3  10.6   1   2    0.0005      0.19    9.1   0.3    62   211    62   136    23   206 0.66 | transcript=PVPAM_120036900_t1 | gene=PVPAM_120036900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=CASCJQ010000012:1252674-1255416(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722131.1         -            641 4261at5820           -            540   1.5e-14   52.3  10.6   2   2   2.4e-15   9.3e-13   46.5   4.9   373   489   433   553   381   584 0.81 | transcript=PVPAM_120036900_t1 | gene=PVPAM_120036900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=CASCJQ010000012:1252674-1255416(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723380.1         -            297 4261at5820           -            540   1.4e-12   45.9  15.1   1   1   3.6e-15   1.4e-12   45.9  15.1   377   488   128   253   120   274 0.68 | transcript=PVPAM_140029900_t1 | gene=PVPAM_140029900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=CASCJQ010000014:1083862-1086487(+) | protein_length=297 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718586.1         -            287 4261at5820           -            540     4e-12   44.4   8.6   1   1   1.5e-14   5.8e-12   43.8   8.6   368   450    95   175    71   214 0.86 | transcript=PVPAM_040033100_t1 | gene=PVPAM_040033100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=CASCJQ010000004:1158820-1161025(-) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720442.1         -            294 4261at5820           -            540   8.2e-12   43.3  16.2   1   1   6.4e-14   2.4e-11   41.8  16.2   357   488    77   218     2   243 0.67 | transcript=PVPAM_090020700_t1 | gene=PVPAM_090020700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=CASCJQ010000009:747788-750049(+) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719773.1         -            525 4261at5820           -            540   1.8e-09   35.6   7.9   1   1   6.8e-12   2.6e-09   35.1   7.9   373   470   299   399   281   422 0.67 | transcript=PVPAM_070038700_t1 | gene=PVPAM_070038700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC6, putative | transcript_product=palmitoyltransferase DHHC6, putative | location=CASCJQ010000007:1411119-1414091(-) | protein_length=525 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720005.1         -            188 4261at5820           -            540   2.1e-09   35.4   0.9   1   2   3.3e-08   1.2e-05   22.9   0.0   152   209    37    94    29   101 0.93 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
