#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720838.1         -            284 10406at5820          -            229  1.4e-140  464.9  25.4   1   1  2.3e-142  2.1e-139  461.0  25.4     1   229    27   282    27   282 0.96 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721560.1         -            403 10406at5820          -            229    0.0021   16.1   0.5   1   2      0.28   2.6e+02   -0.5   0.6   142   184   154   191    95   225 0.58 | transcript=PVPAM_110046500_t1 | gene=PVPAM_110046500 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000011:1725435-1726859(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721560.1         -            403 10406at5820          -            229    0.0021   16.1   0.5   2   2   2.3e-06    0.0021   16.1   0.5   195   227   360   392   331   394 0.70 | transcript=PVPAM_110046500_t1 | gene=PVPAM_110046500 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000011:1725435-1726859(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720156.1         -           1194 10406at5820          -            229    0.0046   15.1   1.9   1   1   9.5e-06    0.0088   14.1   1.9   188   226  1152  1190  1129  1193 0.76 | transcript=PVPAM_080037800_t1 | gene=PVPAM_080037800 | organism=Plasmodium_vivax_PAM | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=CASCJQ010000008:1496683-1500267(+) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720112.1         -            108 10406at5820          -            229    0.0078   14.3   3.8   1   1   1.6e-05     0.015   13.4   3.8   185   222    61    96    16   100 0.77 | transcript=PVPAM_080033400_t1 | gene=PVPAM_080033400 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=CASCJQ010000008:1279894-1280220(+) | protein_length=108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721388.1         -             89 10406at5820          -            229     0.032   12.3   5.4   1   1   1.7e-05     0.016   13.3   3.6   197   226    50    80    30    82 0.83 | transcript=PVPAM_110029100_t1 | gene=PVPAM_110029100 | organism=Plasmodium_vivax_PAM | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=CASCJQ010000011:1048379-1048648(-) | protein_length=89 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722014.1         -            456 10406at5820          -            229      0.31    9.1   5.2   1   1   0.00066      0.61    8.1   5.2   199   226    20    49     4    52 0.73 | transcript=PVPAM_120025300_t1 | gene=PVPAM_120025300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000012:813981-815351(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717797.1         -            921 10406at5820          -            229      0.51    8.4   6.8   1   3     0.022        21    3.1   1.1   136   192   434   491   429   514 0.71 | transcript=PVPAM_010031100_t1 | gene=PVPAM_010031100 | organism=Plasmodium_vivax_PAM | gene_product=cyclin-like protein, putative | transcript_product=cyclin-like protein, putative | location=CASCJQ010000001:1159362-1162406(-) | protein_length=921 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717797.1         -            921 10406at5820          -            229      0.51    8.4   6.8   2   3      0.22     2e+02   -0.1   0.1    89   122   754   787   745   808 0.82 | transcript=PVPAM_010031100_t1 | gene=PVPAM_010031100 | organism=Plasmodium_vivax_PAM | gene_product=cyclin-like protein, putative | transcript_product=cyclin-like protein, putative | location=CASCJQ010000001:1159362-1162406(-) | protein_length=921 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717797.1         -            921 10406at5820          -            229      0.51    8.4   6.8   3   3    0.0019       1.8    6.6   0.0   138   168   846   876   831   906 0.85 | transcript=PVPAM_010031100_t1 | gene=PVPAM_010031100 | organism=Plasmodium_vivax_PAM | gene_product=cyclin-like protein, putative | transcript_product=cyclin-like protein, putative | location=CASCJQ010000001:1159362-1162406(-) | protein_length=921 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
