#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723814.1         -            611 5171at5820           -            438  1.4e-213  708.1   7.9   1   3   2.2e-83   8.1e-81  270.6   0.0     1   180    16   215    16   220 0.90 | transcript=PVPAM_140073700_t1 | gene=PVPAM_140073700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=CASCJQ010000014:2896289-2899508(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723814.1         -            611 5171at5820           -            438  1.4e-213  708.1   7.9   2   3   2.9e-60     1e-57  194.4   0.0   178   307   239   387   227   410 0.87 | transcript=PVPAM_140073700_t1 | gene=PVPAM_140073700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=CASCJQ010000014:2896289-2899508(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723814.1         -            611 5171at5820           -            438  1.4e-213  708.1   7.9   3   3   2.5e-75   8.8e-73  244.1   3.5   305   438   417   563   394   563 0.91 | transcript=PVPAM_140073700_t1 | gene=PVPAM_140073700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=CASCJQ010000014:2896289-2899508(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720450.1         -            690 5171at5820           -            438   1.3e-87  293.0  18.1   1   3   1.8e-28   6.4e-26   89.7   2.6     3   196    24   231    22   240 0.78 | transcript=PVPAM_090021500_t1 | gene=PVPAM_090021500 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=CASCJQ010000009:776617-778689(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720450.1         -            690 5171at5820           -            438   1.3e-87  293.0  18.1   2   3   1.2e-27   4.4e-25   86.9   0.1   208   307   356   460   340   470 0.81 | transcript=PVPAM_090021500_t1 | gene=PVPAM_090021500 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=CASCJQ010000009:776617-778689(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720450.1         -            690 5171at5820           -            438   1.3e-87  293.0  18.1   3   3   4.1e-39   1.5e-36  124.7   3.2   307   438   532   678   519   678 0.81 | transcript=PVPAM_090021500_t1 | gene=PVPAM_090021500 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=CASCJQ010000009:776617-778689(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718091.1         -            762 5171at5820           -            438   1.6e-26   91.6  19.4   1   4   1.3e-06   0.00047   17.6   0.2     2   122    15   144    14   151 0.69 | transcript=PVPAM_030008700_t1 | gene=PVPAM_030008700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=CASCJQ010000003:185975-188391(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718091.1         -            762 5171at5820           -            438   1.6e-26   91.6  19.4   2   4   7.6e-15   2.7e-12   44.8   2.8   234   315   378   460   370   487 0.86 | transcript=PVPAM_030008700_t1 | gene=PVPAM_030008700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=CASCJQ010000003:185975-188391(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718091.1         -            762 5171at5820           -            438   1.6e-26   91.6  19.4   3   4   7.2e-06    0.0026   15.2   0.1   324   393   617   683   608   707 0.78 | transcript=PVPAM_030008700_t1 | gene=PVPAM_030008700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=CASCJQ010000003:185975-188391(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718091.1         -            762 5171at5820           -            438   1.6e-26   91.6  19.4   4   4   1.6e-08   5.6e-06   23.9   0.9   391   427   715   751   711   759 0.88 | transcript=PVPAM_030008700_t1 | gene=PVPAM_030008700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=CASCJQ010000003:185975-188391(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720437.1         -            495 5171at5820           -            438   1.7e-14   52.0   5.8   1   1   1.1e-16   4.1e-14   50.8   5.8   234   417   283   472   261   483 0.75 | transcript=PVPAM_090020200_t1 | gene=PVPAM_090020200 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:733568-735055(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
