#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720263.1         -            869 4376at5820           -            577  6.2e-293  971.0  59.4   1   6  4.5e-114  3.7e-111  370.8  24.7     1   202     1   213     1   223 0.94 | transcript=PVPAM_080048600_t1 | gene=PVPAM_080048600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=CASCJQ010000008:1887398-1890737(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720263.1         -            869 4376at5820           -            577  6.2e-293  971.0  59.4   2   6   0.00018      0.15    8.9   0.0   194   237   249   297   242   310 0.77 | transcript=PVPAM_080048600_t1 | gene=PVPAM_080048600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=CASCJQ010000008:1887398-1890737(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720263.1         -            869 4376at5820           -            577  6.2e-293  971.0  59.4   3   6  1.7e-125  1.4e-122  408.5   1.8   235   416   342   523   331   575 0.88 | transcript=PVPAM_080048600_t1 | gene=PVPAM_080048600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=CASCJQ010000008:1887398-1890737(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720263.1         -            869 4376at5820           -            577  6.2e-293  971.0  59.4   4   6     0.051        41    0.8   0.1   413   454   634   675   625   687 0.77 | transcript=PVPAM_080048600_t1 | gene=PVPAM_080048600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=CASCJQ010000008:1887398-1890737(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720263.1         -            869 4376at5820           -            577  6.2e-293  971.0  59.4   5   6   6.4e-63   5.2e-60  201.9   3.5   439   569   688   821   676   828 0.94 | transcript=PVPAM_080048600_t1 | gene=PVPAM_080048600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=CASCJQ010000008:1887398-1890737(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720263.1         -            869 4376at5820           -            577  6.2e-293  971.0  59.4   6   6      0.16   1.3e+02   -0.8   0.7   564   577   856   869   851   869 0.83 | transcript=PVPAM_080048600_t1 | gene=PVPAM_080048600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=CASCJQ010000008:1887398-1890737(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720703.1         -            516 4376at5820           -            577   3.7e-64  215.6  46.8   1   2   3.3e-54   2.7e-51  173.2  43.4   104   391    85   390    73   398 0.85 | transcript=PVPAM_090046800_t1 | gene=PVPAM_090046800 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=CASCJQ010000009:1892464-1894014(-) | protein_length=516 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720703.1         -            516 4376at5820           -            577   3.7e-64  215.6  46.8   2   2     5e-14   4.1e-11   40.5   0.1   465   521   439   495   391   505 0.77 | transcript=PVPAM_090046800_t1 | gene=PVPAM_090046800 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=CASCJQ010000009:1892464-1894014(-) | protein_length=516 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719932.1         -            286 4376at5820           -            577     1e-50  171.2  22.8   1   1   1.8e-53   1.4e-50  170.8  22.8    52   241    19   216    10   244 0.77 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717704.1         -            252 4376at5820           -            577     2e-33  114.1  15.7   1   1   2.9e-36   2.4e-33  113.9  15.7   174   365    56   250    19   252 0.72 | transcript=PVPAM_010021800_t1 | gene=PVPAM_010021800 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1d, putative | transcript_product=inner membrane complex protein 1d, putative | location=CASCJQ010000001:788148-789068(-) | protein_length=252 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721843.1         -           1271 4376at5820           -            577     5e-16   56.7  43.4   1   2   6.2e-19     5e-16   56.7  43.4    23   191   544   719   531   733 0.88 | transcript=PVPAM_120007700_t1 | gene=PVPAM_120007700 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=CASCJQ010000012:113463-117642(-) | protein_length=1271 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721843.1         -           1271 4376at5820           -            577     5e-16   56.7  43.4   2   2      0.49   3.9e+02   -2.4  23.3   262   344   760   840   750   851 0.81 | transcript=PVPAM_120007700_t1 | gene=PVPAM_120007700 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=CASCJQ010000012:113463-117642(-) | protein_length=1271 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 4376at5820           -            577   1.5e-08   32.0  36.2   1   4   2.5e-05      0.02   11.8  12.1    99   152    99   152    89   156 0.71 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 4376at5820           -            577   1.5e-08   32.0  36.2   2   4   1.8e-11   1.5e-08   32.0  36.2    78   192   124   236   123   238 0.87 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 4376at5820           -            577   1.5e-08   32.0  36.2   3   4    0.0024       1.9    5.3   9.8    98   139   222   267   217   279 0.76 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
