#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721497.1         -           1004 3350at5820           -            688         0 1013.5  61.6   1   6  9.3e-109    1e-105  353.4   6.4     1   214     1   216     1   220 0.98 | transcript=PVPAM_110040200_t1 | gene=PVPAM_110040200 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=CASCJQ010000011:1482984-1485998(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721497.1         -           1004 3350at5820           -            688         0 1013.5  61.6   2   6   4.2e-30   4.5e-27   93.4   7.2   211   265   257   311   252   314 0.95 | transcript=PVPAM_110040200_t1 | gene=PVPAM_110040200 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=CASCJQ010000011:1482984-1485998(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721497.1         -           1004 3350at5820           -            688         0 1013.5  61.6   3   6  5.1e-128  5.5e-125  417.0  13.2   262   525   362   635   355   641 0.97 | transcript=PVPAM_110040200_t1 | gene=PVPAM_110040200 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=CASCJQ010000011:1482984-1485998(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721497.1         -           1004 3350at5820           -            688         0 1013.5  61.6   4   6   2.3e-22   2.5e-19   67.8   0.0   524   590   700   776   692   782 0.90 | transcript=PVPAM_110040200_t1 | gene=PVPAM_110040200 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=CASCJQ010000011:1482984-1485998(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721497.1         -           1004 3350at5820           -            688         0 1013.5  61.6   5   6   7.6e-31   8.1e-28   95.9   2.5   585   676   836   955   830   962 0.85 | transcript=PVPAM_110040200_t1 | gene=PVPAM_110040200 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=CASCJQ010000011:1482984-1485998(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721497.1         -           1004 3350at5820           -            688         0 1013.5  61.6   6   6    0.0018       1.9    5.4   1.2   672   688   980   996   964   996 0.84 | transcript=PVPAM_110040200_t1 | gene=PVPAM_110040200 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=CASCJQ010000011:1482984-1485998(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720853.1         -            934 3350at5820           -            688   3.9e-39  133.3  38.9   1   1     2e-41   2.1e-38  130.8  38.9    34   488     6   462     1   659 0.87 | transcript=PVPAM_100011900_t1 | gene=PVPAM_100011900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1/2 complex subunit beta, putative | transcript_product=AP-1/2 complex subunit beta, putative | location=CASCJQ010000010:315130-318983(+) | protein_length=934 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718006.1         -            902 3350at5820           -            688   1.1e-15   55.7  11.1   1   3     1e-18   1.1e-15   55.7  11.1    42   206    12   180     7   189 0.79 | transcript=PVPAM_020023700_t1 | gene=PVPAM_020023700 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=CASCJQ010000002:796447-799745(-) | protein_length=902 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718006.1         -            902 3350at5820           -            688   1.1e-15   55.7  11.1   2   3      0.37     4e+02   -2.3   0.2   419   475   231   291   219   300 0.68 | transcript=PVPAM_020023700_t1 | gene=PVPAM_020023700 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=CASCJQ010000002:796447-799745(-) | protein_length=902 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718006.1         -            902 3350at5820           -            688   1.1e-15   55.7  11.1   3   3   6.1e-05     0.065   10.2  25.6   350   608   317   582   301   633 0.75 | transcript=PVPAM_020023700_t1 | gene=PVPAM_020023700 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=CASCJQ010000002:796447-799745(-) | protein_length=902 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722850.1         -           1313 3350at5820           -            688   8.2e-12   43.0   5.0   1   3   7.7e-15   8.2e-12   43.0   5.0    41   174    24   164    16   238 0.86 | transcript=PVPAM_130035200_t1 | gene=PVPAM_130035200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000013:1357192-1361475(-) | protein_length=1313 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
