#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722227.1         -           1449 1473at5820           -           1133         0 2015.8 142.5   1   2         0         0 1451.7 104.4     1   826     1   944     1   963 0.93 | transcript=PVPAM_120046400_t1 | gene=PVPAM_120046400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=CASCJQ010000012:1669064-1673413(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722227.1         -           1449 1473at5820           -           1133         0 2015.8 142.5   2   2  3.6e-173  7.8e-170  565.6  30.1   795  1133  1096  1449  1070  1449 0.86 | transcript=PVPAM_120046400_t1 | gene=PVPAM_120046400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K2, putative | transcript_product=potassium channel K2, putative | location=CASCJQ010000012:1669064-1673413(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 1473at5820           -           1133   2.9e-10   37.2  45.5   1   5   2.4e-12   5.3e-09   33.0  33.9   108   405   570   874   533   952 0.76 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 1473at5820           -           1133   2.9e-10   37.2  45.5   2   5   0.00054       1.2    5.4   5.7   499   560  1051  1113  1005  1141 0.77 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 1473at5820           -           1133   2.9e-10   37.2  45.5   3   5      0.14   2.9e+02   -2.6   1.6   566   612  1259  1305  1235  1363 0.82 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 1473at5820           -           1133   2.9e-10   37.2  45.5   4   5   1.8e-08   3.9e-05   20.2   3.7   892   979  1668  1760  1660  1805 0.79 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723610.1         -           2038 1473at5820           -           1133   2.9e-10   37.2  45.5   5   5     0.064   1.4e+02   -1.5   2.8   546   628  1876  1959  1847  2032 0.73 | transcript=PVPAM_140053400_t1 | gene=PVPAM_140053400 | organism=Plasmodium_vivax_PAM | gene_product=potassium channel K1, putative | transcript_product=potassium channel K1, putative | location=CASCJQ010000014:2078548-2084817(+) | protein_length=2038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 1473at5820           -           1133   9.6e-06   22.2   4.1   1   4   4.9e-07     0.001   15.4  36.7   277   569   548   842   338   854 0.75 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 1473at5820           -           1133   9.6e-06   22.2   4.1   2   4      0.59   1.3e+03   -4.7   4.4   561   664   986  1092   970  1114 0.57 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 1473at5820           -           1133   9.6e-06   22.2   4.1   3   4   4.5e-09   9.6e-06   22.2   4.1   873   957  1200  1285  1196  1316 0.86 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722788.1         -           1678 1473at5820           -           1133   9.6e-06   22.2   4.1   4   4      0.29   6.3e+02   -3.7  14.3   997  1133  1529  1667  1496  1667 0.71 | transcript=PVPAM_130028900_t1 | gene=PVPAM_130028900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1070694-1076003(-) | protein_length=1678 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1473at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1473at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1473at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:19 2026
# [ok]
