#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718103.1         -            772 6055at5820           -            595  1.7e-226  751.8  58.0   1   2     8e-12   2.6e-09   34.6   0.1     1    95     1   148     1   150 0.78 | transcript=PVPAM_030009900_t1 | gene=PVPAM_030009900 | organism=Plasmodium_vivax_PAM | gene_product=rhoptry neck protein 1 | transcript_product=rhoptry neck protein 1 | location=CASCJQ010000003:249275-252075(-) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718103.1         -            772 6055at5820           -            595  1.7e-226  751.8  58.0   2   2  3.3e-215  1.1e-212  706.3  54.8    85   594   170   766   164   767 0.85 | transcript=PVPAM_030009900_t1 | gene=PVPAM_030009900 | organism=Plasmodium_vivax_PAM | gene_product=rhoptry neck protein 1 | transcript_product=rhoptry neck protein 1 | location=CASCJQ010000003:249275-252075(-) | protein_length=772 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720305.1         -            350 6055at5820           -            595   0.00025   18.1   5.2   1   2   7.7e-07   0.00025   18.1   5.2   257   350    77   171    72   214 0.46 | transcript=PVPAM_090006900_t1 | gene=PVPAM_090006900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:143764-144939(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720305.1         -            350 6055at5820           -            595   0.00025   18.1   5.2   2   2       4.6   1.5e+03   -4.2   1.1   281   363   314   329   310   339 0.44 | transcript=PVPAM_090006900_t1 | gene=PVPAM_090006900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:143764-144939(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722901.1         -           1488 6055at5820           -            595   0.00032   17.8  15.7   1   1   9.8e-07   0.00032   17.8  15.7   286   383   426   521   374   618 0.63 | transcript=PVPAM_130040300_t1 | gene=PVPAM_130040300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1560476-1564942(+) | protein_length=1488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 6055at5820           -            595     0.024   11.6  20.2   1   1   8.1e-05     0.026   11.5  20.2   271   359    41   128     3   137 0.48 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721589.1         -            709 6055at5820           -            595     0.066   10.1   4.5   1   1   0.00045      0.14    9.0   4.5   285   331   291   331   271   349 0.48 | transcript=PVPAM_110049400_t1 | gene=PVPAM_110049400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1847928-1850057(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 6055at5820           -            595      0.18    8.7  43.4   1   2   7.5e-05     0.024   11.6  13.4   286   377   206   289   196   352 0.50 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 6055at5820           -            595      0.18    8.7  43.4   2   2     0.033        11    2.9  22.0   285   373   385   469   380   497 0.42 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719309.1         -            437 6055at5820           -            595      0.27    8.1  27.9   1   1    0.0014      0.45    7.4  27.9   258   391   245   383   224   412 0.44 | transcript=PVPAM_060031600_t1 | gene=PVPAM_060031600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:1083235-1084548(+) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 6055at5820           -            595      0.28    8.1  22.3   1   1    0.0016      0.53    7.1  22.3   307   410    49   157    29   187 0.39 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
