#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721096.1         -           1914 595at5820            -           1280         0 2428.2 110.7   1   7   4.6e-89   7.4e-86  287.5   8.2     1   181     1   192     1   198 0.93 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 595at5820            -           1280         0 2428.2 110.7   2   7  2.2e-129  3.5e-126  421.1  13.5   178   391   315   529   307   544 0.96 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 595at5820            -           1280         0 2428.2 110.7   3   7  9.4e-115  1.5e-111  372.6   6.2   389   594   592   799   581   803 0.92 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 595at5820            -           1280         0 2428.2 110.7   4   7     0.064     1e+02   -1.2   0.1   566   585   916   935   913   942 0.85 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 595at5820            -           1280         0 2428.2 110.7   5   7  9.8e-148  1.6e-144  481.9  18.3   581   842  1047  1316  1021  1335 0.93 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 595at5820            -           1280         0 2428.2 110.7   6   7     0.003       4.8    3.2   0.2   840   856  1344  1360  1339  1363 0.90 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721096.1         -           1914 595at5820            -           1280         0 2428.2 110.7   7   7  6.2e-272    1e-268  893.3  22.7   853  1280  1474  1914  1455  1914 0.97 | transcript=PVPAM_100036400_t1 | gene=PVPAM_100036400 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=CASCJQ010000010:1349520-1355445(-) | protein_length=1914 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 595at5820            -           1280     5e-35  119.1  71.1   1   6    0.0084        14    1.7   8.3   140   216   189   265   136   282 0.75 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 595at5820            -           1280     5e-35  119.1  71.1   2   6   5.2e-14   8.5e-11   38.8   1.9   241   391   433   587   419   594 0.80 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 595at5820            -           1280     5e-35  119.1  71.1   3   6   1.1e-13   1.8e-10   37.8   7.4   385   550   634   812   621   833 0.73 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717981.1         -           1684 595at5820            -           1280     5e-35  119.1  71.1   4   6     1e-11   1.6e-08   31.3   0.3   706   826  1037  1157  1032  1169 0.86 | transcript=PVPAM_020021300_t1 | gene=PVPAM_020021300 | organism=Plasmodium_vivax_PAM | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=CASCJQ010000002:685471-690525(+) | protein_length=1684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
