#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720053.1         -            456 6278at5820           -            394  1.1e-248  823.3  20.1   1   2   5.1e-22   8.2e-19   66.4   8.3     5    54    30    80    27   100 0.83 | transcript=PVPAM_080027500_t1 | gene=PVPAM_080027500 | organism=Plasmodium_vivax_PAM | gene_product=methionine aminopeptidase 1b, putative | transcript_product=methionine aminopeptidase 1b, putative | location=CASCJQ010000008:1039199-1040569(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720053.1         -            456 6278at5820           -            394  1.1e-248  823.3  20.1   2   2  1.6e-233  2.6e-230  762.8   4.1    49   394   109   454    97   454 0.98 | transcript=PVPAM_080027500_t1 | gene=PVPAM_080027500 | organism=Plasmodium_vivax_PAM | gene_product=methionine aminopeptidase 1b, putative | transcript_product=methionine aminopeptidase 1b, putative | location=CASCJQ010000008:1039199-1040569(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720859.1         -            323 6278at5820           -            394     4e-65  218.9   1.8   1   1     3e-68   4.9e-65  218.6   1.8    93   377    43   321    28   323 0.94 | transcript=PVPAM_100012700_t1 | gene=PVPAM_100012700 | organism=Plasmodium_vivax_PAM | gene_product=methionine aminopeptidase 1a, putative | transcript_product=methionine aminopeptidase 1a, putative | location=CASCJQ010000010:341765-343724(+) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717780.1         -            691 6278at5820           -            394   9.6e-62  207.7   6.1   1   3     0.004       6.4    4.2   0.1    63   117   152   209   119   212 0.70 | transcript=PVPAM_010029400_t1 | gene=PVPAM_010029400 | organism=Plasmodium_vivax_PAM | gene_product=methionine aminopeptidase 1c, putative | transcript_product=methionine aminopeptidase 1c, putative | location=CASCJQ010000001:1091329-1093404(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717780.1         -            691 6278at5820           -            394   9.6e-62  207.7   6.1   2   3   5.6e-35     9e-32  109.1   3.1   131   255   251   376   234   409 0.90 | transcript=PVPAM_010029400_t1 | gene=PVPAM_010029400 | organism=Plasmodium_vivax_PAM | gene_product=methionine aminopeptidase 1c, putative | transcript_product=methionine aminopeptidase 1c, putative | location=CASCJQ010000001:1091329-1093404(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717780.1         -            691 6278at5820           -            394   9.6e-62  207.7   6.1   3   3   2.8e-30   4.5e-27   93.6   0.0   248   387   543   686   524   690 0.90 | transcript=PVPAM_010029400_t1 | gene=PVPAM_010029400 | organism=Plasmodium_vivax_PAM | gene_product=methionine aminopeptidase 1c, putative | transcript_product=methionine aminopeptidase 1c, putative | location=CASCJQ010000001:1091329-1093404(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722821.1         -            639 6278at5820           -            394   1.2e-08   33.0   3.5   1   3   7.2e-12   1.2e-08   33.0   3.5    11    64     3    56     1    67 0.82 | transcript=PVPAM_130032200_t1 | gene=PVPAM_130032200 | organism=Plasmodium_vivax_PAM | gene_product=HP12 protein homolog, putative | transcript_product=HP12 protein homolog, putative | location=CASCJQ010000013:1247634-1249553(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722821.1         -            639 6278at5820           -            394   1.2e-08   33.0   3.5   2   3    0.0089        14    3.0   0.1   255   328   333   403   308   418 0.69 | transcript=PVPAM_130032200_t1 | gene=PVPAM_130032200 | organism=Plasmodium_vivax_PAM | gene_product=HP12 protein homolog, putative | transcript_product=HP12 protein homolog, putative | location=CASCJQ010000013:1247634-1249553(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722821.1         -            639 6278at5820           -            394   1.2e-08   33.0   3.5   3   3         1   1.7e+03   -3.8   0.2    39    61   535   557   528   607 0.53 | transcript=PVPAM_130032200_t1 | gene=PVPAM_130032200 | organism=Plasmodium_vivax_PAM | gene_product=HP12 protein homolog, putative | transcript_product=HP12 protein homolog, putative | location=CASCJQ010000013:1247634-1249553(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6278at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6278at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6278at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:47 2026
# [ok]
