#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722984.1         -            201 12989at5820          -            162     2e-94  312.4   7.8   1   2   2.8e-97     2e-94  312.4   7.8     1   159     1   163     1   170 0.94 | transcript=PVPAM_130049000_t1 | gene=PVPAM_130049000 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=CASCJQ010000013:1932641-1933491(+) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722984.1         -            201 12989at5820          -            162     2e-94  312.4   7.8   2   2     0.029        21    3.6   0.9   147   162   178   194   165   194 0.79 | transcript=PVPAM_130049000_t1 | gene=PVPAM_130049000 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=CASCJQ010000013:1932641-1933491(+) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718825.1         -             91 12989at5820          -            162   3.8e-07   28.7   0.2   1   1   5.6e-10     4e-07   28.6   0.2    23    76    30    86    14    91 0.84 | transcript=PVPAM_050021900_t1 | gene=PVPAM_050021900 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=CASCJQ010000005:733817-734656(+) | protein_length=91 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722736.1         -            107 12989at5820          -            162     3e-06   25.8   0.1   1   1     5e-09   3.6e-06   25.5   0.1     7    77    20    90    14    99 0.92 | transcript=PVPAM_130023700_t1 | gene=PVPAM_130023700 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=CASCJQ010000013:847546-848322(+) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718801.1         -             83 12989at5820          -            162   0.00012   20.6   0.7   1   1   3.4e-07   0.00025   19.6   0.7     5    73    12    71     8    80 0.81 | transcript=PVPAM_050019500_t1 | gene=PVPAM_050019500 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=CASCJQ010000005:644671-645141(+) | protein_length=83 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720527.1         -            149 12989at5820          -            162   0.00022   19.7   0.0   1   1     4e-07   0.00029   19.3   0.0    16    78    22    81    11   101 0.81 | transcript=PVPAM_090029300_t1 | gene=PVPAM_090029300 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm1, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm1, putative | location=CASCJQ010000009:1124597-1125395(-) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718732.1         -             95 12989at5820          -            162   0.00037   19.0   0.1   1   1   6.7e-07   0.00048   18.6   0.1     6    77     5    70     2    87 0.79 | transcript=PVPAM_050012600_t1 | gene=PVPAM_050012600 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=CASCJQ010000005:363483-364299(-) | protein_length=95 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718425.1         -            101 12989at5820          -            162    0.0022   16.4   0.6   1   1   3.8e-06    0.0027   16.2   0.6    17    74    34    94    25    99 0.75 | transcript=PVPAM_040017100_t1 | gene=PVPAM_040017100 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein Sm D2, putative | transcript_product=small nuclear ribonucleoprotein Sm D2, putative | location=CASCJQ010000004:535886-536424(-) | protein_length=101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722453.1         -            101 12989at5820          -            162    0.0041   15.6   0.1   1   1   6.4e-06    0.0046   15.4   0.1    14    85    23    89    15   101 0.74 | transcript=PVPAM_120069000_t1 | gene=PVPAM_120069000 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=CASCJQ010000012:2619511-2620187(-) | protein_length=101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720553.1         -             86 12989at5820          -            162     0.016   13.7   0.0   1   1   3.5e-05     0.025   13.0   0.0    14    73    21    72    11    83 0.71 | transcript=PVPAM_090031900_t1 | gene=PVPAM_090031900 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=CASCJQ010000009:1225266-1226140(-) | protein_length=86 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12989at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12989at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12989at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:24 2026
# [ok]
