#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723851.1         -            737 6358at5820           -            578         0 1086.6  32.6   1   2       8.5   1.5e+03   -4.2   3.7   504   528    45    66    10    89 0.40 | transcript=PVPAM_140077400_t1 | gene=PVPAM_140077400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DRS1, putative | transcript_product=ATP-dependent RNA helicase DRS1, putative | location=CASCJQ010000014:3037650-3039863(+) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723851.1         -            737 6358at5820           -            578         0 1086.6  32.6   2   2         0         0 1086.6  32.6     6   575    91   693    81   700 0.95 | transcript=PVPAM_140077400_t1 | gene=PVPAM_140077400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DRS1, putative | transcript_product=ATP-dependent RNA helicase DRS1, putative | location=CASCJQ010000014:3037650-3039863(+) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723609.1         -            717 6358at5820           -            578     1e-64  217.5   2.1   1   2   4.1e-13   7.2e-11   39.8   0.0    24    84   283   342   263   353 0.82 | transcript=PVPAM_140053300_t1 | gene=PVPAM_140053300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=CASCJQ010000014:2074214-2076367(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723609.1         -            717 6358at5820           -            578     1e-64  217.5   2.1   2   2   1.7e-54   2.9e-52  176.4   1.1   101   385   403   678   389   704 0.89 | transcript=PVPAM_140053300_t1 | gene=PVPAM_140053300 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=CASCJQ010000014:2074214-2076367(-) | protein_length=717 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 6358at5820           -            578   1.2e-61  207.4  11.1   1   2       9.2   1.6e+03   -4.3   7.7   500   539    17    53     1    69 0.43 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721323.1         -            599 6358at5820           -            578   1.2e-61  207.4  11.1   2   2   6.7e-64   1.2e-61  207.4  11.1    17   390   144   498   129   536 0.90 | transcript=PVPAM_110022600_t1 | gene=PVPAM_110022600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=CASCJQ010000011:735446-737595(+) | protein_length=599 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718426.1         -            536 6358at5820           -            578   1.5e-61  207.1  12.4   1   1   1.9e-63   3.3e-61  206.0  12.4     9   402   119   488   111   526 0.88 | transcript=PVPAM_040017200_t1 | gene=PVPAM_040017200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=CASCJQ010000004:538028-539638(+) | protein_length=536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 6358at5820           -            578   4.1e-60  202.4   0.3   1   1   2.3e-62   4.1e-60  202.4   0.3    22   399   221   587   218   597 0.87 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719270.1         -           1015 6358at5820           -            578   1.7e-58  197.0   3.3   1   1   9.5e-61   1.7e-58  197.0   3.3    32   405   638  1005   627  1008 0.89 | transcript=PVPAM_060027700_t1 | gene=PVPAM_060027700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=CASCJQ010000006:939088-943184(+) | protein_length=1015 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722427.1         -            528 6358at5820           -            578   5.2e-56  188.8   0.0   1   1   4.4e-58   7.7e-56  188.2   0.0    30   404   124   483   117   487 0.90 | transcript=PVPAM_120066400_t1 | gene=PVPAM_120066400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX17, putative | transcript_product=ATP-dependent RNA helicase DDX17, putative | location=CASCJQ010000012:2501497-2504933(-) | protein_length=528 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721049.1         -           1475 6358at5820           -            578   4.3e-53  179.2   2.6   1   2   2.4e-55   4.3e-53  179.2   2.6    30   402   686  1043   677  1066 0.88 | transcript=PVPAM_100031700_t1 | gene=PVPAM_100031700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=CASCJQ010000010:1161244-1165671(-) | protein_length=1475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
