#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718142.1         -            414 6709at5820           -            364  2.6e-196  650.2   8.3   1   1  4.1e-199  3.3e-196  649.8   8.3     1   364    11   414    11   414 0.94 | transcript=PVPAM_030013800_t1 | gene=PVPAM_030013800 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000003:396964-399113(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723007.1         -            376 6709at5820           -            364   1.5e-14   52.1   0.0   1   1   2.9e-17   2.3e-14   51.5   0.0    60   351    72   364    34   373 0.76 | transcript=PVPAM_130051300_t1 | gene=PVPAM_130051300 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000013:2033139-2034419(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723796.1         -            376 6709at5820           -            364   5.3e-14   50.3   0.0   1   1   8.9e-17   7.2e-14   49.9   0.0   136   350   154   363    71   373 0.76 | transcript=PVPAM_140071900_t1 | gene=PVPAM_140071900 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000014:2841759-2842889(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719547.1         -            573 6709at5820           -            364   1.4e-13   48.9   0.2   1   2       0.5     4e+02   -1.9   0.0   229   245   375   391   341   402 0.71 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719547.1         -            573 6709at5820           -            364   1.4e-13   48.9   0.2   2   2   5.7e-16   4.6e-13   47.2   0.1   259   352   458   556   452   568 0.82 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720391.1         -            378 6709at5820           -            364   1.1e-12   45.9   0.0   1   1   1.8e-15   1.5e-12   45.6   0.0    74   359    78   370    54   375 0.78 | transcript=PVPAM_090015600_t1 | gene=PVPAM_090015600 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:565217-567061(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717954.1         -            379 6709at5820           -            364   1.3e-11   42.5   0.3   1   1   2.1e-14   1.7e-11   42.1   0.3    60   350    78   366    11   376 0.74 | transcript=PVPAM_020018600_t1 | gene=PVPAM_020018600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=CASCJQ010000002:565685-568366(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718196.1         -            855 6709at5820           -            364   7.7e-07   26.8   2.2   1   2   5.9e-05     0.048   11.0   0.4   111   204   421   526   391   534 0.79 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718196.1         -            855 6709at5820           -            364   7.7e-07   26.8   2.2   2   2   3.4e-06    0.0027   15.1   0.1   257   306   757   806   727   851 0.80 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 6709at5820           -            364   7.2e-06   23.6   0.0   1   1   1.8e-08   1.4e-05   22.6   0.0   255   351   383   481   377   489 0.74 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6709at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6709at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6709at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:15 2026
# [ok]
