#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721584.1         -           1376 1205at5820           -            896         0 1149.3  80.3   1  10   8.5e-06     0.027   11.1   0.0     8    39    23    55    15    72 0.79 | transcript=PVPAM_110048900_t1 | gene=PVPAM_110048900 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1821123-1825253(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721584.1         -           1376 1205at5820           -            896         0 1149.3  80.3   2  10   2.6e-64   8.4e-61  204.7   6.7    35   165    79   210    74   213 0.96 | transcript=PVPAM_110048900_t1 | gene=PVPAM_110048900 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1821123-1825253(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721584.1         -           1376 1205at5820           -            896         0 1149.3  80.3   3  10   6.6e-10   2.1e-06   24.7   0.1   165   197   237   272   235   276 0.87 | transcript=PVPAM_110048900_t1 | gene=PVPAM_110048900 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1821123-1825253(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721584.1         -           1376 1205at5820           -            896         0 1149.3  80.3   4  10   4.1e-81   1.3e-77  260.3  13.6   198   391   323   547   318   567 0.83 | transcript=PVPAM_110048900_t1 | gene=PVPAM_110048900 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1821123-1825253(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721584.1         -           1376 1205at5820           -            896         0 1149.3  80.3   5  10   6.2e-34     2e-30  104.2   5.3   381   483   576   681   563   690 0.87 | transcript=PVPAM_110048900_t1 | gene=PVPAM_110048900 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1821123-1825253(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721584.1         -           1376 1205at5820           -            896         0 1149.3  80.3   6  10   2.9e-36   9.4e-33  111.9   0.1   482   559   797   874   790   878 0.97 | transcript=PVPAM_110048900_t1 | gene=PVPAM_110048900 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1821123-1825253(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721584.1         -           1376 1205at5820           -            896         0 1149.3  80.3   7  10   5.8e-26   1.9e-22   77.8   0.1   559   626   904   982   900   988 0.86 | transcript=PVPAM_110048900_t1 | gene=PVPAM_110048900 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1821123-1825253(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721584.1         -           1376 1205at5820           -            896         0 1149.3  80.3   8  10   1.6e-35   5.1e-32  109.5   0.7   626   723  1018  1126  1016  1132 0.92 | transcript=PVPAM_110048900_t1 | gene=PVPAM_110048900 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1821123-1825253(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721584.1         -           1376 1205at5820           -            896         0 1149.3  80.3   9  10   8.9e-18   2.9e-14   50.7   0.0   724   765  1171  1212  1169  1218 0.93 | transcript=PVPAM_110048900_t1 | gene=PVPAM_110048900 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1821123-1825253(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721584.1         -           1376 1205at5820           -            896         0 1149.3  80.3  10  10   2.5e-70     8e-67  224.6   6.3   762   896  1235  1376  1229  1376 0.96 | transcript=PVPAM_110048900_t1 | gene=PVPAM_110048900 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1821123-1825253(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 1205at5820           -            896     0.041   10.5  12.7   1   3   2.1e-05     0.068    9.8   2.2   173   236    72   135    65   145 0.95 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
