#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723029.1         -           4106 2224at5820           -           2255         0 2793.3 405.4   1  21   2.7e-40   2.9e-37  126.0   3.8     1    85     9    93     9    98 0.90 | transcript=PVPAM_130053500_t1 | gene=PVPAM_130053500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000013:2131993-2144678(+) | protein_length=4106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723029.1         -           4106 2224at5820           -           2255         0 2793.3 405.4   2  21   5.6e-62     6e-59  198.0  12.1    73   185   117   230   111   238 0.94 | transcript=PVPAM_130053500_t1 | gene=PVPAM_130053500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000013:2131993-2144678(+) | protein_length=4106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723029.1         -           4106 2224at5820           -           2255         0 2793.3 405.4   3  21   1.5e-23   1.6e-20   70.5   5.7   184   261   254   340   248   364 0.79 | transcript=PVPAM_130053500_t1 | gene=PVPAM_130053500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000013:2131993-2144678(+) | protein_length=4106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723029.1         -           4106 2224at5820           -           2255         0 2793.3 405.4   4  21   1.6e-39   1.7e-36  123.5  10.8   265   375   434   566   396   579 0.80 | transcript=PVPAM_130053500_t1 | gene=PVPAM_130053500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000013:2131993-2144678(+) | protein_length=4106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723029.1         -           4106 2224at5820           -           2255         0 2793.3 405.4   5  21  1.6e-111  1.7e-108  362.3  37.4   376   565   660   849   651   852 0.98 | transcript=PVPAM_130053500_t1 | gene=PVPAM_130053500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000013:2131993-2144678(+) | protein_length=4106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723029.1         -           4106 2224at5820           -           2255         0 2793.3 405.4   6  21   1.9e-52     2e-49  166.4   3.3   545   679  1091  1230  1086  1251 0.91 | transcript=PVPAM_130053500_t1 | gene=PVPAM_130053500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000013:2131993-2144678(+) | protein_length=4106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723029.1         -           4106 2224at5820           -           2255         0 2793.3 405.4   7  21     3e-33   3.3e-30  102.6  13.6   705   790  1376  1464  1319  1471 0.80 | transcript=PVPAM_130053500_t1 | gene=PVPAM_130053500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000013:2131993-2144678(+) | protein_length=4106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723029.1         -           4106 2224at5820           -           2255         0 2793.3 405.4   8  21   2.1e-15   2.2e-12   43.5   0.0   789   832  1515  1558  1510  1569 0.92 | transcript=PVPAM_130053500_t1 | gene=PVPAM_130053500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000013:2131993-2144678(+) | protein_length=4106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723029.1         -           4106 2224at5820           -           2255         0 2793.3 405.4   9  21   2.2e-08   2.4e-05   20.2  11.8   832   935  1636  1741  1629  1743 0.71 | transcript=PVPAM_130053500_t1 | gene=PVPAM_130053500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000013:2131993-2144678(+) | protein_length=4106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723029.1         -           4106 2224at5820           -           2255         0 2793.3 405.4  10  21   1.4e-11   1.5e-08   30.8  10.6   878   941  1732  1800  1724  1807 0.85 | transcript=PVPAM_130053500_t1 | gene=PVPAM_130053500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000013:2131993-2144678(+) | protein_length=4106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723029.1         -           4106 2224at5820           -           2255         0 2793.3 405.4  11  21   0.00032      0.34    6.4   5.9   930   961  1815  1846  1808  1853 0.89 | transcript=PVPAM_130053500_t1 | gene=PVPAM_130053500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000013:2131993-2144678(+) | protein_length=4106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
