#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722913.1         -            520 6148at5820           -            431  1.2e-262  869.7  49.2   1   2  8.6e-231  4.3e-228  755.9  38.2     1   344     1   344     1   355 0.99 | transcript=PVPAM_130041500_t1 | gene=PVPAM_130041500 | organism=Plasmodium_vivax_PAM | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=CASCJQ010000013:1614114-1616407(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722913.1         -            520 6148at5820           -            431  1.2e-262  869.7  49.2   2   2   9.5e-38   4.7e-35  119.8   3.2   348   431   423   518   415   518 0.90 | transcript=PVPAM_130041500_t1 | gene=PVPAM_130041500 | organism=Plasmodium_vivax_PAM | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=CASCJQ010000013:1614114-1616407(-) | protein_length=520 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719938.1         -           1167 6148at5820           -            431   7.6e-08   30.1   1.0   1   1   2.2e-10   1.1e-07   29.6   1.0   283   351   355   429   315   442 0.83 | transcript=PVPAM_080016100_t1 | gene=PVPAM_080016100 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000008:552494-555997(-) | protein_length=1167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719969.1         -            609 6148at5820           -            431   3.6e-07   27.9   4.1   1   1   2.7e-09   1.4e-06   26.0   4.1   294   340   559   607   541   609 0.80 | transcript=PVPAM_080019100_t1 | gene=PVPAM_080019100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000008:657157-659188(+) | protein_length=609 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720838.1         -            284 6148at5820           -            431     2e-06   25.4   1.2   1   2       2.5   1.3e+03   -3.6   3.8    34   193   159   186   122   202 0.61 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720838.1         -            284 6148at5820           -            431     2e-06   25.4   1.2   2   2     4e-09     2e-06   25.4   1.2   296   340   234   280   220   284 0.81 | transcript=PVPAM_100010300_t1 | gene=PVPAM_100010300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000010:253460-254795(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719236.1         -            272 6148at5820           -            431   2.6e-06   25.0   2.5   1   3       2.4   1.2e+03   -3.5   0.5   151   187    17    55     8    61 0.59 | transcript=PVPAM_060024300_t1 | gene=PVPAM_060024300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000006:822169-822987(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719236.1         -            272 6148at5820           -            431   2.6e-06   25.0   2.5   2   3       1.2   5.7e+02   -2.4   5.5    18    82    93   163    85   182 0.61 | transcript=PVPAM_060024300_t1 | gene=PVPAM_060024300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000006:822169-822987(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719236.1         -            272 6148at5820           -            431   2.6e-06   25.0   2.5   3   3   5.3e-09   2.6e-06   25.0   2.5   291   340   211   263   190   269 0.83 | transcript=PVPAM_060024300_t1 | gene=PVPAM_060024300 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000006:822169-822987(-) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721560.1         -            403 6148at5820           -            431   3.6e-06   24.6   1.3   1   2       1.4   7.1e+02   -2.7   3.5   133   235    13   118    11   138 0.52 | transcript=PVPAM_110046500_t1 | gene=PVPAM_110046500 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000011:1725435-1726859(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721560.1         -            403 6148at5820           -            431   3.6e-06   24.6   1.3   2   2   7.3e-09   3.6e-06   24.6   1.3   297   342   345   394   331   399 0.72 | transcript=PVPAM_110046500_t1 | gene=PVPAM_110046500 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000011:1725435-1726859(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720156.1         -           1194 6148at5820           -            431   1.7e-05   22.4   2.5   1   1   5.5e-08   2.7e-05   21.7   2.5   286   341  1135  1192  1120  1194 0.84 | transcript=PVPAM_080037800_t1 | gene=PVPAM_080037800 | organism=Plasmodium_vivax_PAM | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=CASCJQ010000008:1496683-1500267(+) | protein_length=1194 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721360.1         -            519 6148at5820           -            431   3.7e-05   21.2   2.7   1   1   1.1e-07   5.6e-05   20.7   2.7   282   341   348   406   334   412 0.82 | transcript=PVPAM_110026300_t1 | gene=PVPAM_110026300 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=CASCJQ010000011:934966-936525(+) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
