#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723432.1         -            164 12598at5820          -            148  5.1e-105  346.1   0.2   1   1  1.3e-107  5.8e-105  345.9   0.2     1   148     1   148     1   148 1.00 | transcript=PVPAM_140035400_t1 | gene=PVPAM_140035400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000014:1293037-1293836(+) | protein_length=164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720109.1         -            160 12598at5820          -            148   2.1e-58  194.9   0.5   1   1     5e-61   2.3e-58  194.7   0.5     1   148     1   148     1   148 0.99 | transcript=PVPAM_080033100_t1 | gene=PVPAM_080033100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000008:1274470-1275087(-) | protein_length=160 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722682.1         -            147 12598at5820          -            148   9.6e-40  134.3   0.1   1   1   2.4e-42   1.1e-39  134.1   0.1     5   142     2   139     1   144 0.97 | transcript=PVPAM_130018300_t1 | gene=PVPAM_130018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:601598-603216(+) | protein_length=147 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719592.1         -            159 12598at5820          -            148   1.6e-35  120.7   0.0   1   1   4.1e-38   1.9e-35  120.4   0.0     4   143     3   150     1   154 0.92 | transcript=PVPAM_070020600_t1 | gene=PVPAM_070020600 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=CASCJQ010000007:727735-728625(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720861.1         -            152 12598at5820          -            148   3.2e-34  116.4   0.0   1   1   8.4e-37   3.9e-34  116.1   0.0     7   134     5   132     2   144 0.95 | transcript=PVPAM_100012900_t1 | gene=PVPAM_100012900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2 13, putative | transcript_product=ubiquitin-conjugating enzyme E2 13, putative | location=CASCJQ010000010:349551-350631(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721294.1         -            202 12598at5820          -            148   1.6e-30  104.4   0.1   1   1   4.7e-33   2.2e-30  103.9   0.1     8   134    13   140     6   148 0.92 | transcript=PVPAM_110019600_t1 | gene=PVPAM_110019600 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000011:619877-621629(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719651.1         -            163 12598at5820          -            148   2.4e-28   97.3   0.5   1   1   8.1e-30   3.7e-27   93.5   0.5     1   143     1   158     1   162 0.89 | transcript=PVPAM_070026500_t1 | gene=PVPAM_070026500 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000007:948202-949547(-) | protein_length=163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721569.1         -            152 12598at5820          -            148   2.7e-26   90.7   0.0   1   1   6.7e-29   3.1e-26   90.5   0.0     6   130     3   128     1   138 0.88 | transcript=PVPAM_110047400_t1 | gene=PVPAM_110047400 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2 PEX4, putative | transcript_product=ubiquitin-conjugating enzyme E2 PEX4, putative | location=CASCJQ010000011:1766059-1767359(+) | protein_length=152 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719294.1         -            191 12598at5820          -            148   3.6e-20   70.8   0.0   1   1     1e-22   4.8e-20   70.4   0.0    37   146    35   146     7   148 0.90 | transcript=PVPAM_060030100_t1 | gene=PVPAM_060030100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000006:1030787-1032223(-) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723788.1         -            150 12598at5820          -            148     6e-20   70.1   0.0   1   1   1.5e-22     7e-20   69.9   0.0    16   137    21   142     2   148 0.92 | transcript=PVPAM_140071100_t1 | gene=PVPAM_140071100 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=CASCJQ010000014:2811631-2812838(+) | protein_length=150 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723003.1         -            301 12598at5820          -            148   2.1e-15   55.3   0.1   1   1   9.4e-18   4.3e-15   54.3   0.1    34   116   185   268   156   279 0.90 | transcript=PVPAM_130050900_t1 | gene=PVPAM_130050900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=CASCJQ010000013:2018252-2020428(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
