#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717787.1         -           1073 2167at5820           -            898         0 1737.6 110.1   1   3         0         0 1672.7  53.9     1   819     1   862     1   864 0.94 | transcript=PVPAM_010030100_t1 | gene=PVPAM_010030100 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=CASCJQ010000001:1123148-1126369(-) | protein_length=1073 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717787.1         -           1073 2167at5820           -            898         0 1737.6 110.1   2   3   4.2e-08   7.3e-06   22.7  44.7   766   850   850   937   847   948 0.49 | transcript=PVPAM_010030100_t1 | gene=PVPAM_010030100 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=CASCJQ010000001:1123148-1126369(-) | protein_length=1073 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717787.1         -           1073 2167at5820           -            898         0 1737.6 110.1   3   3   6.2e-19   1.1e-16   58.6  10.6   775   898   948  1073   931  1073 0.52 | transcript=PVPAM_010030100_t1 | gene=PVPAM_010030100 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=CASCJQ010000001:1123148-1126369(-) | protein_length=1073 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718824.1         -           1726 2167at5820           -            898   6.9e-62  208.1  21.7   1   3   1.5e-36   2.7e-34  116.8   9.0    88   440   438   775   435   778 0.87 | transcript=PVPAM_050021800_t1 | gene=PVPAM_050021800 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000005:727436-732616(+) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718824.1         -           1726 2167at5820           -            898   6.9e-62  208.1  21.7   2   3   1.3e-33   2.3e-31  107.1   4.8   492   649  1329  1485  1322  1490 0.95 | transcript=PVPAM_050021800_t1 | gene=PVPAM_050021800 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000005:727436-732616(+) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718824.1         -           1726 2167at5820           -            898   6.9e-62  208.1  21.7   3   3       3.4     6e+02   -3.5  24.0   678   812  1563  1706  1540  1723 0.50 | transcript=PVPAM_050021800_t1 | gene=PVPAM_050021800 | organism=Plasmodium_vivax_PAM | gene_product=helicase, putative | transcript_product=helicase, putative | location=CASCJQ010000005:727436-732616(+) | protein_length=1726 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 2167at5820           -            898   5.8e-59  198.4  26.1   1   5       1.4   2.5e+02   -2.2  15.8   750   863   170   292   168   318 0.37 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 2167at5820           -            898   5.8e-59  198.4  26.1   2   5   6.2e-36   1.1e-33  114.8  14.0   134   436   324   606   302   610 0.82 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 2167at5820           -            898   5.8e-59  198.4  26.1   3   5   3.4e-31     6e-29   99.1   4.3   490   673   621   806   614   839 0.90 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 2167at5820           -            898   5.8e-59  198.4  26.1   4   5      0.79   1.4e+02   -1.3  11.2   755   859   855   931   803   968 0.40 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 2167at5820           -            898   5.8e-59  198.4  26.1   5   5       2.5   4.3e+02   -3.0   0.5   631   671  1095  1135  1048  1167 0.61 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719194.1         -           3266 2167at5820           -            898   3.7e-57  192.5  11.6   1   5   5.9e-36     1e-33  114.9   2.9   154   435  1405  1685  1386  1696 0.82 | transcript=PVPAM_060020100_t1 | gene=PVPAM_060020100 | organism=Plasmodium_vivax_PAM | gene_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=CASCJQ010000006:651180-660980(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719194.1         -           3266 2167at5820           -            898   3.7e-57  192.5  11.6   2   5   1.7e-29   2.9e-27   93.5   1.5   482   648  1691  1858  1685  1866 0.88 | transcript=PVPAM_060020100_t1 | gene=PVPAM_060020100 | organism=Plasmodium_vivax_PAM | gene_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=CASCJQ010000006:651180-660980(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719194.1         -           3266 2167at5820           -            898   3.7e-57  192.5  11.6   3   5       1.8   3.1e+02   -2.5   3.3   787   821  2338  2365  2326  2390 0.41 | transcript=PVPAM_060020100_t1 | gene=PVPAM_060020100 | organism=Plasmodium_vivax_PAM | gene_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=CASCJQ010000006:651180-660980(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719194.1         -           3266 2167at5820           -            898   3.7e-57  192.5  11.6   4   5       5.1   8.9e+02   -4.0   7.0   788   864  2949  3026  2938  3050 0.35 | transcript=PVPAM_060020100_t1 | gene=PVPAM_060020100 | organism=Plasmodium_vivax_PAM | gene_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=CASCJQ010000006:651180-660980(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719194.1         -           3266 2167at5820           -            898   3.7e-57  192.5  11.6   5   5         5   8.8e+02   -4.0   6.7   804   835  3192  3223  3135  3255 0.60 | transcript=PVPAM_060020100_t1 | gene=PVPAM_060020100 | organism=Plasmodium_vivax_PAM | gene_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=CASCJQ010000006:651180-660980(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718847.1         -           1096 2167at5820           -            898   6.6e-47  158.5  13.8   1   5       5.6   9.8e+02   -4.2   5.1   752   805     5    69     3    94 0.40 | transcript=PVPAM_050024100_t1 | gene=PVPAM_050024100 | organism=Plasmodium_vivax_PAM | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=CASCJQ010000005:821192-825442(+) | protein_length=1096 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
