#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721503.1         -            718 4367at5820           -            599         0 1145.5  45.3   1   3  1.3e-227  1.7e-224  745.4   9.8     3   368     2   394     1   419 0.95 | transcript=PVPAM_110040800_t1 | gene=PVPAM_110040800 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=CASCJQ010000011:1501877-1504033(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721503.1         -            718 4367at5820           -            599         0 1145.5  45.3   2   3   8.5e-88   1.1e-84  283.7  14.0   360   521   443   610   435   615 0.96 | transcript=PVPAM_110040800_t1 | gene=PVPAM_110040800 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=CASCJQ010000011:1501877-1504033(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721503.1         -            718 4367at5820           -            599         0 1145.5  45.3   3   3   9.1e-41   1.2e-37  128.4   5.6   519   599   634   718   627   718 0.95 | transcript=PVPAM_110040800_t1 | gene=PVPAM_110040800 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=CASCJQ010000011:1501877-1504033(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718896.1         -            639 4367at5820           -            599   6.8e-18   63.2   0.2   1   2      0.15   1.9e+02   -1.0   2.4   500   539   296   334   285   339 0.81 | transcript=PVPAM_050028800_t1 | gene=PVPAM_050028800 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000005:994180-996099(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718896.1         -            639 4367at5820           -            599   6.8e-18   63.2   0.2   2   2   5.2e-21   6.8e-18   63.2   0.2   159   301   446   596   421   607 0.86 | transcript=PVPAM_050028800_t1 | gene=PVPAM_050028800 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000005:994180-996099(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720891.1         -            365 4367at5820           -            599   3.8e-09   34.3   0.3   1   2   1.2e-11   1.6e-08   32.2   0.0   171   293    65   185    58   208 0.78 | transcript=PVPAM_100015900_t1 | gene=PVPAM_100015900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=CASCJQ010000010:476880-477977(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720891.1         -            365 4367at5820           -            599   3.8e-09   34.3   0.3   2   2      0.13   1.7e+02   -0.9   0.3   254   300   214   258   177   263 0.63 | transcript=PVPAM_100015900_t1 | gene=PVPAM_100015900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=CASCJQ010000010:476880-477977(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721268.1         -            367 4367at5820           -            599   1.1e-08   32.7   0.6   1   1   1.7e-11   2.2e-08   31.8   0.1   170   293    63   186    58   217 0.78 | transcript=PVPAM_110017000_t1 | gene=PVPAM_110017000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:514354-517480(+) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723016.1         -            570 4367at5820           -            599   6.3e-08   30.2  10.0   1   3      0.97   1.2e+03   -3.8   0.3   519   540    48    69    42    74 0.75 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723016.1         -            570 4367at5820           -            599   6.3e-08   30.2  10.0   2   3   1.1e-07   0.00014   19.2   0.0   174   211   228   265   217   288 0.89 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723016.1         -            570 4367at5820           -            599   6.3e-08   30.2  10.0   3   3   8.5e-07    0.0011   16.2   2.1   215   339   338   467   324   504 0.74 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4367at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4367at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4367at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:12 2026
# [ok]
