#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718136.1         -            880 4091at5820           -            613  3.1e-300  995.3  42.7   1   5   1.4e-31   2.3e-28   97.3   0.7     1    53     6    58     6    62 0.98 | transcript=PVPAM_030013200_t1 | gene=PVPAM_030013200 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000003:376864-379863(-) | protein_length=880 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718136.1         -            880 4091at5820           -            613  3.1e-300  995.3  42.7   2   5  8.1e-148  1.3e-144  481.3   9.8    53   321    93   388    90   392 0.91 | transcript=PVPAM_030013200_t1 | gene=PVPAM_030013200 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000003:376864-379863(-) | protein_length=880 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718136.1         -            880 4091at5820           -            613  3.1e-300  995.3  42.7   3   5   6.3e-34     1e-30  105.1   0.1   321   391   440   511   420   519 0.92 | transcript=PVPAM_030013200_t1 | gene=PVPAM_030013200 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000003:376864-379863(-) | protein_length=880 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718136.1         -            880 4091at5820           -            613  3.1e-300  995.3  42.7   4   5   9.2e-19   1.5e-15   55.0   0.2   392   430   549   587   542   592 0.92 | transcript=PVPAM_030013200_t1 | gene=PVPAM_030013200 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000003:376864-379863(-) | protein_length=880 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718136.1         -            880 4091at5820           -            613  3.1e-300  995.3  42.7   5   5   1.1e-84   1.9e-81  272.7   8.5   432   613   635   836   631   836 0.92 | transcript=PVPAM_030013200_t1 | gene=PVPAM_030013200 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000003:376864-379863(-) | protein_length=880 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722332.1         -            211 4091at5820           -            613     2e-16   57.9   4.3   1   1   1.6e-19   2.6e-16   57.5   4.3    13   181    10   159     4   184 0.82 | transcript=PVPAM_120056900_t2 | gene=PVPAM_120056900 | organism=Plasmodium_vivax_PAM | gene_product=ubiE/COQ5 methyltransferase family/Tellurite resistance protein TehB/Methyltransferase small domain/Methyltransferase domain containing protein, putative | transcript_product=methyltransferase AAMT, putative | location=CASCJQ010000012:2106753-2108251(-) | protein_length=211 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722333.1         -            284 4091at5820           -            613   8.4e-16   55.8   4.4   1   2      0.02        32    1.1   0.2    39    68    16    46     9    63 0.77 | transcript=PVPAM_120056900_t1 | gene=PVPAM_120056900 | organism=Plasmodium_vivax_PAM | gene_product=ubiE/COQ5 methyltransferase family/Tellurite resistance protein TehB/Methyltransferase small domain/Methyltransferase domain containing protein, putative | transcript_product=ubiE/COQ5 methyltransferase family/Tellurite resistance protein TehB/Methyltransferase small domain/Methyltransferase domain containing protein, putative | location=CASCJQ010000012:2106753-2109665(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722333.1         -            284 4091at5820           -            613   8.4e-16   55.8   4.4   2   2   5.2e-19   8.4e-16   55.8   4.4    14   181    84   232    78   256 0.83 | transcript=PVPAM_120056900_t1 | gene=PVPAM_120056900 | organism=Plasmodium_vivax_PAM | gene_product=ubiE/COQ5 methyltransferase family/Tellurite resistance protein TehB/Methyltransferase small domain/Methyltransferase domain containing protein, putative | transcript_product=ubiE/COQ5 methyltransferase family/Tellurite resistance protein TehB/Methyltransferase small domain/Methyltransferase domain containing protein, putative | location=CASCJQ010000012:2106753-2109665(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719608.1         -            245 4091at5820           -            613   0.00068   16.5   0.3   1   2   4.2e-07   0.00068   16.5   0.3    11    99     6   100     2   103 0.67 | transcript=PVPAM_070022200_t1 | gene=PVPAM_070022200 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000007:781370-782107(-) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719608.1         -            245 4091at5820           -            613   0.00068   16.5   0.3   2   2     0.042        67   -0.0   0.4   127   173   151   188   129   213 0.66 | transcript=PVPAM_070022200_t1 | gene=PVPAM_070022200 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000007:781370-782107(-) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4091at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4091at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4091at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:06 2026
# [ok]
