#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723603.1         -           1230 2119at5820           -            997         0 1661.6  21.1   1   2         0         0 1418.8  11.0     2   818    36   955    33   959 0.94 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 2119at5820           -            997         0 1661.6  21.1   2   2   3.7e-75   1.1e-72  243.8   2.4   816   997   981  1208   974  1208 0.91 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 2119at5820           -            997   7.7e-26   88.7  48.3   1   2    0.0012      0.34    7.1   0.3   219   272    98   151    77   154 0.70 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 2119at5820           -            997   7.7e-26   88.7  48.3   2   2   4.6e-27   1.3e-24   84.5  43.2   304   724   154   561   144   567 0.83 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 2119at5820           -            997   1.9e-19   67.5  27.1   1   3      0.43   1.3e+02   -1.4   0.1   576   654   136   221   130   232 0.58 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 2119at5820           -            997   1.9e-19   67.5  27.1   2   3   8.5e-16   2.5e-13   47.3   2.1   298   397   232   331   222   341 0.91 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 2119at5820           -            997   1.9e-19   67.5  27.1   3   3   9.2e-10   2.7e-07   27.3  15.3   544   811   335   619   328   626 0.80 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722175.1         -            443 2119at5820           -            997   3.2e-10   37.0   0.4   1   1   1.7e-12   5.1e-10   36.3   0.4   853   936   341   421   324   442 0.75 | transcript=PVPAM_120041300_t1 | gene=PVPAM_120041300 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000012:1426294-1427794(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 2119at5820           -            997   4.5e-09   33.2  21.9   1   4   5.8e-09   1.7e-06   24.6   2.6   270   400   278   410   260   417 0.83 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 2119at5820           -            997   4.5e-09   33.2  21.9   2   4    0.0011      0.31    7.2   0.3   526   585   429   488   416   498 0.85 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 2119at5820           -            997   4.5e-09   33.2  21.9   3   4      0.17        50   -0.1   0.7   733   810   685   763   667   767 0.80 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
