#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719162.1         -            181 12028at5820          -            181    5e-129  425.6   1.1   1   1  1.9e-131  5.6e-129  425.4   1.1     1   181     1   181     1   181 1.00 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719302.1         -            178 12028at5820          -            181   9.9e-61  203.0   0.4   1   1   3.7e-63   1.1e-60  202.9   0.4     1   176     1   176     1   178 0.99 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 12028at5820          -            181   5.9e-39  132.1   0.6   1   1   2.4e-41   6.9e-39  131.9   0.6    14   175    13   175     1   180 0.92 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718946.1         -            191 12028at5820          -            181   6.1e-30  102.7   0.0   1   1   2.5e-32   7.4e-30  102.4   0.0    14   145    17   148     6   189 0.94 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723329.1         -            207 12028at5820          -            181   3.1e-18   64.5   0.1   1   1   2.2e-20   6.4e-18   63.5   0.1    19   174    17   184    10   190 0.83 | transcript=PVPAM_140024800_t1 | gene=PVPAM_140024800 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000014:866786-867932(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719646.1         -            191 12028at5820          -            181   6.4e-14   50.5   0.1   1   1   2.6e-16   7.8e-14   50.2   0.1     9   179    13   181     1   183 0.89 | transcript=PVPAM_070026000_t1 | gene=PVPAM_070026000 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000007:932498-933855(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717749.1         -            201 12028at5820          -            181   9.8e-14   49.9   1.2   1   1   4.3e-16   1.3e-13   49.5   1.2    18   173    11   167     3   175 0.82 | transcript=PVPAM_010026300_t1 | gene=PVPAM_010026300 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=CASCJQ010000001:951416-952500(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723803.1         -            261 12028at5820          -            181   1.8e-13   49.0   0.0   1   1     9e-16   2.6e-13   48.5   0.0    18   143    64   195    47   206 0.84 | transcript=PVPAM_140072600_t1 | gene=PVPAM_140072600 | organism=Plasmodium_vivax_PAM | gene_product=signal recognition particle receptor subunit beta, putative | transcript_product=signal recognition particle receptor subunit beta, putative | location=CASCJQ010000014:2867218-2868732(+) | protein_length=261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723272.1         -            205 12028at5820          -            181   5.2e-13   47.5   0.0   1   1   2.2e-15   6.4e-13   47.2   0.0    16   140    31   160    18   192 0.78 | transcript=PVPAM_140019100_t1 | gene=PVPAM_140019100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=CASCJQ010000014:641770-643260(-) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721259.1         -            203 12028at5820          -            181   1.9e-11   42.5   0.4   1   1   8.4e-14   2.5e-11   42.1   0.4    16   134    25   152    16   185 0.81 | transcript=PVPAM_110016100_t1 | gene=PVPAM_110016100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000011:452607-453649(-) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721008.1         -            200 12028at5820          -            181     8e-11   40.4   0.6   1   1   3.5e-13     1e-10   40.0   0.6    19   134    10   129     5   160 0.82 | transcript=PVPAM_100027700_t1 | gene=PVPAM_100027700 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=CASCJQ010000010:968337-969961(-) | protein_length=200 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
