#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717667.1         -           3830 221at5820            -           2863         0 4226.5 282.0   1   5  1.5e-229    5e-227  755.2  79.2     1   482     1   583     1   588 0.84 | transcript=PVPAM_010017700_t1 | gene=PVPAM_010017700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=CASCJQ010000001:607785-620736(-) | protein_length=3830 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717667.1         -           3830 221at5820            -           2863         0 4226.5 282.0   2   5  1.2e-166    4e-164  546.5  22.2   464   872   600  1148   586  1155 0.84 | transcript=PVPAM_010017700_t1 | gene=PVPAM_010017700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=CASCJQ010000001:607785-620736(-) | protein_length=3830 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717667.1         -           3830 221at5820            -           2863         0 4226.5 282.0   3   5  4.9e-149  1.7e-146  488.1  12.8   880  1247  1191  1697  1179  1710 0.84 | transcript=PVPAM_010017700_t1 | gene=PVPAM_010017700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=CASCJQ010000001:607785-620736(-) | protein_length=3830 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717667.1         -           3830 221at5820            -           2863         0 4226.5 282.0   4   5  8.8e-204    3e-201  669.7  46.6  1237  1789  1757  2519  1693  2527 0.84 | transcript=PVPAM_010017700_t1 | gene=PVPAM_010017700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=CASCJQ010000001:607785-620736(-) | protein_length=3830 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717667.1         -           3830 221at5820            -           2863         0 4226.5 282.0   5   5         0         0 1782.9  89.7  1789  2863  2549  3830  2538  3830 0.88 | transcript=PVPAM_010017700_t1 | gene=PVPAM_010017700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=CASCJQ010000001:607785-620736(-) | protein_length=3830 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720477.1         -           1963 221at5820            -           2863   3.7e-21   72.2   0.9   1   1   1.7e-23   5.8e-21   71.5   0.9  2676  2857  1781  1958  1776  1963 0.96 | transcript=PVPAM_090024200_t1 | gene=PVPAM_090024200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=CASCJQ010000009:875375-881266(+) | protein_length=1963 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 221at5820            -           2863   2.1e-19   66.4  25.2   1   6     0.035        12    0.8   6.1   148   175  2556  2589  2483  2713 0.63 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 221at5820            -           2863   2.1e-19   66.4  25.2   2   6         5   1.7e+03   -6.3   6.5  2129  2378  3229  3531  3224  3594 0.41 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 221at5820            -           2863   2.1e-19   66.4  25.2   3   6       6.7   2.3e+03   -6.7   3.8   860   947  4462  4551  4454  4553 0.75 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 221at5820            -           2863   2.1e-19   66.4  25.2   4   6       3.2   1.1e+03   -5.7   5.7  2219  2326  6028  6152  5910  6214 0.45 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 221at5820            -           2863   2.1e-19   66.4  25.2   5   6      0.39   1.3e+02   -2.7   9.2   168   272  7327  7434  7220  7452 0.75 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 221at5820            -           2863   2.1e-19   66.4  25.2   6   6     6e-22   2.1e-19   66.4  25.2  2589  2860  8291  8557  7813  8560 0.70 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722718.1         -            360 221at5820            -           2863    0.0068   11.6  35.9   1   1   2.5e-05    0.0086   11.3  35.9  2219  2477    56   329    13   349 0.55 | transcript=PVPAM_130021900_t1 | gene=PVPAM_130021900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:763412-764644(+) | protein_length=360 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
