#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722669.1         -           2007 810at5820            -           1098         0 1863.3 123.2   1   9  5.3e-115  3.4e-111  371.2  12.5     1   187     1   194     1   206 0.96 | transcript=PVPAM_130017000_t1 | gene=PVPAM_130017000 | organism=Plasmodium_vivax_PAM | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=CASCJQ010000013:555603-562616(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722669.1         -           2007 810at5820            -           1098         0 1863.3 123.2   2   9   3.6e-39   2.3e-35  120.1   0.2   181   277   301   400   291   406 0.93 | transcript=PVPAM_130017000_t1 | gene=PVPAM_130017000 | organism=Plasmodium_vivax_PAM | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=CASCJQ010000013:555603-562616(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722669.1         -           2007 810at5820            -           1098         0 1863.3 123.2   3   9   8.3e-94   5.4e-90  301.0  10.7   278   431   441   594   432   599 0.98 | transcript=PVPAM_130017000_t1 | gene=PVPAM_130017000 | organism=Plasmodium_vivax_PAM | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=CASCJQ010000013:555603-562616(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722669.1         -           2007 810at5820            -           1098         0 1863.3 123.2   4   9  1.1e-143    7e-140  466.2  13.4   429   647   632   862   626   865 0.95 | transcript=PVPAM_130017000_t1 | gene=PVPAM_130017000 | organism=Plasmodium_vivax_PAM | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=CASCJQ010000013:555603-562616(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722669.1         -           2007 810at5820            -           1098         0 1863.3 123.2   5   9   3.5e-40   2.2e-36  123.5   6.3   687   869  1204  1393  1185  1410 0.75 | transcript=PVPAM_130017000_t1 | gene=PVPAM_130017000 | organism=Plasmodium_vivax_PAM | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=CASCJQ010000013:555603-562616(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722669.1         -           2007 810at5820            -           1098         0 1863.3 123.2   6   9   2.7e-28   1.8e-24   84.1   0.6   811   867  1437  1493  1419  1509 0.91 | transcript=PVPAM_130017000_t1 | gene=PVPAM_130017000 | organism=Plasmodium_vivax_PAM | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=CASCJQ010000013:555603-562616(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722669.1         -           2007 810at5820            -           1098         0 1863.3 123.2   7   9   3.1e-22     2e-18   64.1   0.2   811   868  1539  1596  1510  1619 0.82 | transcript=PVPAM_130017000_t1 | gene=PVPAM_130017000 | organism=Plasmodium_vivax_PAM | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=CASCJQ010000013:555603-562616(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722669.1         -           2007 810at5820            -           1098         0 1863.3 123.2   8   9   1.5e-13   9.4e-10   35.3   0.0   744   799  1622  1677  1611  1685 0.73 | transcript=PVPAM_130017000_t1 | gene=PVPAM_130017000 | organism=Plasmodium_vivax_PAM | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=CASCJQ010000013:555603-562616(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722669.1         -           2007 810at5820            -           1098         0 1863.3 123.2   9   9  1.2e-103  7.6e-100  333.6  28.4   898  1098  1785  1990  1771  1990 0.92 | transcript=PVPAM_130017000_t1 | gene=PVPAM_130017000 | organism=Plasmodium_vivax_PAM | gene_product=nuclear export mediator factor NEMF, putative | transcript_product=nuclear export mediator factor NEMF, putative | location=CASCJQ010000013:555603-562616(-) | protein_length=2007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/810at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/810at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/810at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:05 2026
# [ok]
