#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718551.1         -            106 14551at5820          -             99   2.7e-60  199.5  13.2   1   1   3.2e-63   3.4e-60  199.2  13.2     1    99     1   106     1   106 0.95 | transcript=PVPAM_040029500_t1 | gene=PVPAM_040029500 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC10, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC10, putative | location=CASCJQ010000004:1028360-1028884(+) | protein_length=106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723394.1         -            435 14551at5820          -             99   1.3e-08   33.7   0.8   1   4       3.4   3.7e+03   -3.0   0.0    53    76    35    58    27    66 0.58 | transcript=PVPAM_140031300_t1 | gene=PVPAM_140031300 | organism=Plasmodium_vivax_PAM | gene_product=transcription elongation factor s-II, putative | transcript_product=transcription elongation factor s-II, putative | location=CASCJQ010000014:1156012-1157319(+) | protein_length=435 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723394.1         -            435 14551at5820          -             99   1.3e-08   33.7   0.8   2   4       2.5   2.7e+03   -2.6   0.2    61    61   112   112    82   143 0.57 | transcript=PVPAM_140031300_t1 | gene=PVPAM_140031300 | organism=Plasmodium_vivax_PAM | gene_product=transcription elongation factor s-II, putative | transcript_product=transcription elongation factor s-II, putative | location=CASCJQ010000014:1156012-1157319(+) | protein_length=435 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723394.1         -            435 14551at5820          -             99   1.3e-08   33.7   0.8   3   4       2.2   2.4e+03   -2.4   0.3    31    52   311   332   292   348 0.65 | transcript=PVPAM_140031300_t1 | gene=PVPAM_140031300 | organism=Plasmodium_vivax_PAM | gene_product=transcription elongation factor s-II, putative | transcript_product=transcription elongation factor s-II, putative | location=CASCJQ010000014:1156012-1157319(+) | protein_length=435 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723394.1         -            435 14551at5820          -             99   1.3e-08   33.7   0.8   4   4   1.2e-11   1.3e-08   33.7   0.8    46    98   382   434   354   435 0.78 | transcript=PVPAM_140031300_t1 | gene=PVPAM_140031300 | organism=Plasmodium_vivax_PAM | gene_product=transcription elongation factor s-II, putative | transcript_product=transcription elongation factor s-II, putative | location=CASCJQ010000014:1156012-1157319(+) | protein_length=435 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718116.1         -            462 14551at5820          -             99   1.1e-06   27.5   3.0   1   2      0.93     1e+03   -1.2   0.5    21    36   292   308   274   320 0.61 | transcript=PVPAM_030011200_t1 | gene=PVPAM_030011200 | organism=Plasmodium_vivax_PAM | gene_product=transcription factor, putative | transcript_product=transcription factor, putative | location=CASCJQ010000003:297525-298913(+) | protein_length=462 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718116.1         -            462 14551at5820          -             99   1.1e-06   27.5   3.0   2   2     1e-09   1.1e-06   27.5   3.0    30    95   393   456   373   459 0.83 | transcript=PVPAM_030011200_t1 | gene=PVPAM_030011200 | organism=Plasmodium_vivax_PAM | gene_product=transcription factor, putative | transcript_product=transcription factor, putative | location=CASCJQ010000003:297525-298913(+) | protein_length=462 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717890.1         -            252 14551at5820          -             99   0.00023   20.1   7.0   1   1   5.8e-07   0.00062   18.7   7.0     3    98     5   115     3   118 0.66 | transcript=PVPAM_020012200_t1 | gene=PVPAM_020012200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB9, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB9, putative | location=CASCJQ010000002:344971-346266(+) | protein_length=252 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722877.1         -           1143 14551at5820          -             99    0.0025   16.8   0.6   1   2       2.3   2.5e+03   -2.5   1.2    21    52   238   269   225   278 0.65 | transcript=PVPAM_130037900_t1 | gene=PVPAM_130037900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1472906-1476337(-) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722877.1         -           1143 14551at5820          -             99    0.0025   16.8   0.6   2   2   2.3e-06    0.0025   16.8   0.6    28    89   846   907   820   920 0.85 | transcript=PVPAM_130037900_t1 | gene=PVPAM_130037900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1472906-1476337(-) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723746.1         -           2143 14551at5820          -             99    0.0043   16.0   1.3   1   1   8.6e-06    0.0093   14.9   1.3     2    52  1102  1151  1101  1171 0.79 | transcript=PVPAM_140067000_t1 | gene=PVPAM_140067000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:2672674-2679105(-) | protein_length=2143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14551at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14551at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14551at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:48 2026
# [ok]
