#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718213.1         -           2697 603at5820            -           1553         0 1805.1  78.9   1  15   3.7e-21   2.4e-17   60.5   0.5     1    87   213   325   213   328 0.72 | transcript=PVPAM_030021300_t1 | gene=PVPAM_030021300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:690621-698835(+) | protein_length=2697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718213.1         -           2697 603at5820            -           1553         0 1805.1  78.9   2  15   3.1e-11     2e-07   27.6   0.0    87   131   371   418   366   421 0.89 | transcript=PVPAM_030021300_t1 | gene=PVPAM_030021300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:690621-698835(+) | protein_length=2697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718213.1         -           2697 603at5820            -           1553         0 1805.1  78.9   3  15   1.8e-65   1.2e-61  207.4   0.6   132   327   464   691   463   693 0.89 | transcript=PVPAM_030021300_t1 | gene=PVPAM_030021300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:690621-698835(+) | protein_length=2697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718213.1         -           2697 603at5820            -           1553         0 1805.1  78.9   4  15   3.8e-38   2.4e-34  116.8   0.0   327   444   741   871   735   875 0.90 | transcript=PVPAM_030021300_t1 | gene=PVPAM_030021300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:690621-698835(+) | protein_length=2697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718213.1         -           2697 603at5820            -           1553         0 1805.1  78.9   5  15   1.1e-43   7.2e-40  135.2   0.0   445   541   904  1000   900  1012 0.93 | transcript=PVPAM_030021300_t1 | gene=PVPAM_030021300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:690621-698835(+) | protein_length=2697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718213.1         -           2697 603at5820            -           1553         0 1805.1  78.9   6  15   3.8e-53   2.4e-49  166.6   2.0   541   650  1110  1219  1104  1223 0.97 | transcript=PVPAM_030021300_t1 | gene=PVPAM_030021300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:690621-698835(+) | protein_length=2697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718213.1         -           2697 603at5820            -           1553         0 1805.1  78.9   7  15   3.9e-80   2.5e-76  256.0  12.9   651   833  1279  1487  1273  1493 0.89 | transcript=PVPAM_030021300_t1 | gene=PVPAM_030021300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:690621-698835(+) | protein_length=2697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718213.1         -           2697 603at5820            -           1553         0 1805.1  78.9   8  15     1e-54   6.6e-51  171.7  16.5   835   995  1533  1719  1530  1757 0.86 | transcript=PVPAM_030021300_t1 | gene=PVPAM_030021300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:690621-698835(+) | protein_length=2697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718213.1         -           2697 603at5820            -           1553         0 1805.1  78.9   9  15   9.8e-05      0.63    6.1   0.0   994  1032  1765  1815  1745  1818 0.88 | transcript=PVPAM_030021300_t1 | gene=PVPAM_030021300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:690621-698835(+) | protein_length=2697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718213.1         -           2697 603at5820            -           1553         0 1805.1  78.9  10  15   2.8e-11   1.8e-07   27.8   0.0  1033  1067  1894  1928  1890  1932 0.93 | transcript=PVPAM_030021300_t1 | gene=PVPAM_030021300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:690621-698835(+) | protein_length=2697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718213.1         -           2697 603at5820            -           1553         0 1805.1  78.9  11  15    1e-110  6.8e-107  357.3   6.3  1064  1336  1968  2276  1964  2279 0.88 | transcript=PVPAM_030021300_t1 | gene=PVPAM_030021300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:690621-698835(+) | protein_length=2697 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
