#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719560.1         -           1463 2732at5820           -           1490         0 2014.2   5.2   1   1         0         0 2010.6   5.2     1  1489     1  1462     1  1463 0.93 | transcript=PVPAM_070017400_t1 | gene=PVPAM_070017400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:622583-626974(-) | protein_length=1463 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 2732at5820           -           1490     1e-26   91.5  28.0   1   4   4.2e-06    0.0045   13.1   0.4    79   115    61    97    56   115 0.88 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 2732at5820           -           1490     1e-26   91.5  28.0   2   4   3.6e-12   3.9e-09   33.2   0.0   285   500   493   734   470   823 0.72 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 2732at5820           -           1490     1e-26   91.5  28.0   3   4   3.9e-06    0.0042   13.2  11.3   852   969   925  1045   875  1096 0.81 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719254.1         -           1504 2732at5820           -           1490     1e-26   91.5  28.0   4   4   3.5e-12   3.7e-09   33.2   3.9  1145  1378  1205  1399  1139  1422 0.77 | transcript=PVPAM_060026100_t1 | gene=PVPAM_060026100 | organism=Plasmodium_vivax_PAM | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=CASCJQ010000006:883561-888075(+) | protein_length=1504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722495.1         -            324 2732at5820           -           1490      0.42    6.6  12.0   1   1   0.00048      0.52    6.3  12.0   534   653    31   156    16   203 0.55 | transcript=PVPAM_120073200_t1 | gene=PVPAM_120073200 | organism=Plasmodium_vivax_PAM | gene_product=copper transporter, putative | transcript_product=copper transporter, putative | location=CASCJQ010000012:2832431-2833581(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722692.1         -            865 2732at5820           -           1490      0.77    5.7  10.3   1   2    0.0084         9    2.1   7.2   606   671    12    76     2   134 0.65 | transcript=PVPAM_130019300_t1 | gene=PVPAM_130019300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000013:629118-632074(+) | protein_length=865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722692.1         -            865 2732at5820           -           1490      0.77    5.7  10.3   2   2    0.0017       1.8    4.4   0.0  1054  1158   474   578   449   601 0.62 | transcript=PVPAM_130019300_t1 | gene=PVPAM_130019300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000013:629118-632074(+) | protein_length=865 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 2732at5820           -           1490      0.96    5.4  10.9   1   1   0.00096         1    5.3  10.9   548   625    52   132     8   134 0.69 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 2732at5820           -           1490       1.1    5.2  16.0   1   1    0.0014       1.5    4.7  16.0   482   639    68   239    64   269 0.50 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2732at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2732at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2732at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:38 2026
# [ok]
