#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720876.1         -            301 11117at5820          -            234  2.2e-112  372.6  49.8   1   2  7.4e-100   4.8e-97  322.4  40.0     1   180     8   197     8   208 0.93 | transcript=PVPAM_100014400_t1 | gene=PVPAM_100014400 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=CASCJQ010000010:410217-411122(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720876.1         -            301 11117at5820          -            234  2.2e-112  372.6  49.8   2   2   4.2e-18   2.7e-15   54.8   3.1   163   230   205   289   196   301 0.77 | transcript=PVPAM_100014400_t1 | gene=PVPAM_100014400 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=CASCJQ010000010:410217-411122(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 11117at5820          -            234   5.9e-27   93.0  47.8   1   3   9.1e-30   5.9e-27   93.0  47.8    23   170    89   237    85   245 0.94 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 11117at5820          -            234   5.9e-27   93.0  47.8   2   3   5.4e-06    0.0035   15.2  25.1    31   153   193   317   193   323 0.80 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 11117at5820          -            234   5.9e-27   93.0  47.8   3   3      0.22   1.4e+02    0.1   2.4    14    51   300   337   291   343 0.81 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718789.1         -            622 11117at5820          -            234   2.3e-23   81.2  35.6   1   2   3.5e-26   2.3e-23   81.2  35.6    18   154    61   198    46   259 0.86 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718789.1         -            622 11117at5820          -            234   2.3e-23   81.2  35.6   2   2       1.7   1.1e+03   -2.8   0.1   184   231   560   612   537   614 0.60 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719932.1         -            286 11117at5820          -            234   4.3e-12   44.3  35.5   1   2    0.0028       1.8    6.3   0.9    44    59    42    57    36    60 0.66 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719932.1         -            286 11117at5820          -            234   4.3e-12   44.3  35.5   2   2   2.8e-14   1.8e-11   42.3  28.5    27   109    59   143    57   160 0.86 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723552.1         -            567 11117at5820          -            234   0.00019   19.3  35.6   1   2   0.00037      0.24    9.2  21.8    14   111   114   213   112   216 0.88 | transcript=PVPAM_140047600_t1 | gene=PVPAM_140047600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=CASCJQ010000014:1811247-1812950(+) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723552.1         -            567 11117at5820          -            234   0.00019   19.3  35.6   2   2   2.9e-07   0.00019   19.3  35.6    16   122   161   277   155   280 0.86 | transcript=PVPAM_140047600_t1 | gene=PVPAM_140047600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=CASCJQ010000014:1811247-1812950(+) | protein_length=567 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721340.1         -            802 11117at5820          -            234    0.0015   16.4   1.6   1   2   2.2e-05     0.014   13.2   2.3    63   178   128   247   103   261 0.77 | transcript=PVPAM_110024300_t1 | gene=PVPAM_110024300 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylcholine-sterol acyltransferase, putative | transcript_product=phosphatidylcholine-sterol acyltransferase, putative | location=CASCJQ010000011:825001-827409(-) | protein_length=802 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721340.1         -            802 11117at5820          -            234    0.0015   16.4   1.6   2   2      0.71   4.6e+02   -1.6   0.0   163   199   410   446   400   453 0.86 | transcript=PVPAM_110024300_t1 | gene=PVPAM_110024300 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylcholine-sterol acyltransferase, putative | transcript_product=phosphatidylcholine-sterol acyltransferase, putative | location=CASCJQ010000011:825001-827409(-) | protein_length=802 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718153.1         -           1084 11117at5820          -            234    0.0026   15.6   1.2   1   1   7.9e-06    0.0051   14.6   1.2    58   116   599   657   592   667 0.58 | transcript=PVPAM_030015100_t1 | gene=PVPAM_030015100 | organism=Plasmodium_vivax_PAM | gene_product=PP-loop family protein, putative | transcript_product=PP-loop family protein, putative | location=CASCJQ010000003:438502-441756(-) | protein_length=1084 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718426.1         -            536 11117at5820          -            234     0.025   12.4   0.5   1   2       2.3   1.5e+03   -3.3   0.0     3    21     6    24     5    34 0.83 | transcript=PVPAM_040017200_t1 | gene=PVPAM_040017200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=CASCJQ010000004:538028-539638(+) | protein_length=536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718426.1         -            536 11117at5820          -            234     0.025   12.4   0.5   2   2   0.00012      0.08   10.7   0.1   175   227   373   425   367   428 0.88 | transcript=PVPAM_040017200_t1 | gene=PVPAM_040017200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=CASCJQ010000004:538028-539638(+) | protein_length=536 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722962.1         -            390 11117at5820          -            234     0.035   11.9  17.1   1   1   8.6e-05     0.056   11.2  17.1    36   124    72   167    67   172 0.80 | transcript=PVPAM_130046800_t1 | gene=PVPAM_130046800 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1l, putative | transcript_product=inner membrane complex protein 1l, putative | location=CASCJQ010000013:1835780-1836952(-) | protein_length=390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719243.1         -            371 11117at5820          -            234      0.72    7.6  20.6   1   1    0.0029       1.9    6.2  20.6    26   108    38   118    28   148 0.81 | transcript=PVPAM_060025000_t1 | gene=PVPAM_060025000 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=CASCJQ010000006:843487-844742(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11117at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11117at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11117at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:25 2026
# [ok]
