#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721022.1         -          11419 4at5820              -           4574         0 6492.6 744.3   1  40     7e-26   4.5e-22   74.6   6.1     1    80     1    81     1    97 0.85 | transcript=PVPAM_100029000_t1 | gene=PVPAM_100029000 | organism=Plasmodium_vivax_PAM | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=CASCJQ010000010:1001445-1035987(-) | protein_length=11419 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721022.1         -          11419 4at5820              -           4574         0 6492.6 744.3   2  40   3.7e-49   2.4e-45  151.9  16.1    71   236   779   968   762   971 0.80 | transcript=PVPAM_100029000_t1 | gene=PVPAM_100029000 | organism=Plasmodium_vivax_PAM | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=CASCJQ010000010:1001445-1035987(-) | protein_length=11419 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721022.1         -          11419 4at5820              -           4574         0 6492.6 744.3   3  40   2.7e-29   1.7e-25   86.0   1.1   274   350  1406  1486  1369  1496 0.83 | transcript=PVPAM_100029000_t1 | gene=PVPAM_100029000 | organism=Plasmodium_vivax_PAM | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=CASCJQ010000010:1001445-1035987(-) | protein_length=11419 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721022.1         -          11419 4at5820              -           4574         0 6492.6 744.3   4  40  1.5e-133  9.4e-130  432.0  14.1   351   544  1563  1756  1558  1763 0.98 | transcript=PVPAM_100029000_t1 | gene=PVPAM_100029000 | organism=Plasmodium_vivax_PAM | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=CASCJQ010000010:1001445-1035987(-) | protein_length=11419 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721022.1         -          11419 4at5820              -           4574         0 6492.6 744.3   5  40   1.9e-22   1.2e-18   63.2   0.0   540   599  1814  1874  1809  1876 0.92 | transcript=PVPAM_100029000_t1 | gene=PVPAM_100029000 | organism=Plasmodium_vivax_PAM | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=CASCJQ010000010:1001445-1035987(-) | protein_length=11419 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721022.1         -          11419 4at5820              -           4574         0 6492.6 744.3   6  40   5.9e-73   3.8e-69  230.9  26.6   588   777  1902  2111  1896  2117 0.86 | transcript=PVPAM_100029000_t1 | gene=PVPAM_100029000 | organism=Plasmodium_vivax_PAM | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=CASCJQ010000010:1001445-1035987(-) | protein_length=11419 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721022.1         -          11419 4at5820              -           4574         0 6492.6 744.3   7  40   1.4e-13     9e-10   33.8   5.2   771   826  2149  2212  2133  2216 0.88 | transcript=PVPAM_100029000_t1 | gene=PVPAM_100029000 | organism=Plasmodium_vivax_PAM | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=CASCJQ010000010:1001445-1035987(-) | protein_length=11419 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721022.1         -          11419 4at5820              -           4574         0 6492.6 744.3   8  40   6.2e-53     4e-49  164.4   5.7   824   924  2398  2503  2391  2517 0.91 | transcript=PVPAM_100029000_t1 | gene=PVPAM_100029000 | organism=Plasmodium_vivax_PAM | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=CASCJQ010000010:1001445-1035987(-) | protein_length=11419 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721022.1         -          11419 4at5820              -           4574         0 6492.6 744.3   9  40   1.1e-13   7.1e-10   34.1   5.5   912   968  2696  2754  2686  2765 0.79 | transcript=PVPAM_100029000_t1 | gene=PVPAM_100029000 | organism=Plasmodium_vivax_PAM | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=CASCJQ010000010:1001445-1035987(-) | protein_length=11419 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721022.1         -          11419 4at5820              -           4574         0 6492.6 744.3  10  40   3.4e-46   2.2e-42  142.0   7.2   965  1045  2784  2864  2780  2868 0.96 | transcript=PVPAM_100029000_t1 | gene=PVPAM_100029000 | organism=Plasmodium_vivax_PAM | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=CASCJQ010000010:1001445-1035987(-) | protein_length=11419 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721022.1         -          11419 4at5820              -           4574         0 6492.6 744.3  11  40     1e-16   6.4e-13   44.2   3.2  1037  1087  2932  2991  2925  3025 0.74 | transcript=PVPAM_100029000_t1 | gene=PVPAM_100029000 | organism=Plasmodium_vivax_PAM | gene_product=RNA pseudouridylate synthase, putative | transcript_product=RNA pseudouridylate synthase, putative | location=CASCJQ010000010:1001445-1035987(-) | protein_length=11419 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
