#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721909.1         -            157 13591at5820          -            132   2.1e-71  237.0   0.7   1   1   5.4e-74   2.9e-71  236.5   0.7     2   132    13   157    12   157 0.92 | transcript=PVPAM_120014300_t1 | gene=PVPAM_120014300 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=CASCJQ010000012:383174-384266(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 13591at5820          -            132   3.8e-12   45.3   0.1   1   2   1.9e-10     1e-07   31.0   0.0    37   109    39   114    15   120 0.82 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 13591at5820          -            132   3.8e-12   45.3   0.1   2   2   0.00018     0.097   11.6   0.0    48   108   374   436   361   442 0.82 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722312.1         -            104 13591at5820          -            132   1.3e-11   43.5   0.1   1   1   2.8e-14   1.5e-11   43.4   0.1    40   112    13    84     6   102 0.89 | transcript=PVPAM_120054900_t1 | gene=PVPAM_120054900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=CASCJQ010000012:2015654-2016102(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721835.1         -            209 13591at5820          -            132   2.2e-10   39.5   0.1   1   1   7.5e-13     4e-10   38.7   0.1    49   117    49   117    25   130 0.88 | transcript=PVPAM_120006900_t1 | gene=PVPAM_120006900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=CASCJQ010000012:82418-83438(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720377.1         -            549 13591at5820          -            132   3.4e-08   32.5   2.4   1   1   1.6e-10   8.9e-08   31.1   2.4    24   128   174   283   168   287 0.77 | transcript=PVPAM_090014200_t1 | gene=PVPAM_090014200 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein J2, putative | transcript_product=heat shock protein J2, putative | location=CASCJQ010000009:506315-507964(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719603.1         -            179 13591at5820          -            132   5.3e-08   31.9   0.1   1   1   1.6e-10   8.7e-08   31.2   0.1    23   126    65   168    46   174 0.77 | transcript=PVPAM_070021700_t1 | gene=PVPAM_070021700 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=CASCJQ010000007:760911-762124(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 13591at5820          -            132   3.6e-07   29.2   4.8   1   3   1.1e-05    0.0059   15.5   0.5    44   117    47   117    34   133 0.85 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 13591at5820          -            132   3.6e-07   29.2   4.8   2   3       3.2   1.7e+03   -2.2   0.0    77   105   139   169   131   185 0.59 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720626.1         -            424 13591at5820          -            132   3.6e-07   29.2   4.8   3   3   2.6e-05     0.014   14.3   0.0    45   103   184   244   169   274 0.89 | transcript=PVPAM_090039000_t1 | gene=PVPAM_090039000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1495450-1496724(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723353.1         -            550 13591at5820          -            132   3.3e-06   26.1   1.5   1   2   1.5e-08     8e-06   24.8   0.3    41   111    60   136    45   146 0.85 | transcript=PVPAM_140027200_t1 | gene=PVPAM_140027200 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin, putative | transcript_product=thioredoxin, putative | location=CASCJQ010000014:960942-962594(+) | protein_length=550 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
