#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717932.1         -            215 13889at5820          -            168   3.2e-77  256.7   8.3   1   2   3.4e-78   2.2e-75  250.7   4.9     1   151    15   176    15   181 0.93 | transcript=PVPAM_020016400_t1 | gene=PVPAM_020016400 | organism=Plasmodium_vivax_PAM | gene_product=EF hand domain-containing protein, putative | transcript_product=EF hand domain-containing protein, putative | location=CASCJQ010000002:479484-480291(+) | protein_length=215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717932.1         -            215 13889at5820          -            168   3.2e-77  256.7   8.3   2   2    0.0026       1.7    7.1   0.1   155   168   202   215   198   215 0.88 | transcript=PVPAM_020016400_t1 | gene=PVPAM_020016400 | organism=Plasmodium_vivax_PAM | gene_product=EF hand domain-containing protein, putative | transcript_product=EF hand domain-containing protein, putative | location=CASCJQ010000002:479484-480291(+) | protein_length=215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722807.1         -            149 13889at5820          -            168   4.5e-10   38.2   0.6   1   1   8.7e-13   5.6e-10   37.9   0.6    31   161    11   142     2   147 0.89 | transcript=PVPAM_130030800_t1 | gene=PVPAM_130030800 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1169241-1170239(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 13889at5820          -            168   3.3e-09   35.4   7.3   1   1   6.1e-12     4e-09   35.1   7.3    33   158    19   145     3   157 0.89 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 13889at5820          -            168    0.0001   20.8   7.9   1   2   2.5e-06    0.0016   16.9   1.8   104   164    38    99    26   104 0.86 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 13889at5820          -            168    0.0001   20.8   7.9   2   2    0.0012       0.8    8.1   0.9   103   151   110   158    96   176 0.71 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721361.1         -            136 13889at5820          -            168    0.0011   17.4   0.3   1   3      0.22   1.4e+02    0.8   0.0   122   151    25    54    10    70 0.58 | transcript=PVPAM_110026400_t1 | gene=PVPAM_110026400 | organism=Plasmodium_vivax_PAM | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=CASCJQ010000011:937732-939202(+) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721361.1         -            136 13889at5820          -            168    0.0011   17.4   0.3   2   3      0.51   3.3e+02   -0.4   0.0    58    78    50    70    43    79 0.78 | transcript=PVPAM_110026400_t1 | gene=PVPAM_110026400 | organism=Plasmodium_vivax_PAM | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=CASCJQ010000011:937732-939202(+) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721361.1         -            136 13889at5820          -            168    0.0011   17.4   0.3   3   3   1.2e-05    0.0078   14.7   0.1   106   162    78   134    64   136 0.89 | transcript=PVPAM_110026400_t1 | gene=PVPAM_110026400 | organism=Plasmodium_vivax_PAM | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=CASCJQ010000011:937732-939202(+) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 13889at5820          -            168    0.0012   17.3  10.9   1   2   5.5e-06    0.0036   15.8   0.3   105   149    12    56     3    67 0.86 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 13889at5820          -            168    0.0012   17.3  10.9   2   2     0.014       9.3    4.7   5.2    73   158   139   225   128   234 0.80 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
