#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718466.1         -            624 9066at5820           -            337  1.9e-134  446.7  58.2   1   5   8.3e-18   2.7e-14   51.7   0.1    13    51    56    94    48   111 0.90 | transcript=PVPAM_040021200_t1 | gene=PVPAM_040021200 | organism=Plasmodium_vivax_PAM | gene_product=protein LTV1, putative | transcript_product=protein LTV1, putative | location=CASCJQ010000004:690481-692688(+) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718466.1         -            624 9066at5820           -            337  1.9e-134  446.7  58.2   2   5   9.4e-60   3.1e-56  189.6  10.3    48   155   170   277   153   282 0.91 | transcript=PVPAM_040021200_t1 | gene=PVPAM_040021200 | organism=Plasmodium_vivax_PAM | gene_product=protein LTV1, putative | transcript_product=protein LTV1, putative | location=CASCJQ010000004:690481-692688(+) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718466.1         -            624 9066at5820           -            337  1.9e-134  446.7  58.2   3   5   6.4e-16   2.1e-12   45.5   7.0   165   227   382   458   368   472 0.79 | transcript=PVPAM_040021200_t1 | gene=PVPAM_040021200 | organism=Plasmodium_vivax_PAM | gene_product=protein LTV1, putative | transcript_product=protein LTV1, putative | location=CASCJQ010000004:690481-692688(+) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718466.1         -            624 9066at5820           -            337  1.9e-134  446.7  58.2   4   5   1.1e-19   3.6e-16   57.9   1.2   225   262   480   517   478   526 0.93 | transcript=PVPAM_040021200_t1 | gene=PVPAM_040021200 | organism=Plasmodium_vivax_PAM | gene_product=protein LTV1, putative | transcript_product=protein LTV1, putative | location=CASCJQ010000004:690481-692688(+) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718466.1         -            624 9066at5820           -            337  1.9e-134  446.7  58.2   5   5   5.2e-39   1.7e-35  121.4  12.9   263   337   550   624   545   624 0.98 | transcript=PVPAM_040021200_t1 | gene=PVPAM_040021200 | organism=Plasmodium_vivax_PAM | gene_product=protein LTV1, putative | transcript_product=protein LTV1, putative | location=CASCJQ010000004:690481-692688(+) | protein_length=624 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717645.1         -            404 9066at5820           -            337       1.8    6.3   9.4   1   4      0.22     7e+02   -2.2   1.0    78   107   111   140   108   222 0.63 | transcript=PVPAM_010015300_t1 | gene=PVPAM_010015300 | organism=Plasmodium_vivax_PAM | gene_product=VIR protein | transcript_product=VIR protein | location=CASCJQ010000001:462725-464323(+) | protein_length=404 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717645.1         -            404 9066at5820           -            337       1.8    6.3   9.4   2   4      0.27   8.6e+02   -2.5   0.1    69   124   189   244   177   248 0.64 | transcript=PVPAM_010015300_t1 | gene=PVPAM_010015300 | organism=Plasmodium_vivax_PAM | gene_product=VIR protein | transcript_product=VIR protein | location=CASCJQ010000001:462725-464323(+) | protein_length=404 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717645.1         -            404 9066at5820           -            337       1.8    6.3   9.4   3   4   2.1e-05     0.067   11.0   0.2    17    81   284   347   279   349 0.90 | transcript=PVPAM_010015300_t1 | gene=PVPAM_010015300 | organism=Plasmodium_vivax_PAM | gene_product=VIR protein | transcript_product=VIR protein | location=CASCJQ010000001:462725-464323(+) | protein_length=404 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717645.1         -            404 9066at5820           -            337       1.8    6.3   9.4   4   4     0.035   1.1e+02    0.3   0.1    68    88   350   370   348   374 0.88 | transcript=PVPAM_010015300_t1 | gene=PVPAM_010015300 | organism=Plasmodium_vivax_PAM | gene_product=VIR protein | transcript_product=VIR protein | location=CASCJQ010000001:462725-464323(+) | protein_length=404 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9066at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9066at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9066at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:43 2026
# [ok]
