#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720447.1         -            469 6772at5820           -            379  8.6e-229  757.6   2.1   1   1  2.1e-231  9.9e-229  757.4   2.1     1   379     1   444     1   444 0.98 | transcript=PVPAM_090021200_t1 | gene=PVPAM_090021200 | organism=Plasmodium_vivax_PAM | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=CASCJQ010000009:766466-767875(-) | protein_length=469 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 6772at5820           -            379   9.8e-12   43.2   5.7   1   6    0.0014      0.65    7.6   0.0   133   195    95   157    86   166 0.75 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 6772at5820           -            379   9.8e-12   43.2   5.7   2   6    0.0015       0.7    7.5   0.0   115   190   127   194   112   216 0.67 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 6772at5820           -            379   9.8e-12   43.2   5.7   3   6      0.27   1.2e+02    0.1   0.1   149   197   359   408   349   437 0.67 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 6772at5820           -            379   9.8e-12   43.2   5.7   4   6   6.6e-05      0.03   12.0   0.1   124   188   465   523   412   528 0.74 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 6772at5820           -            379   9.8e-12   43.2   5.7   5   6   9.4e-05     0.043   11.5   0.0   153   205   530   583   525   589 0.80 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 6772at5820           -            379   9.8e-12   43.2   5.7   6   6   0.00064      0.29    8.7   0.1   153   188   624   659   609   660 0.89 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 6772at5820           -            379   4.7e-11   41.0  12.3   1   5   0.00059      0.27    8.9   0.2   146   191    66   111    32   117 0.77 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 6772at5820           -            379   4.7e-11   41.0  12.3   2   5   2.5e-05     0.012   13.4   1.0   153   197   115   158   111   159 0.88 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 6772at5820           -            379   4.7e-11   41.0  12.3   3   5   0.00091      0.42    8.2   0.1   212   257   150   192   149   196 0.85 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 6772at5820           -            379   4.7e-11   41.0  12.3   4   5   0.00025      0.12   10.1   0.0   153   192   196   236   190   240 0.91 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 6772at5820           -            379   4.7e-11   41.0  12.3   5   5   0.00044       0.2    9.3   0.1   142   184   275   319   252   323 0.75 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 6772at5820           -            379   1.2e-09   36.4   7.2   1   5   1.7e-05    0.0077   13.9   0.4   123   189    35   100    21   106 0.83 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 6772at5820           -            379   1.2e-09   36.4   7.2   2   5   0.00011     0.051   11.2   0.1   151   193   104   146   100   158 0.86 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 6772at5820           -            379   1.2e-09   36.4   7.2   3   5   2.4e-05     0.011   13.4   0.1   113   195   159   235   143   246 0.79 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
