#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720453.1         -           1061 5341at5820           -            799         0 1273.8  21.7   1   2  5.2e-221  3.4e-218  725.4   0.0     1   442     1   616     1   671 0.88 | transcript=PVPAM_090021800_t1 | gene=PVPAM_090021800 | organism=Plasmodium_vivax_PAM | gene_product=MFS domain-containing protein P115, putative | transcript_product=MFS domain-containing protein P115, putative | location=CASCJQ010000009:793920-798004(-) | protein_length=1061 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720453.1         -           1061 5341at5820           -            799         0 1273.8  21.7   2   2  1.6e-167    1e-164  548.5  19.5   445   799   702  1061   679  1061 0.82 | transcript=PVPAM_090021800_t1 | gene=PVPAM_090021800 | organism=Plasmodium_vivax_PAM | gene_product=MFS domain-containing protein P115, putative | transcript_product=MFS domain-containing protein P115, putative | location=CASCJQ010000009:793920-798004(-) | protein_length=1061 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723393.1         -            244 5341at5820           -            799     0.053   10.4  14.1   1   1   8.7e-05     0.056   10.3  14.1   424   539    50   156    11   217 0.45 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721178.1         -            250 5341at5820           -            799      0.14    9.0   9.9   1   1   0.00026      0.17    8.7   9.9   426   573    69   213    59   235 0.56 | transcript=PVPAM_110008000_t1 | gene=PVPAM_110008000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:118356-119108(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723273.1         -            158 5341at5820           -            799       2.3    4.9   8.4   1   1    0.0034       2.2    5.0   8.4   431   546    90   150     7   158 0.41 | transcript=PVPAM_140019200_t1 | gene=PVPAM_140019200 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=CASCJQ010000014:645115-645591(-) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 5341at5820           -            799       3.8    4.2  13.6   1   1    0.0073       4.7    3.9  13.6   439   579   123   270    22   280 0.55 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723257.1         -            162 5341at5820           -            799       4.2    4.1  12.7   1   1    0.0074       4.8    3.9  12.7   380   499    46   154    32   162 0.53 | transcript=PVPAM_140017600_t1 | gene=PVPAM_140017600 | organism=Plasmodium_vivax_PAM | gene_product=60S ribosomal protein L24, putative | transcript_product=60S ribosomal protein L24, putative | location=CASCJQ010000014:592083-593301(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723224.1         -            543 5341at5820           -            799       4.5    4.0  14.2   1   1     0.011       7.2    3.3  14.2   422   530   111   221    49   268 0.61 | transcript=PVPAM_140014300_t1 | gene=PVPAM_140014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:442294-444287(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722662.1         -            251 5341at5820           -            799       5.3    3.7   6.9   1   1    0.0087       5.6    3.6   6.9   422   545    24   129     8   205 0.51 | transcript=PVPAM_130016300_t1 | gene=PVPAM_130016300 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI39] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI39] | location=CASCJQ010000013:510861-512038(-) | protein_length=251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 5341at5820           -            799       7.5    3.2   9.4   1   1     0.016        10    2.8   9.4   472   570    79   182    44   199 0.51 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723341.1         -            209 5341at5820           -            799       8.4    3.1  13.2   1   1     0.017        11    2.7  13.2   437   566    27   164     9   193 0.56 | transcript=PVPAM_140026000_t1 | gene=PVPAM_140026000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000014:926076-926705(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
