#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721578.1         -            158 14134at5820          -            148   1.9e-77  256.7  18.3   1   1     3e-80   2.2e-77  256.5  18.3     1   148    10   158    10   158 0.99 | transcript=PVPAM_110048300_t1 | gene=PVPAM_110048300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=CASCJQ010000011:1806007-1806483(+) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 14134at5820          -            148   3.6e-10   38.4   1.9   1   2     0.008       5.7    5.3   0.0    84   114    27    57    21    76 0.75 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 14134at5820          -            148   3.6e-10   38.4   1.9   2   2   6.6e-11   4.8e-08   31.5   1.8    62   142    78   159    58   164 0.89 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 14134at5820          -            148   1.5e-08   33.1  13.8   1   2     2e-08   1.4e-05   23.5   5.9    84   142    17    76     4    83 0.86 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 14134at5820          -            148   1.5e-08   33.1  13.8   2   2   8.9e-06    0.0064   14.9   1.0    81   144    87   151    78   155 0.86 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717924.1         -            168 14134at5820          -            148     2e-08   32.7   9.0   1   2   0.00039      0.28    9.5   0.2    82   129    25    73     9    78 0.73 | transcript=PVPAM_020015600_t1 | gene=PVPAM_020015600 | organism=Plasmodium_vivax_PAM | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=CASCJQ010000002:450095-451406(-) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717924.1         -            168 14134at5820          -            148     2e-08   32.7   9.0   2   2   7.1e-09   5.1e-06   24.9   6.1    62   142    78   159    61   165 0.84 | transcript=PVPAM_020015600_t1 | gene=PVPAM_020015600 | organism=Plasmodium_vivax_PAM | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=CASCJQ010000002:450095-451406(-) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722807.1         -            149 14134at5820          -            148   3.9e-06   25.3   1.1   1   1   1.6e-08   1.1e-05   23.8   1.1    12   143     8   144     3   148 0.82 | transcript=PVPAM_130030800_t1 | gene=PVPAM_130030800 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1169241-1170239(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 14134at5820          -            148   6.9e-06   24.5   9.1   1   2   1.1e-05     0.008   14.6   2.1    82   143    36    98    29   102 0.87 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 14134at5820          -            148   6.9e-06   24.5   9.1   2   2   1.8e-06    0.0013   17.1   4.0    58   141    85   169    70   176 0.81 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 14134at5820          -            148   0.00013   20.3  16.0   1   2   1.4e-05    0.0099   14.3   7.2    37   144   375   484   337   488 0.80 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
