#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720478.1         -            478 6501at5820           -            376  7.4e-218  721.4  24.9   1   2   1.2e-73   1.5e-70  236.6   2.5     1   129     1   140     1   145 0.95 | transcript=PVPAM_090024300_t1 | gene=PVPAM_090024300 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=CASCJQ010000009:882560-884344(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720478.1         -            478 6501at5820           -            376  7.4e-218  721.4  24.9   2   2  7.9e-151    1e-147  490.6  14.6   126   376   198   476   178   476 0.93 | transcript=PVPAM_090024300_t1 | gene=PVPAM_090024300 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=CASCJQ010000009:882560-884344(+) | protein_length=478 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723280.1         -            458 6501at5820           -            376   1.8e-49  167.3  24.2   1   2     3e-35   3.8e-32  110.2  13.6     3   203     4   229     2   231 0.78 | transcript=PVPAM_140019900_t1 | gene=PVPAM_140019900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=CASCJQ010000014:665046-666422(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723280.1         -            458 6501at5820           -            376   1.8e-49  167.3  24.2   2   2   1.2e-20   1.5e-17   62.2   2.8   196   375   253   455   245   456 0.77 | transcript=PVPAM_140019900_t1 | gene=PVPAM_140019900 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=CASCJQ010000014:665046-666422(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723526.1         -            611 6501at5820           -            376     2e-26   91.4  65.7   1   5   2.3e-08     3e-05   21.7  30.4     3   217     2   239     1   251 0.66 | transcript=PVPAM_140045000_t1 | gene=PVPAM_140045000 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=CASCJQ010000014:1674365-1676200(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723526.1         -            611 6501at5820           -            376     2e-26   91.4  65.7   2   5   5.7e-09   7.3e-06   23.7   8.2   138   200   248   310   209   322 0.73 | transcript=PVPAM_140045000_t1 | gene=PVPAM_140045000 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=CASCJQ010000014:1674365-1676200(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723526.1         -            611 6501at5820           -            376     2e-26   91.4  65.7   3   5   7.8e-13     1e-09   36.4   0.2   200   253   355   408   348   416 0.92 | transcript=PVPAM_140045000_t1 | gene=PVPAM_140045000 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=CASCJQ010000014:1674365-1676200(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723526.1         -            611 6501at5820           -            376     2e-26   91.4  65.7   4   5    0.0077       9.9    3.6   3.7   257   357   449   558   429   564 0.66 | transcript=PVPAM_140045000_t1 | gene=PVPAM_140045000 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=CASCJQ010000014:1674365-1676200(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723526.1         -            611 6501at5820           -            376     2e-26   91.4  65.7   5   5   1.9e-08   2.4e-05   22.0   4.6   291   376   528   611   524   611 0.80 | transcript=PVPAM_140045000_t1 | gene=PVPAM_140045000 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=CASCJQ010000014:1674365-1676200(+) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722479.1         -            745 6501at5820           -            376   6.2e-09   33.9  10.4   1   3   2.6e-05     0.033   11.7   0.5    50   109    73   134    56   170 0.82 | transcript=PVPAM_120071600_t1 | gene=PVPAM_120071600 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=CASCJQ010000012:2741271-2743508(+) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722479.1         -            745 6501at5820           -            376   6.2e-09   33.9  10.4   2   3   1.5e-10     2e-07   28.9   0.2   125   207   198   285   184   300 0.81 | transcript=PVPAM_120071600_t1 | gene=PVPAM_120071600 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=CASCJQ010000012:2741271-2743508(+) | protein_length=745 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
