#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722269.1         -            326 9005at5820           -            283  4.7e-147  487.0  30.1   1   2   3.5e-05     0.021   12.4   0.2     1    19     1    19     1    25 0.92 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 9005at5820           -            283  4.7e-147  487.0  30.1   2   2    5e-147  2.9e-144  477.9  24.9    13   282    36   320    29   321 0.95 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 9005at5820           -            283   4.1e-53  178.8  71.4   1   5   1.3e-19   7.4e-17   59.8  10.5    18   100     4    89     1    90 0.88 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 9005at5820           -            283   4.1e-53  178.8  71.4   2   5   1.5e-14   8.8e-12   43.2  15.0    32   106    89   170    87   170 0.84 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 9005at5820           -            283   4.1e-53  178.8  71.4   3   5   1.4e-12   8.2e-10   36.7  14.7    26    98   156   230   150   231 0.90 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 9005at5820           -            283   4.1e-53  178.8  71.4   4   5   4.9e-11   2.9e-08   31.7   7.5    19    78   218   278   217   279 0.92 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 9005at5820           -            283   4.1e-53  178.8  71.4   5   5   2.1e-14   1.2e-11   42.7   8.7    35   110   258   336   256   341 0.91 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721024.1         -           1397 9005at5820           -            283   1.5e-15   55.6  29.9   1   2   1.2e-13   6.8e-11   40.3  22.1    43   201   850  1018   837  1032 0.85 | transcript=PVPAM_100029200_t1 | gene=PVPAM_100029200 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:1045384-1049771(+) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721024.1         -           1397 9005at5820           -            283   1.5e-15   55.6  29.9   2   2   1.9e-06    0.0011   16.6   0.9    42   100  1285  1343  1275  1367 0.79 | transcript=PVPAM_100029200_t1 | gene=PVPAM_100029200 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:1045384-1049771(+) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718564.1         -            191 9005at5820           -            283   1.9e-11   42.1  18.3   1   2   1.7e-07   9.9e-05   20.1   1.3    36    74    36    74    24    75 0.89 | transcript=PVPAM_040030800_t1 | gene=PVPAM_040030800 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000004:1077053-1078241(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718564.1         -            191 9005at5820           -            283   1.9e-11   42.1  18.3   2   2   9.1e-12   5.3e-09   34.1   9.7    39   144    62   168    61   181 0.83 | transcript=PVPAM_040030800_t1 | gene=PVPAM_040030800 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000004:1077053-1078241(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 9005at5820           -            283   2.2e-10   38.6  24.8   1   1     7e-12   4.1e-09   34.4  24.4    21   212   154   356   149   365 0.87 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 9005at5820           -            283   5.3e-10   37.3   8.3   1   2   0.00086       0.5    7.9  16.3   135   181    44    93     4   109 0.58 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 9005at5820           -            283   5.3e-10   37.3   8.3   2   2   9.1e-13   5.3e-10   37.3   8.3    19   114   244   342   229   353 0.81 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722885.1         -            148 9005at5820           -            283   8.6e-07   26.8   8.0   1   1   3.5e-09     2e-06   25.6   7.6    36    97    12    73     6    80 0.88 | transcript=PVPAM_130038700_t1 | gene=PVPAM_130038700 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000013:1501686-1502628(+) | protein_length=148 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720358.1         -           1324 9005at5820           -            283     2e-06   25.6   0.4   1   1   7.9e-09   4.6e-06   24.4   0.4    65   129    14    81     9   102 0.83 | transcript=PVPAM_090012300_t1 | gene=PVPAM_090012300 | organism=Plasmodium_vivax_PAM | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=CASCJQ010000009:407874-412759(+) | protein_length=1324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719701.1         -           1180 9005at5820           -            283   8.4e-06   23.6   9.2   1   3   1.4e-08   8.4e-06   23.6   9.2   151   212    38   103    34   104 0.90 | transcript=PVPAM_070031500_t1 | gene=PVPAM_070031500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1141777-1145852(+) | protein_length=1180 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719701.1         -           1180 9005at5820           -            283   8.4e-06   23.6   9.2   2   3     0.047        27    2.2   0.7   152   209   108   166   100   173 0.76 | transcript=PVPAM_070031500_t1 | gene=PVPAM_070031500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1141777-1145852(+) | protein_length=1180 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719701.1         -           1180 9005at5820           -            283   8.4e-06   23.6   9.2   3   3       5.9   3.5e+03   -4.7   1.3   174   200   242   268   201   271 0.68 | transcript=PVPAM_070031500_t1 | gene=PVPAM_070031500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1141777-1145852(+) | protein_length=1180 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720988.1         -           1381 9005at5820           -            283   0.00043   18.0   7.0   1   5     0.062        36    1.8   0.2   187   221    68   102    59   115 0.83 | transcript=PVPAM_100025600_t1 | gene=PVPAM_100025600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:901429-905574(-) | protein_length=1381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720988.1         -           1381 9005at5820           -            283   0.00043   18.0   7.0   2   5     0.031        18    2.8   5.1    46   105   135   201   102   205 0.70 | transcript=PVPAM_100025600_t1 | gene=PVPAM_100025600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:901429-905574(-) | protein_length=1381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720988.1         -           1381 9005at5820           -            283   0.00043   18.0   7.0   3   5     0.029        17    2.9   1.3   156   180   265   289   256   300 0.84 | transcript=PVPAM_100025600_t1 | gene=PVPAM_100025600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:901429-905574(-) | protein_length=1381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720988.1         -           1381 9005at5820           -            283   0.00043   18.0   7.0   4   5   7.3e-07   0.00043   18.0   7.0    43    97   299   354   292   384 0.76 | transcript=PVPAM_100025600_t1 | gene=PVPAM_100025600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:901429-905574(-) | protein_length=1381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720988.1         -           1381 9005at5820           -            283   0.00043   18.0   7.0   5   5       1.6   9.1e+02   -2.8   1.9    70   125   831   885   796   890 0.62 | transcript=PVPAM_100025600_t1 | gene=PVPAM_100025600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:901429-905574(-) | protein_length=1381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718495.1         -           1029 9005at5820           -            283    0.0031   15.2   8.6   1   2   0.00013     0.076   10.6   1.8    46    81    17    53     9    76 0.65 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718495.1         -           1029 9005at5820           -            283    0.0031   15.2   8.6   2   2    0.0012      0.69    7.4   0.8   176   201    94   119    72   138 0.77 | transcript=PVPAM_040023900_t1 | gene=PVPAM_040023900 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=CASCJQ010000004:797636-800725(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9005at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9005at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9005at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:32 2026
# [ok]
