#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723483.1         -           1065 3950at5820           -            631         0 1132.4  90.4   1   4  6.7e-125  1.1e-121  405.8  19.2     1   207     1   213     1   221 0.98 | transcript=PVPAM_140040600_t1 | gene=PVPAM_140040600 | organism=Plasmodium_vivax_PAM | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=CASCJQ010000014:1538057-1541527(-) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723483.1         -           1065 3950at5820           -            631         0 1132.4  90.4   2   4  5.9e-128  9.6e-125  415.9  20.2   206   471   252   527   241   542 0.91 | transcript=PVPAM_140040600_t1 | gene=PVPAM_140040600 | organism=Plasmodium_vivax_PAM | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=CASCJQ010000014:1538057-1541527(-) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723483.1         -           1065 3950at5820           -            631         0 1132.4  90.4   3   4   9.3e-07    0.0015   15.5   7.9   426   469   804   868   798   876 0.68 | transcript=PVPAM_140040600_t1 | gene=PVPAM_140040600 | organism=Plasmodium_vivax_PAM | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=CASCJQ010000014:1538057-1541527(-) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723483.1         -           1065 3950at5820           -            631         0 1132.4  90.4   4   4   1.6e-94   2.6e-91  305.5  20.1   461   631   890  1065   870  1065 0.88 | transcript=PVPAM_140040600_t1 | gene=PVPAM_140040600 | organism=Plasmodium_vivax_PAM | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=CASCJQ010000014:1538057-1541527(-) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722089.1         -            479 3950at5820           -            631   6.5e-06   23.3  15.1   1   2       2.2   3.6e+03   -5.5  11.2   163   253   177   270    26   293 0.57 | transcript=PVPAM_120032700_t1 | gene=PVPAM_120032700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor eIF-2B subunit gamma, putative | transcript_product=translation initiation factor eIF-2B subunit gamma, putative | location=CASCJQ010000012:1105283-1108113(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722089.1         -            479 3950at5820           -            631   6.5e-06   23.3  15.1   2   2     4e-09   6.5e-06   23.3  15.1   336   410   387   460   375   471 0.79 | transcript=PVPAM_120032700_t1 | gene=PVPAM_120032700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor eIF-2B subunit gamma, putative | transcript_product=translation initiation factor eIF-2B subunit gamma, putative | location=CASCJQ010000012:1105283-1108113(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722928.1         -            452 3950at5820           -            631   0.00022   18.3  14.7   1   3     0.031        50    0.6   0.0    48   143    33   123    13   134 0.80 | transcript=PVPAM_130043000_t1 | gene=PVPAM_130043000 | organism=Plasmodium_vivax_PAM | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=CASCJQ010000013:1655895-1657594(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722928.1         -            452 3950at5820           -            631   0.00022   18.3  14.7   2   3   7.6e-07    0.0012   15.8   6.3   323   413   327   423   307   431 0.59 | transcript=PVPAM_130043000_t1 | gene=PVPAM_130043000 | organism=Plasmodium_vivax_PAM | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=CASCJQ010000013:1655895-1657594(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722928.1         -            452 3950at5820           -            631   0.00022   18.3  14.7   3   3     9e-07    0.0015   15.6   1.2   326   396   370   441   365   451 0.84 | transcript=PVPAM_130043000_t1 | gene=PVPAM_130043000 | organism=Plasmodium_vivax_PAM | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=CASCJQ010000013:1655895-1657594(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718239.1         -            267 3950at5820           -            631   0.00042   17.4   1.6   1   1     3e-07   0.00049   17.1   1.6   344   396   174   228   167   264 0.72 | transcript=PVPAM_030023900_t1 | gene=PVPAM_030023900 | organism=Plasmodium_vivax_PAM | gene_product=dynactin subunit 5, putative | transcript_product=dynactin subunit 5, putative | location=CASCJQ010000003:764532-765335(-) | protein_length=267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
