#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1   1  17   9.4e-15     3e-11   39.9   0.7    16    65   128   177   125   180 0.91 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1   2  17   1.6e-24     5e-21   72.3   6.1    62   118   222   279   213   285 0.88 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1   3  17   3.6e-32   1.2e-28   97.7   0.2   138   261   660   824   645   832 0.75 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1   4  17   1.1e-20   3.7e-17   59.5   0.0   275   338   949  1012   912  1020 0.82 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1   5  17   2.3e-54   7.4e-51  171.2   0.2   334   436  1072  1174  1047  1185 0.92 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1   6  17   4.3e-69   1.4e-65  220.0   0.1   468   593  1358  1483  1296  1490 0.81 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1   7  17   9.3e-15     3e-11   40.0   0.0   594   637  1511  1556  1506  1559 0.91 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1   8  17  5.2e-142  1.7e-138  461.7  17.7   636   872  1646  1883  1635  1896 0.95 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1   9  17   1.7e-13   5.6e-10   35.7   5.0   868   932  2088  2152  2078  2175 0.71 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1  10  17   1.8e-16   5.7e-13   45.7   1.3   928   983  2207  2263  2166  2293 0.80 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1  11  17   2.3e-44   7.4e-41  138.1   0.2   988  1095  2338  2445  2314  2448 0.92 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1  12  17     1e-07   0.00034   16.6   0.1  1089  1120  2491  2520  2485  2531 0.85 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1  13  17   1.2e-26   3.8e-23   79.4   0.9  1123  1173  2586  2636  2575  2642 0.93 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723681.1         -           3364 445at5820            -           1541         0 1916.9 135.1  14  17   1.7e-28   5.6e-25   85.4   0.1  1174  1236  2688  2750  2682  2764 0.92 | transcript=PVPAM_140060500_t1 | gene=PVPAM_140060500 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=CASCJQ010000014:2397296-2407390(+) | protein_length=3364 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
