#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719766.1         -            282 10420at5820          -            239  1.2e-147  488.6  17.3   1   1  3.3e-150  2.4e-147  487.7  17.3     1   239    20   278    20   278 0.94 | transcript=PVPAM_070038000_t1 | gene=PVPAM_070038000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=CASCJQ010000007:1389848-1390696(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722072.1         -            270 10420at5820          -            239   2.7e-19   68.4   0.9   1   2   1.3e-09   9.6e-07   27.3   0.5     9    59    40    90    36   114 0.91 | transcript=PVPAM_120031000_t1 | gene=PVPAM_120031000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=CASCJQ010000012:1018619-1019431(-) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722072.1         -            270 10420at5820          -            239   2.7e-19   68.4   0.9   2   2   2.5e-13   1.8e-10   39.5   0.0   123   227   121   222   108   231 0.87 | transcript=PVPAM_120031000_t1 | gene=PVPAM_120031000 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=CASCJQ010000012:1018619-1019431(-) | protein_length=270 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720014.1         -            273 10420at5820          -            239   5.8e-17   60.8   6.7   1   2   1.1e-09   7.8e-07   27.6   0.2     9    62    61   114    55   136 0.83 | transcript=PVPAM_080023600_t1 | gene=PVPAM_080023600 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=CASCJQ010000008:847200-848021(-) | protein_length=273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720014.1         -            273 10420at5820          -            239   5.8e-17   60.8   6.7   2   2   4.6e-12   3.3e-09   35.4   2.4   121   227   139   244   126   251 0.87 | transcript=PVPAM_080023600_t1 | gene=PVPAM_080023600 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=CASCJQ010000008:847200-848021(-) | protein_length=273 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717783.1         -            256 10420at5820          -            239   4.4e-13   48.1   5.5   1   1   3.1e-15   2.2e-12   45.8   5.5     6   230     5   226     2   233 0.81 | transcript=PVPAM_010029700_t1 | gene=PVPAM_010029700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=CASCJQ010000001:1103661-1104585(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717915.1         -            218 10420at5820          -            239   1.2e-06   27.0   1.1   1   2   2.2e-06    0.0016   16.8   0.1     9    71     8    71     5    82 0.86 | transcript=PVPAM_020014700_t1 | gene=PVPAM_020014700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=CASCJQ010000002:408985-410207(+) | protein_length=218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717915.1         -            218 10420at5820          -            239   1.2e-06   27.0   1.1   2   2   0.00049      0.35    9.1   0.1   155   216   134   195    83   209 0.89 | transcript=PVPAM_020014700_t1 | gene=PVPAM_020014700 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=CASCJQ010000002:408985-410207(+) | protein_length=218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717977.1         -            256 10420at5820          -            239   1.6e-06   26.6   0.3   1   1   5.6e-07    0.0004   18.7   0.3     7   214    31   213    27   236 0.69 | transcript=PVPAM_020020900_t1 | gene=PVPAM_020020900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=CASCJQ010000002:671250-672485(+) | protein_length=256 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723643.1         -            207 10420at5820          -            239   1.2e-05   23.8   0.0   1   1   2.8e-08     2e-05   23.0   0.0     8    64    35    91    30   102 0.92 | transcript=PVPAM_140056700_t1 | gene=PVPAM_140056700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=CASCJQ010000014:2230899-2232126(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721316.1         -            246 10420at5820          -            239   2.6e-05   22.6   4.6   1   2   5.4e-05     0.038   12.2   0.5     7    72    28    93    23    96 0.87 | transcript=PVPAM_110021900_t1 | gene=PVPAM_110021900 | organism=Plasmodium_vivax_PAM | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=CASCJQ010000011:709930-710813(+) | protein_length=246 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
