#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719787.1         -            668 5700at5820           -            479    1e-241  801.2  19.2   1   4   1.9e-31   2.1e-28   97.9   0.1     1    79     1   103     1   119 0.81 | transcript=PVPAM_070040100_t1 | gene=PVPAM_070040100 | organism=Plasmodium_vivax_PAM | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=CASCJQ010000007:1450309-1452315(+) | protein_length=668 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719787.1         -            668 5700at5820           -            479    1e-241  801.2  19.2   2   4   2.6e-08   2.8e-05   21.6   0.0    76    97   139   160   135   168 0.90 | transcript=PVPAM_070040100_t1 | gene=PVPAM_070040100 | organism=Plasmodium_vivax_PAM | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=CASCJQ010000007:1450309-1452315(+) | protein_length=668 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719787.1         -            668 5700at5820           -            479    1e-241  801.2  19.2   3   4  2.7e-144  2.9e-141  470.0   9.0    97   356   202   497   186   506 0.90 | transcript=PVPAM_070040100_t1 | gene=PVPAM_070040100 | organism=Plasmodium_vivax_PAM | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=CASCJQ010000007:1450309-1452315(+) | protein_length=668 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719787.1         -            668 5700at5820           -            479    1e-241  801.2  19.2   4   4   8.6e-67   9.3e-64  214.4   0.1   360   479   547   667   536   667 0.98 | transcript=PVPAM_070040100_t1 | gene=PVPAM_070040100 | organism=Plasmodium_vivax_PAM | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=CASCJQ010000007:1450309-1452315(+) | protein_length=668 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717784.1         -            452 5700at5820           -            479   2.7e-26   90.9   9.5   1   2   4.8e-06    0.0051   14.1   0.3     3    92     5    92     3    95 0.68 | transcript=PVPAM_010029800_t1 | gene=PVPAM_010029800 | organism=Plasmodium_vivax_PAM | gene_product=tubulin gamma chain, putative | transcript_product=tubulin gamma chain, putative | location=CASCJQ010000001:1105182-1106540(-) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717784.1         -            452 5700at5820           -            479   2.7e-26   90.9   9.5   2   2     5e-26   5.4e-23   80.0   5.2   106   318    86   299    78   320 0.81 | transcript=PVPAM_010029800_t1 | gene=PVPAM_010029800 | organism=Plasmodium_vivax_PAM | gene_product=tubulin gamma chain, putative | transcript_product=tubulin gamma chain, putative | location=CASCJQ010000001:1105182-1106540(-) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722519.1         -            506 5700at5820           -            479   4.6e-17   60.4  28.6   1   3   2.4e-06    0.0026   15.1   0.5     3    93     5   103     3   105 0.68 | transcript=PVPAM_120075800_t1 | gene=PVPAM_120075800 | organism=Plasmodium_vivax_PAM | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=CASCJQ010000012:2969619-2971139(+) | protein_length=506 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722519.1         -            506 5700at5820           -            479   4.6e-17   60.4  28.6   2   3     3e-19   3.2e-16   57.6  11.9   106   320    96   316    91   322 0.81 | transcript=PVPAM_120075800_t1 | gene=PVPAM_120075800 | organism=Plasmodium_vivax_PAM | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=CASCJQ010000012:2969619-2971139(+) | protein_length=506 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722519.1         -            506 5700at5820           -            479   4.6e-17   60.4  28.6   3   3     0.056        60    0.7   3.2   375   474   330   433   319   438 0.63 | transcript=PVPAM_120075800_t1 | gene=PVPAM_120075800 | organism=Plasmodium_vivax_PAM | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=CASCJQ010000012:2969619-2971139(+) | protein_length=506 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719983.1         -            445 5700at5820           -            479     5e-17   60.3   0.0   1   3   0.00039      0.42    7.8   0.0     3    72     4    73     2    77 0.70 | transcript=PVPAM_080020500_t1 | gene=PVPAM_080020500 | organism=Plasmodium_vivax_PAM | gene_product=tubulin beta chain, putative | transcript_product=tubulin beta chain, putative | location=CASCJQ010000008:731259-733456(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719983.1         -            445 5700at5820           -            479     5e-17   60.3   0.0   2   3   7.9e-17   8.5e-14   49.7   0.0   107   236    86   213    83   243 0.89 | transcript=PVPAM_080020500_t1 | gene=PVPAM_080020500 | organism=Plasmodium_vivax_PAM | gene_product=tubulin beta chain, putative | transcript_product=tubulin beta chain, putative | location=CASCJQ010000008:731259-733456(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719983.1         -            445 5700at5820           -            479     5e-17   60.3   0.0   3   3      0.79   8.5e+02   -3.1   0.0   415   474   364   423   356   425 0.78 | transcript=PVPAM_080020500_t1 | gene=PVPAM_080020500 | organism=Plasmodium_vivax_PAM | gene_product=tubulin beta chain, putative | transcript_product=tubulin beta chain, putative | location=CASCJQ010000008:731259-733456(-) | protein_length=445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719476.1         -            453 5700at5820           -            479     3e-16   57.7   0.0   1   3     0.036        39    1.3   0.0    57    74    60    77    56    83 0.88 | transcript=PVPAM_070009000_t1 | gene=PVPAM_070009000 | organism=Plasmodium_vivax_PAM | gene_product=alpha tubulin 1, putative | transcript_product=alpha tubulin 1, putative | location=CASCJQ010000007:232315-234407(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719476.1         -            453 5700at5820           -            479     3e-16   57.7   0.0   2   3     2e-16   2.1e-13   48.4   0.0   106   308    87   289    78   297 0.85 | transcript=PVPAM_070009000_t1 | gene=PVPAM_070009000 | organism=Plasmodium_vivax_PAM | gene_product=alpha tubulin 1, putative | transcript_product=alpha tubulin 1, putative | location=CASCJQ010000007:232315-234407(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719476.1         -            453 5700at5820           -            479     3e-16   57.7   0.0   3   3    0.0055       5.9    4.0   0.0   413   475   372   434   364   438 0.83 | transcript=PVPAM_070009000_t1 | gene=PVPAM_070009000 | organism=Plasmodium_vivax_PAM | gene_product=alpha tubulin 1, putative | transcript_product=alpha tubulin 1, putative | location=CASCJQ010000007:232315-234407(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718992.1         -            450 5700at5820           -            479   3.5e-16   57.5   0.0   1   3     0.034        37    1.4   0.0    57    74    60    77    54    83 0.88 | transcript=PVPAM_050038400_t1 | gene=PVPAM_050038400 | organism=Plasmodium_vivax_PAM | gene_product=alpha tubulin 1, putative | transcript_product=alpha tubulin 1, putative | location=CASCJQ010000005:1428077-1429826(+) | protein_length=450 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718992.1         -            450 5700at5820           -            479   3.5e-16   57.5   0.0   2   3   2.4e-16   2.5e-13   48.1   0.0   106   308    87   289    78   297 0.85 | transcript=PVPAM_050038400_t1 | gene=PVPAM_050038400 | organism=Plasmodium_vivax_PAM | gene_product=alpha tubulin 1, putative | transcript_product=alpha tubulin 1, putative | location=CASCJQ010000005:1428077-1429826(+) | protein_length=450 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718992.1         -            450 5700at5820           -            479   3.5e-16   57.5   0.0   3   3    0.0054       5.8    4.0   0.0   413   475   372   434   364   438 0.83 | transcript=PVPAM_050038400_t1 | gene=PVPAM_050038400 | organism=Plasmodium_vivax_PAM | gene_product=alpha tubulin 1, putative | transcript_product=alpha tubulin 1, putative | location=CASCJQ010000005:1428077-1429826(+) | protein_length=450 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5700at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5700at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5700at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:58 2026
# [ok]
