#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721437.1         -            822 2595at5820           -            752         0 1743.0   6.9   1   2         0         0 1638.6   2.5     1   697    21   718    21   725 1.00 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 2595at5820           -            752         0 1743.0   6.9   2   2   9.2e-34   2.7e-31  106.8   0.1   691   752   743   808   736   808 0.94 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 2595at5820           -            752  2.3e-225  748.5   6.2   1   3   5.7e-18   1.7e-15   54.6   0.3    11   152   275   417   267   426 0.92 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 2595at5820           -            752  2.3e-225  748.5   6.2   2   3  1.2e-105  3.6e-103  344.4   0.4   156   418   444   707   434   717 0.96 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 2595at5820           -            752  2.3e-225  748.5   6.2   3   3  1.3e-107  3.7e-105  351.0   0.0   424   730   760  1082   754  1086 0.89 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 2595at5820           -            752   2.9e-94  315.0   2.6   1   4   1.8e-10   5.2e-08   29.8   0.0   460   518   346   404   336   437 0.84 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 2595at5820           -            752   2.9e-94  315.0   2.6   2   4   5.6e-21   1.6e-18   64.5   0.7   270   409   487   624   471   629 0.87 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 2595at5820           -            752   2.9e-94  315.0   2.6   3   4   4.1e-65   1.2e-62  210.4   0.0   434   651   742   956   736  1002 0.95 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 2595at5820           -            752   2.9e-94  315.0   2.6   4   4    0.0019      0.54    6.6   0.0   655   688  1090  1123  1080  1157 0.81 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723415.1         -           1070 2595at5820           -            752   1.4e-77  259.8   0.4   1   3   1.1e-10   3.2e-08   30.5   0.0   224   410   245   421   210   428 0.83 | transcript=PVPAM_140033700_t1 | gene=PVPAM_140033700 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000014:1228250-1231462(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723415.1         -           1070 2595at5820           -            752   1.4e-77  259.8   0.4   2   3   1.8e-69   5.2e-67  224.9   0.1   446   689   559   801   535   839 0.90 | transcript=PVPAM_140033700_t1 | gene=PVPAM_140033700 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000014:1228250-1231462(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723415.1         -           1070 2595at5820           -            752   1.4e-77  259.8   0.4   3   3      0.15        44    0.3   0.2    25    58   982  1015   977  1061 0.71 | transcript=PVPAM_140033700_t1 | gene=PVPAM_140033700 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000014:1228250-1231462(+) | protein_length=1070 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719980.1         -            447 2595at5820           -            752   9.5e-68  227.3   0.1   1   1   4.4e-70   1.3e-67  226.8   0.1   178   412   183   421   164   436 0.90 | transcript=PVPAM_080020200_t1 | gene=PVPAM_080020200 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=CASCJQ010000008:717094-718726(-) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723281.1         -            420 2595at5820           -            752   5.9e-61  204.8   0.4   1   1   2.8e-63   8.1e-61  204.4   0.4   178   419   154   397   144   409 0.92 | transcript=PVPAM_140020000_t1 | gene=PVPAM_140020000 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=CASCJQ010000014:667717-669210(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720588.1         -            441 2595at5820           -            752   8.7e-61  204.3   0.1   1   1   4.6e-63   1.4e-60  203.6   0.1   151   419   146   423   129   440 0.89 | transcript=PVPAM_090035300_t1 | gene=PVPAM_090035300 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=CASCJQ010000009:1347152-1348477(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723229.1         -            393 2595at5820           -            752   2.1e-58  196.4   0.8   1   1   8.8e-61   2.6e-58  196.1   0.8   173   417   124   370    78   380 0.90 | transcript=PVPAM_140014800_t1 | gene=PVPAM_140014800 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=CASCJQ010000014:461124-462305(-) | protein_length=393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
