#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721855.1         -            585 8614at5820           -            406  5.4e-143  475.2   8.3   1   4   7.8e-88   1.7e-84  282.6   3.9     2   196     4   224     3   226 0.89 | transcript=PVPAM_120008900_t1 | gene=PVPAM_120008900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000012:166379-168136(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721855.1         -            585 8614at5820           -            406  5.4e-143  475.2   8.3   2   4   2.2e-38   4.7e-35  119.7   0.0   197   322   257   420   252   426 0.83 | transcript=PVPAM_120008900_t1 | gene=PVPAM_120008900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000012:166379-168136(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721855.1         -            585 8614at5820           -            406  5.4e-143  475.2   8.3   3   4   9.4e-06      0.02   12.3   0.0   320   354   448   486   443   489 0.81 | transcript=PVPAM_120008900_t1 | gene=PVPAM_120008900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000012:166379-168136(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721855.1         -            585 8614at5820           -            406  5.4e-143  475.2   8.3   4   4   5.8e-20   1.3e-16   59.1   0.0   349   406   510   576   501   576 0.86 | transcript=PVPAM_120008900_t1 | gene=PVPAM_120008900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000012:166379-168136(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720729.1         -            359 8614at5820           -            406   4.7e-17   60.5   6.3   1   2   2.2e-20   4.7e-17   60.5   6.3     3    93    11   105     8   164 0.89 | transcript=PVPAM_090049400_t1 | gene=PVPAM_090049400 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=CASCJQ010000009:1987492-1988571(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720729.1         -            359 8614at5820           -            406   4.7e-17   60.5   6.3   2   2      0.33   7.2e+02   -2.7   0.0   151   178   261   288   246   335 0.59 | transcript=PVPAM_090049400_t1 | gene=PVPAM_090049400 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=CASCJQ010000009:1987492-1988571(+) | protein_length=359 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 8614at5820           -            406   3.5e-09   34.6  22.0   1   4   2.9e-11   6.2e-08   30.4   6.9     2   127   194   322   193   327 0.80 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 8614at5820           -            406   3.5e-09   34.6  22.0   2   4     0.066   1.4e+02   -0.4   0.1   375   405   604   634   554   635 0.68 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 8614at5820           -            406   3.5e-09   34.6  22.0   3   4   1.4e-05     0.031   11.7   0.0     6    89   654   751   650   760 0.81 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 8614at5820           -            406   3.5e-09   34.6  22.0   4   4       0.1   2.2e+02   -1.0   2.1   174   254   941  1024   917  1028 0.73 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
