#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718796.1         -            324 8053at5820           -            274  6.4e-157  519.5   9.9   1   1  1.4e-158  2.3e-156  517.7   9.9     1   274    21   324    21   324 0.94 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 8053at5820           -            274   2.2e-27   94.7   9.0   1   4   1.1e-07   1.8e-05   22.8   0.1     7   255   115   216   107   228 0.48 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 8053at5820           -            274   2.2e-27   94.7   9.0   2   4   1.8e-07   2.8e-05   22.2   0.5    29   110   341   425   322   443 0.86 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 8053at5820           -            274   2.2e-27   94.7   9.0   3   4   2.5e-12     4e-10   38.1   0.2    12    86   493   567   487   578 0.89 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 8053at5820           -            274   2.2e-27   94.7   9.0   4   4   0.00029     0.046   11.6   0.0    10    38   627   655   617   659 0.80 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 8053at5820           -            274   1.7e-21   75.4  32.3   1   7   1.6e-05    0.0026   15.7   0.4   175   252    36   116    23   117 0.88 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 8053at5820           -            274   1.7e-21   75.4  32.3   2   7   1.4e-11   2.3e-09   35.6   5.9    50   131   102   199    97   221 0.77 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 8053at5820           -            274   1.7e-21   75.4  32.3   3   7       1.4   2.2e+02   -0.4   0.0   127   169   250   293   218   302 0.80 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 8053at5820           -            274   1.7e-21   75.4  32.3   4   7      0.25        39    2.0   0.1    94   128   613   647   599   660 0.71 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 8053at5820           -            274   1.7e-21   75.4  32.3   5   7   0.00011     0.017   13.0   0.4    38   126   640   727   612   731 0.73 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 8053at5820           -            274   1.7e-21   75.4  32.3   6   7   8.6e-10   1.4e-07   29.8   2.2    16   135   828   947   821   973 0.84 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 8053at5820           -            274   1.7e-21   75.4  32.3   7   7       4.3   6.9e+02   -2.1   0.0    76   111  1015  1050   997  1053 0.80 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 8053at5820           -            274   3.2e-18   64.6   3.9   1   3   1.8e-12   2.8e-10   38.6   0.2    11   125    17   141     9   143 0.83 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 8053at5820           -            274   3.2e-18   64.6   3.9   2   3   2.6e-11   4.2e-09   34.7   0.5    13   127   112   230   112   236 0.87 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 8053at5820           -            274   3.2e-18   64.6   3.9   3   3    0.0044       0.7    7.8   0.0   214   235   299   320   291   322 0.87 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 8053at5820           -            274   5.9e-18   63.8  26.6   1   2   9.2e-16   1.5e-13   49.3  11.0     9   269    10   258     4   262 0.89 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 8053at5820           -            274   5.9e-18   63.8  26.6   2   2     1e-09   1.6e-07   29.5   7.6    15   125   143   262   138   392 0.58 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 8053at5820           -            274   1.9e-17   62.1  12.2   1   4   1.4e-11   2.1e-09   35.7   1.0     9    95   890   977   887   980 0.90 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 8053at5820           -            274   1.9e-17   62.1  12.2   2   4     3e-08   4.8e-06   24.7   0.9    10   139   976  1112   967  1125 0.77 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 8053at5820           -            274   1.9e-17   62.1  12.2   3   4    0.0051       0.8    7.6   0.2   214   271  1124  1184  1113  1187 0.77 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720949.1         -           1221 8053at5820           -            274   1.9e-17   62.1  12.2   4   4      0.11        18    3.2   0.0    23    50  1167  1194  1150  1201 0.67 | transcript=PVPAM_100021700_t1 | gene=PVPAM_100021700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=CASCJQ010000010:743168-746833(-) | protein_length=1221 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 8053at5820           -            274   7.6e-14   50.3  12.6   1   3   0.00014     0.022   12.7   0.7    11    98   353   440   347   443 0.71 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 8053at5820           -            274   7.6e-14   50.3  12.6   2   3   1.7e-13   2.6e-11   41.9   1.5    14   129   440   556   436   572 0.90 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 8053at5820           -            274   7.6e-14   50.3  12.6   3   3      0.44        69    1.2   0.1    67   117   576   626   568   634 0.63 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 8053at5820           -            274   9.3e-14   50.0  12.8   1   3   0.00014     0.022   12.7   0.7    11    98   362   449   356   452 0.71 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
