#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717650.1         -            107 14652at5820          -             79     7e-41  136.9   8.6   1   1   3.6e-43   1.4e-40  135.9   8.6    10    79    38   107    14   107 0.97 | transcript=PVPAM_010016000_t1 | gene=PVPAM_010016000 | organism=Plasmodium_vivax_PAM | gene_product=centrin, putative | transcript_product=centrin, putative | location=CASCJQ010000001:502123-503026(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722369.1         -            177 14652at5820          -             79   4.1e-10   38.3   9.2   1   2   9.6e-08   3.9e-05   22.3   0.6    10    76    20    86    14    89 0.87 | transcript=PVPAM_120060500_t1 | gene=PVPAM_120060500 | organism=Plasmodium_vivax_PAM | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=CASCJQ010000012:2253591-2255022(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722369.1         -            177 14652at5820          -             79   4.1e-10   38.3   9.2   2   2   1.2e-06    0.0005   18.8   2.5    22    73   101   161    87   167 0.68 | transcript=PVPAM_120060500_t1 | gene=PVPAM_120060500 | organism=Plasmodium_vivax_PAM | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=CASCJQ010000012:2253591-2255022(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717924.1         -            168 14652at5820          -             79   2.6e-09   35.7  13.9   1   2   1.5e-11     6e-09   34.5   0.9     9    73    18    86    12    94 0.90 | transcript=PVPAM_020015600_t1 | gene=PVPAM_020015600 | organism=Plasmodium_vivax_PAM | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=CASCJQ010000002:450095-451406(-) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717924.1         -            168 14652at5820          -             79   2.6e-09   35.7  13.9   2   2     0.022       8.7    5.2   2.8    13    46   130   164   119   167 0.68 | transcript=PVPAM_020015600_t1 | gene=PVPAM_020015600 | organism=Plasmodium_vivax_PAM | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=CASCJQ010000002:450095-451406(-) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722807.1         -            149 14652at5820          -             79     2e-08   32.9   9.5   1   2   6.2e-07   0.00025   19.7   0.1    10    75     3    72     1    76 0.87 | transcript=PVPAM_130030800_t1 | gene=PVPAM_130030800 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1169241-1170239(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722807.1         -            149 14652at5820          -             79     2e-08   32.9   9.5   2   2   6.3e-05     0.026   13.3   5.1    11    73    76   143    69   146 0.76 | transcript=PVPAM_130030800_t1 | gene=PVPAM_130030800 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1169241-1170239(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 14652at5820          -             79   1.6e-06   26.8  13.8   1   3   2.1e-08   8.6e-06   24.4   2.0     9    73    29    97    26   103 0.88 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 14652at5820          -             79   1.6e-06   26.8  13.8   2   3      0.14        58    2.5   0.1    51    71   112   132   107   139 0.87 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 14652at5820          -             79   1.6e-06   26.8  13.8   3   3     0.006       2.4    7.0   1.1    10    46   142   175   136   177 0.82 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720376.1         -            344 14652at5820          -             79   3.1e-06   25.8  18.1   1   4   0.00013     0.054   12.3   1.1    16    71    60   119    57   127 0.87 | transcript=PVPAM_090014100_t1 | gene=PVPAM_090014100 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=CASCJQ010000009:503042-504076(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
