#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721341.1         -            380 7192at5820           -            334  5.6e-206  681.4  19.6   1   1  2.5e-208  6.9e-206  681.1  19.6    10   334    45   376    37   376 0.98 | transcript=PVPAM_110024400_t1 | gene=PVPAM_110024400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:833152-834294(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 7192at5820           -            334   5.2e-51  172.0   9.6   1   1   2.6e-53   7.4e-51  171.5   9.6    10   332    26   354    18   356 0.86 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 7192at5820           -            334   1.9e-35  120.8   5.5   1   2   2.7e-22   7.6e-20   69.5   0.8    12    80     5    78     3   109 0.81 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 7192at5820           -            334   1.9e-35  120.8   5.5   2   2   1.7e-17   4.7e-15   53.8   0.3   207   334   188   320   148   320 0.88 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722526.1         -            406 7192at5820           -            334   1.1e-34  118.3   7.4   1   3   8.3e-20   2.3e-17   61.4   2.7    12   102    83   181    79   190 0.77 | transcript=PVPAM_120076500_t1 | gene=PVPAM_120076500 | organism=Plasmodium_vivax_PAM | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=CASCJQ010000012:3002108-3003951(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722526.1         -            406 7192at5820           -            334   1.1e-34  118.3   7.4   2   3       0.4   1.1e+02   -0.1   0.0   106   131   219   244   212   262 0.82 | transcript=PVPAM_120076500_t1 | gene=PVPAM_120076500 | organism=Plasmodium_vivax_PAM | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=CASCJQ010000012:3002108-3003951(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722526.1         -            406 7192at5820           -            334   1.1e-34  118.3   7.4   3   3   1.1e-18   3.1e-16   57.7   0.0   208   334   267   398   252   398 0.90 | transcript=PVPAM_120076500_t1 | gene=PVPAM_120076500 | organism=Plasmodium_vivax_PAM | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=CASCJQ010000012:3002108-3003951(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718015.1         -            420 7192at5820           -            334   3.3e-32  110.2   4.4   1   2   1.2e-18   3.3e-16   57.6   2.7    12    98    86   182    77   201 0.77 | transcript=PVPAM_020024800_t1 | gene=PVPAM_020024800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=CASCJQ010000002:857690-859715(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718015.1         -            420 7192at5820           -            334   3.3e-32  110.2   4.4   2   2   4.6e-17   1.3e-14   52.3   0.0   208   333   281   411   258   412 0.86 | transcript=PVPAM_020024800_t1 | gene=PVPAM_020024800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=CASCJQ010000002:857690-859715(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718137.1         -            643 7192at5820           -            334   7.8e-26   89.2   0.4   1   2     3e-16   8.4e-14   49.7   0.0    13    85    81   154    67   181 0.86 | transcript=PVPAM_030013300_t1 | gene=PVPAM_030013300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=CASCJQ010000003:381368-383299(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718137.1         -            643 7192at5820           -            334   7.8e-26   89.2   0.4   2   2   1.3e-12   3.6e-10   37.7   0.1   180   332   267   422   240   424 0.87 | transcript=PVPAM_030013300_t1 | gene=PVPAM_030013300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=CASCJQ010000003:381368-383299(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
