#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720839.1         -           1821 2424at5820           -            906         0 1386.1 239.3   1  10   1.9e-39   1.2e-35  121.4   3.6     7    79    93   165    89   173 0.94 | transcript=PVPAM_100010400_t1 | gene=PVPAM_100010400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:256422-261887(-) | protein_length=1821 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720839.1         -           1821 2424at5820           -            906         0 1386.1 239.3   2  10   1.9e-38   1.2e-34  118.0  16.5    72   178   214   342   203   349 0.82 | transcript=PVPAM_100010400_t1 | gene=PVPAM_100010400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:256422-261887(-) | protein_length=1821 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720839.1         -           1821 2424at5820           -            906         0 1386.1 239.3   3  10   4.6e-17     3e-13   47.3   4.6   167   217   360   410   354   431 0.84 | transcript=PVPAM_100010400_t1 | gene=PVPAM_100010400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:256422-261887(-) | protein_length=1821 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720839.1         -           1821 2424at5820           -            906         0 1386.1 239.3   4  10   6.9e-16   4.5e-12   43.4   4.2   209   248   450   489   442   515 0.86 | transcript=PVPAM_100010400_t1 | gene=PVPAM_100010400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:256422-261887(-) | protein_length=1821 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720839.1         -           1821 2424at5820           -            906         0 1386.1 239.3   5  10  3.3e-246  2.1e-242  805.5 102.8   244   690   521   969   513   975 0.97 | transcript=PVPAM_100010400_t1 | gene=PVPAM_100010400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:256422-261887(-) | protein_length=1821 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720839.1         -           1821 2424at5820           -            906         0 1386.1 239.3   6  10   9.9e-07    0.0064   13.1  15.4   678   793  1035  1157  1028  1163 0.64 | transcript=PVPAM_100010400_t1 | gene=PVPAM_100010400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:256422-261887(-) | protein_length=1821 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720839.1         -           1821 2424at5820           -            906         0 1386.1 239.3   7  10     3e-15   1.9e-11   41.3   3.9   711   756  1258  1303  1241  1326 0.83 | transcript=PVPAM_100010400_t1 | gene=PVPAM_100010400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:256422-261887(-) | protein_length=1821 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720839.1         -           1821 2424at5820           -            906         0 1386.1 239.3   8  10    0.0057        37    0.6   0.1   749   766  1335  1352  1319  1356 0.79 | transcript=PVPAM_100010400_t1 | gene=PVPAM_100010400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:256422-261887(-) | protein_length=1821 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720839.1         -           1821 2424at5820           -            906         0 1386.1 239.3   9  10   1.8e-22   1.2e-18   65.2  10.8   748   817  1537  1606  1497  1628 0.83 | transcript=PVPAM_100010400_t1 | gene=PVPAM_100010400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:256422-261887(-) | protein_length=1821 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720839.1         -           1821 2424at5820           -            906         0 1386.1 239.3  10  10   1.2e-57   7.8e-54  181.6  10.1   806   906  1719  1819  1696  1819 0.95 | transcript=PVPAM_100010400_t1 | gene=PVPAM_100010400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:256422-261887(-) | protein_length=1821 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2424at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
