#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721000.1         -            288 9899at5820           -            239  1.1e-139  462.2   2.9   1   1  1.3e-141  1.7e-138  458.3   2.9     1   239    26   283    26   283 0.96 | transcript=PVPAM_100026900_t1 | gene=PVPAM_100026900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=CASCJQ010000010:943007-945208(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722464.1         -           1007 9899at5820           -            239   1.1e-25   89.0   0.3   1   1   1.8e-28   2.3e-25   87.9   0.3    54   191   151   290   134   328 0.88 | transcript=PVPAM_120070100_t1 | gene=PVPAM_120070100 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein YihA2, putative | transcript_product=GTP-binding protein YihA2, putative | location=CASCJQ010000012:2685215-2688238(+) | protein_length=1007 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723437.1         -            289 9899at5820           -            239   5.7e-12   44.1   9.4   1   1   6.1e-15   7.8e-12   43.6   9.4     5   191    56   255    53   283 0.73 | transcript=PVPAM_140035900_t1 | gene=PVPAM_140035900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein YihA3, putative | transcript_product=GTP-binding protein YihA3, putative | location=CASCJQ010000014:1313541-1315300(+) | protein_length=289 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 9899at5820           -            239   1.4e-05   23.1   0.0   1   4      0.95   1.2e+03   -2.8   0.5   161   197    24    62    19    79 0.72 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 9899at5820           -            239   1.4e-05   23.1   0.0   2   4         2   2.6e+03   -3.9   0.0    18    33   112   127   104   130 0.85 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 9899at5820           -            239   1.4e-05   23.1   0.0   3   4       2.2   2.8e+03   -4.0   0.1    11    27   397   413   393   423 0.62 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 9899at5820           -            239   1.4e-05   23.1   0.0   4   4   1.1e-08   1.4e-05   23.1   0.0    55   145   547   642   521   653 0.75 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 9899at5820           -            239   0.00057   17.9   0.2   1   2     0.056        72    1.2   0.2    30    85   259   316   248   323 0.77 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 9899at5820           -            239   0.00057   17.9   0.2   2   2     6e-06    0.0078   14.2   0.0    57   111   322   375   316   390 0.86 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9899at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9899at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9899at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:08 2026
# [ok]
