#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717746.1         -           1418 3833at5820           -            544  1.9e-185  616.1  88.6   1   9   1.7e-27   5.6e-24   83.2   0.0     1    58    47   104    47   116 0.94 | transcript=PVPAM_010026000_t1 | gene=PVPAM_010026000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:939764-944668(+) | protein_length=1418 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717746.1         -           1418 3833at5820           -            544  1.9e-185  616.1  88.6   2   9     3e-63   9.8e-60  201.2   7.6    55   191   136   290   133   306 0.86 | transcript=PVPAM_010026000_t1 | gene=PVPAM_010026000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:939764-944668(+) | protein_length=1418 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717746.1         -           1418 3833at5820           -            544  1.9e-185  616.1  88.6   3   9      0.16   5.1e+02   -2.5   5.9   182   210   466   494   463   498 0.84 | transcript=PVPAM_010026000_t1 | gene=PVPAM_010026000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:939764-944668(+) | protein_length=1418 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717746.1         -           1418 3833at5820           -            544  1.9e-185  616.1  88.6   4   9   4.4e-09   1.4e-05   22.4   0.0   215   239   534   558   526   562 0.87 | transcript=PVPAM_010026000_t1 | gene=PVPAM_010026000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:939764-944668(+) | protein_length=1418 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717746.1         -           1418 3833at5820           -            544  1.9e-185  616.1  88.6   5   9     1e-46   3.3e-43  146.7   2.1   240   346   597   723   591   725 0.89 | transcript=PVPAM_010026000_t1 | gene=PVPAM_010026000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:939764-944668(+) | protein_length=1418 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717746.1         -           1418 3833at5820           -            544  1.9e-185  616.1  88.6   6   9   6.4e-15   2.1e-11   41.7   0.3   343   385   838   880   832   908 0.80 | transcript=PVPAM_010026000_t1 | gene=PVPAM_010026000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:939764-944668(+) | protein_length=1418 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717746.1         -           1418 3833at5820           -            544  1.9e-185  616.1  88.6   7   9   3.4e-06     0.011   12.9   0.5   383   408   916   941   897   951 0.86 | transcript=PVPAM_010026000_t1 | gene=PVPAM_010026000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:939764-944668(+) | protein_length=1418 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717746.1         -           1418 3833at5820           -            544  1.9e-185  616.1  88.6   8   9   1.7e-09   5.6e-06   23.8   5.4   406   445  1099  1143  1094  1148 0.85 | transcript=PVPAM_010026000_t1 | gene=PVPAM_010026000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:939764-944668(+) | protein_length=1418 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717746.1         -           1418 3833at5820           -            544  1.9e-185  616.1  88.6   9   9   7.3e-37   2.4e-33  114.1  19.5   432   544  1250  1385  1231  1385 0.86 | transcript=PVPAM_010026000_t1 | gene=PVPAM_010026000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:939764-944668(+) | protein_length=1418 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723425.1         -            699 3833at5820           -            544   2.3e-06   25.1   0.3   1   5     7e-10   2.3e-06   25.1   0.3     9   149     3   128     1   136 0.79 | transcript=PVPAM_140034700_t1 | gene=PVPAM_140034700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:1262339-1265790(+) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723425.1         -            699 3833at5820           -            544   2.3e-06   25.1   0.3   2   5      0.12   3.9e+02   -2.1   0.0   238   268   226   258   216   263 0.76 | transcript=PVPAM_140034700_t1 | gene=PVPAM_140034700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:1262339-1265790(+) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723425.1         -            699 3833at5820           -            544   2.3e-06   25.1   0.3   3   5         2   6.5e+03  -11.2  13.1   458   508   308   357   260   377 0.44 | transcript=PVPAM_140034700_t1 | gene=PVPAM_140034700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:1262339-1265790(+) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723425.1         -            699 3833at5820           -            544   2.3e-06   25.1   0.3   4   5         2   6.5e+03  -11.4  19.3   429   527   433   517   413   535 0.52 | transcript=PVPAM_140034700_t1 | gene=PVPAM_140034700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:1262339-1265790(+) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723425.1         -            699 3833at5820           -            544   2.3e-06   25.1   0.3   5   5         2   6.5e+03   -9.6  18.8   361   443   580   662   545   695 0.43 | transcript=PVPAM_140034700_t1 | gene=PVPAM_140034700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:1262339-1265790(+) | protein_length=699 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3833at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3833at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3833at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:57 2026
# [ok]
