#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720891.1         -            365 8151at5820           -            356  5.8e-244  807.1   8.5   1   1    1e-246  6.5e-244  806.9   8.5     1   356     1   365     1   365 0.99 | transcript=PVPAM_100015900_t1 | gene=PVPAM_100015900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=CASCJQ010000010:476880-477977(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721268.1         -            367 8151at5820           -            356  1.4e-130  434.0   6.8   1   1  2.5e-133  1.6e-130  433.9   6.8     1   355     1   365     1   366 0.96 | transcript=PVPAM_110017000_t1 | gene=PVPAM_110017000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:514354-517480(+) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721503.1         -            718 8151at5820           -            356   2.5e-08   31.9   0.0   1   1   8.5e-11   5.5e-08   30.8   0.0    65   154   173   264   167   317 0.80 | transcript=PVPAM_110040800_t1 | gene=PVPAM_110040800 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=CASCJQ010000011:1501877-1504033(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723516.1         -            859 8151at5820           -            356   5.4e-08   30.8   0.1   1   2   2.5e-08   1.6e-05   22.6   0.0    64   151   277   367   259   380 0.85 | transcript=PVPAM_140044000_t1 | gene=PVPAM_140044000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=CASCJQ010000014:1635276-1637855(+) | protein_length=859 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723516.1         -            859 8151at5820           -            356   5.4e-08   30.8   0.1   2   2    0.0033       2.1    5.8   0.0    63   124   556   620   538   678 0.84 | transcript=PVPAM_140044000_t1 | gene=PVPAM_140044000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=CASCJQ010000014:1635276-1637855(+) | protein_length=859 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718896.1         -            639 8151at5820           -            356   8.3e-07   26.9   0.7   1   2      0.59   3.8e+02   -1.6   0.2   180   212   295   327   285   359 0.80 | transcript=PVPAM_050028800_t1 | gene=PVPAM_050028800 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000005:994180-996099(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718896.1         -            639 8151at5820           -            356   8.3e-07   26.9   0.7   2   2   3.5e-09   2.3e-06   25.5   0.0    64   128   457   525   448   562 0.77 | transcript=PVPAM_050028800_t1 | gene=PVPAM_050028800 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000005:994180-996099(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 8151at5820           -            356   2.9e-06   25.1   0.1   1   2   5.4e-08   3.5e-05   21.6   0.0    64   153   106   199   102   211 0.81 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 8151at5820           -            356   2.9e-06   25.1   0.1   2   2       0.1        67    0.9   0.0   234   254   326   346   318   397 0.88 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723016.1         -            570 8151at5820           -            356   6.4e-06   24.0   0.1   1   2   3.1e-08     2e-05   22.4   0.0    64   105   224   265   208   273 0.90 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723016.1         -            570 8151at5820           -            356   6.4e-06   24.0   0.1   2   2       1.2   7.5e+02   -2.6   0.0   107   148   336   378   324   388 0.64 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
