#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721554.1         -            627 6270at5820           -            386  1.2e-182  605.7  24.3   1   4   0.00016      0.25    8.8   0.4     1    20    14    33    14    45 0.89 | transcript=PVPAM_110045900_t1 | gene=PVPAM_110045900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:1697467-1699465(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721554.1         -            627 6270at5820           -            386  1.2e-182  605.7  24.3   2   4   6.9e-59   1.1e-55  187.7   4.4    30   138    86   211    67   215 0.87 | transcript=PVPAM_110045900_t1 | gene=PVPAM_110045900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:1697467-1699465(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721554.1         -            627 6270at5820           -            386  1.2e-182  605.7  24.3   3   4   2.2e-81   3.6e-78  261.7   1.9   135   281   286   432   280   436 0.98 | transcript=PVPAM_110045900_t1 | gene=PVPAM_110045900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:1697467-1699465(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721554.1         -            627 6270at5820           -            386  1.2e-182  605.7  24.3   4   4   1.4e-49   2.3e-46  157.0   0.1   281   386   512   623   506   623 0.94 | transcript=PVPAM_110045900_t1 | gene=PVPAM_110045900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:1697467-1699465(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718781.1         -            747 6270at5820           -            386   5.5e-14   50.4  10.7   1   3   0.00028      0.45    7.9   4.9    45   150   258   354   242   357 0.68 | transcript=PVPAM_050017500_t1 | gene=PVPAM_050017500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=CASCJQ010000005:572418-574661(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718781.1         -            747 6270at5820           -            386   5.5e-14   50.4  10.7   2   3   1.8e-09   2.9e-06   25.0   0.2   167   251   342   426   330   441 0.89 | transcript=PVPAM_050017500_t1 | gene=PVPAM_050017500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=CASCJQ010000005:572418-574661(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718781.1         -            747 6270at5820           -            386   5.5e-14   50.4  10.7   3   3   1.2e-08   1.9e-05   22.3   0.1   300   381   573   655   571   658 0.92 | transcript=PVPAM_050017500_t1 | gene=PVPAM_050017500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=CASCJQ010000005:572418-574661(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 6270at5820           -            386   2.4e-05   22.0   0.6   1   2    0.0038       6.1    4.2   0.0   233   276   107   156   104   165 0.68 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 6270at5820           -            386   2.4e-05   22.0   0.6   2   2   1.5e-06    0.0024   15.4   0.1   326   379   331   383   322   389 0.77 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718946.1         -            191 6270at5820           -            386     0.018   12.5   0.0   1   1   1.5e-05     0.024   12.2   0.0   232   336    22   132    16   172 0.76 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
