#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721042.1         -           2696 395at5820            -           2124         0 3748.4  35.5   1   3         0         0 2628.3  14.1     1  1398     1  1730     1  1736 0.95 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 395at5820            -           2124         0 3748.4  35.5   2   3  4.1e-171    1e-168  561.9   1.2  1399  1832  1761  2283  1756  2305 0.80 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721042.1         -           2696 395at5820            -           2124         0 3748.4  35.5   3   3  5.2e-172  1.3e-169  564.9   5.1  1805  2123  2367  2694  2316  2695 0.86 | transcript=PVPAM_100031000_t1 | gene=PVPAM_100031000 | organism=Plasmodium_vivax_PAM | gene_product=RNA polymerase I, putative | transcript_product=RNA polymerase I, putative | location=CASCJQ010000010:1125624-1134013(+) | protein_length=2696 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 395at5820            -           2124  8.2e-146  486.0  72.6   1   7   6.5e-12   1.6e-09   34.0   3.9    11   124    16   128     4   183 0.79 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 395at5820            -           2124  8.2e-146  486.0  72.6   2   7   1.5e-53   3.8e-51  172.0   0.1   455   724   319   585   290   588 0.89 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 395at5820            -           2124  8.2e-146  486.0  72.6   3   7    0.0058       1.4    4.3   0.1   767   790   594   617   590   621 0.86 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 395at5820            -           2124  8.2e-146  486.0  72.6   4   7   1.7e-08   4.3e-06   22.6   0.2   830   913   724   807   704   823 0.85 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 395at5820            -           2124  8.2e-146  486.0  72.6   5   7   5.2e-48   1.3e-45  153.7   0.4  1230  1363   868  1001   824  1026 0.88 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 395at5820            -           2124  8.2e-146  486.0  72.6   6   7   1.7e-24   4.1e-22   75.7   0.1  1451  1546  1327  1426  1295  1451 0.73 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720120.1         -           2380 395at5820            -           2124  8.2e-146  486.0  72.6   7   7   7.5e-19   1.9e-16   57.0   0.7  1981  2119  1825  1962  1813  1966 0.91 | transcript=PVPAM_080034200_t1 | gene=PVPAM_080034200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=CASCJQ010000008:1325412-1332554(-) | protein_length=2380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722064.1         -           1951 395at5820            -           2124  1.7e-131  438.5  49.9   1   8   1.6e-09     4e-07   26.0   6.5    10   118    55   161    48   226 0.88 | transcript=PVPAM_120030200_t1 | gene=PVPAM_120030200 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC1, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC1, putative | location=CASCJQ010000012:978942-985394(+) | protein_length=1951 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
