#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717884.1         -           1473 1087at5820           -            852         0 1459.6  86.1   1   7   0.00026      0.15    8.5   0.0     7    36    40    73    36    85 0.79 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 1087at5820           -            852         0 1459.6  86.1   2   7      0.16        95   -0.8   0.0    36    51   171   186   166   202 0.87 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 1087at5820           -            852         0 1459.6  86.1   3   7   1.6e-17   9.3e-15   52.2   3.0    45    99   227   282   201   289 0.86 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 1087at5820           -            852         0 1459.6  86.1   4   7   1.2e-13   7.2e-11   39.3   0.2    89   135   336   387   316   395 0.81 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 1087at5820           -            852         0 1459.6  86.1   5   7   1.5e-07   8.7e-05   19.2   3.0   145   198   645   706   633   710 0.76 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 1087at5820           -            852         0 1459.6  86.1   6   7         0         0 1023.7  19.3   194   633   768  1208   753  1222 0.97 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 1087at5820           -            852         0 1459.6  86.1   7   7  5.2e-104  3.1e-101  338.3  28.6   633   852  1242  1464  1237  1464 0.98 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720108.1         -           1288 1087at5820           -            852   6.4e-89  297.5  19.2   1   1   1.7e-91   9.8e-89  296.9  19.2   205   607   510   901   489   942 0.85 | transcript=PVPAM_080033000_t1 | gene=PVPAM_080033000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=CASCJQ010000008:1268333-1272199(-) | protein_length=1288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720128.1         -           1388 1087at5820           -            852     7e-67  224.6  29.4   1   3   1.8e-24     1e-21   75.2   3.7   192   311    10   121     3   126 0.92 | transcript=PVPAM_080035000_t1 | gene=PVPAM_080035000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=CASCJQ010000008:1359800-1364145(+) | protein_length=1388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720128.1         -           1388 1087at5820           -            852     7e-67  224.6  29.4   2   3   1.4e-51   8.1e-49  164.9  17.9   338   631   244   527   239   571 0.80 | transcript=PVPAM_080035000_t1 | gene=PVPAM_080035000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=CASCJQ010000008:1359800-1364145(+) | protein_length=1388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720128.1         -           1388 1087at5820           -            852     7e-67  224.6  29.4   3   3      0.78   4.6e+02   -3.0  11.1   695   808   808   929   785   949 0.64 | transcript=PVPAM_080035000_t1 | gene=PVPAM_080035000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=CASCJQ010000008:1359800-1364145(+) | protein_length=1388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 1087at5820           -            852   1.8e-56  190.2  20.5   1   3   3.1e-59   1.8e-56  190.2  20.5   253   734    93   610    26   625 0.78 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 1087at5820           -            852   1.8e-56  190.2  20.5   2   3       2.7   1.6e+03   -4.8   3.6   139   190   657   713   589   739 0.48 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 1087at5820           -            852   1.8e-56  190.2  20.5   3   3       5.7   3.4e+03   -5.9   3.1   717   750   850   883   842   898 0.46 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723786.1         -           1103 1087at5820           -            852   5.2e-51  172.1  11.1   1   3   8.8e-54   5.2e-51  172.1  11.1   169   547     5   374     1   379 0.87 | transcript=PVPAM_140070900_t1 | gene=PVPAM_140070900 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=CASCJQ010000014:2803723-2807172(+) | protein_length=1103 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
