#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720105.1         -           2641 537at5820            -           1767         0 2782.7 297.9   1  15   4.1e-91   5.3e-88  294.6  12.1     1   213    44   289    44   293 0.87 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 537at5820            -           1767         0 2782.7 297.9   2  15   1.6e-46     2e-43  146.7   9.5   211   289   359   437   347   442 0.95 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 537at5820            -           1767         0 2782.7 297.9   3  15  1.1e-132  1.4e-129  432.4  56.7   289   522   465   698   462   707 0.98 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 537at5820            -           1767         0 2782.7 297.9   4  15   7.1e-35   9.2e-32  108.1   0.1   531   596   806   871   798   883 0.93 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 537at5820            -           1767         0 2782.7 297.9   5  15  7.2e-104  9.3e-101  336.9  22.1   594   761   918  1085   915  1091 0.98 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 537at5820            -           1767         0 2782.7 297.9   6  15   2.3e-63   2.9e-60  202.6  11.1   768   888  1132  1252  1116  1254 0.96 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 537at5820            -           1767         0 2782.7 297.9   7  15   2.6e-45   3.3e-42  142.7   2.3   898   984  1310  1396  1305  1398 0.97 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 537at5820            -           1767         0 2782.7 297.9   8  15   1.2e-45   1.6e-42  143.8   6.8   984  1087  1454  1569  1450  1571 0.89 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 537at5820            -           1767         0 2782.7 297.9   9  15    5e-115  6.5e-112  373.8  48.0  1085  1294  1631  1843  1628  1850 0.97 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 537at5820            -           1767         0 2782.7 297.9  10  15   5.5e-14   7.1e-11   38.9   0.3  1284  1318  1880  1914  1872  1934 0.90 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720105.1         -           2641 537at5820            -           1767         0 2782.7 297.9  11  15   0.00013      0.17    7.8   0.3  1317  1339  1966  1988  1963  2000 0.85 | transcript=PVPAM_080032700_t1 | gene=PVPAM_080032700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=CASCJQ010000008:1253024-1261442(-) | protein_length=2641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
