#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721505.1         -            431 9720at5820           -            257  1.2e-111  370.7   1.4   1   3    0.0028       2.2    6.0   0.0     1    18    60    77    60    81 0.91 | transcript=PVPAM_110041000_t1 | gene=PVPAM_110041000 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=CASCJQ010000011:1506532-1507827(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721505.1         -            431 9720at5820           -            257  1.2e-111  370.7   1.4   2   3   2.3e-64   1.8e-61  206.2   0.2    16   137    96   223    89   228 0.93 | transcript=PVPAM_110041000_t1 | gene=PVPAM_110041000 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=CASCJQ010000011:1506532-1507827(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721505.1         -            431 9720at5820           -            257  1.2e-111  370.7   1.4   3   3   4.6e-49   3.7e-46  156.1   0.0   137   253   285   414   281   418 0.88 | transcript=PVPAM_110041000_t1 | gene=PVPAM_110041000 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=CASCJQ010000011:1506532-1507827(+) | protein_length=431 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 9720at5820           -            257   3.6e-55  185.6  67.5   1  10         1   8.2e+02   -2.4   0.1    54    68   288   302   282   357 0.44 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 9720at5820           -            257   3.6e-55  185.6  67.5   2  10   5.7e-06    0.0046   14.9   2.5   120   236   503   613   458   631 0.73 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 9720at5820           -            257   3.6e-55  185.6  67.5   3  10      0.69   5.5e+02   -1.8   0.0     3    43   657   696   655   703 0.74 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 9720at5820           -            257   3.6e-55  185.6  67.5   4  10   1.2e-13   9.8e-11   40.0   0.5    90   206   819   938   808   972 0.79 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 9720at5820           -            257   3.6e-55  185.6  67.5   5  10      0.83   6.7e+02   -2.1   0.0     2    43  1034  1075  1033  1080 0.82 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 9720at5820           -            257   3.6e-55  185.6  67.5   6  10   9.4e-19   7.6e-16   56.7   9.3    45   194  1124  1279  1116  1337 0.71 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 9720at5820           -            257   3.6e-55  185.6  67.5   7  10   7.8e-06    0.0063   14.4   2.9   146   191  1621  1666  1517  1673 0.62 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718523.1         -           2215 9720at5820           -            257   3.6e-55  185.6  67.5   8  10   0.00031      0.25    9.2   0.3    65   112  1674  1726  1666  1745 0.77 | transcript=PVPAM_040026700_t1 | gene=PVPAM_040026700 | organism=Plasmodium_vivax_PAM | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=CASCJQ010000004:906187-912834(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
