#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723426.1         -            318 12286at5820          -            258  1.5e-118  393.3 109.7   1   2   2.8e-85   6.2e-83  276.6  82.1     1   186     1   207     1   208 0.85 | transcript=PVPAM_140034800_t1 | gene=PVPAM_140034800 | organism=Plasmodium_vivax_PAM | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=CASCJQ010000014:1267733-1269184(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723426.1         -            318 12286at5820          -            258  1.5e-118  393.3 109.7   2   2   1.2e-37   2.6e-35  120.5  43.6   141   258   189   316   188   316 0.73 | transcript=PVPAM_140034800_t1 | gene=PVPAM_140034800 | organism=Plasmodium_vivax_PAM | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=CASCJQ010000014:1267733-1269184(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721902.1         -           1083 12286at5820          -            258   0.00012   20.0  11.5   1   1   1.2e-06   0.00026   18.9  11.5   149   213   110   172    89   189 0.54 | transcript=PVPAM_120013600_t1 | gene=PVPAM_120013600 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:355647-359050(-) | protein_length=1083 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718108.1         -            824 12286at5820          -            258   0.00023   19.1  30.5   1   1   3.2e-06   0.00071   17.5  30.5   123   179   330   385   319   398 0.66 | transcript=PVPAM_030010400_t1 | gene=PVPAM_030010400 | organism=Plasmodium_vivax_PAM | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=CASCJQ010000003:267451-270102(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 12286at5820          -            258   0.00038   18.4  31.0   1   2   1.7e-06   0.00038   18.4  31.0   107   191   212   295   191   345 0.41 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 12286at5820          -            258   0.00038   18.4  31.0   2   2      0.67   1.5e+02    0.0  10.9   157   196   536   565   487   609 0.55 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717785.1         -           1679 12286at5820          -            258    0.0016   16.3  19.0   1   2       8.7   1.9e+03   -3.6  12.3   131   188  1003  1060   972  1089 0.48 | transcript=PVPAM_010029900_t1 | gene=PVPAM_010029900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:1108280-1116664(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717785.1         -           1679 12286at5820          -            258    0.0016   16.3  19.0   2   2   7.3e-06    0.0016   16.3  19.0   142   210  1228  1298  1201  1305 0.50 | transcript=PVPAM_010029900_t1 | gene=PVPAM_010029900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:1108280-1116664(-) | protein_length=1679 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723254.1         -            467 12286at5820          -            258    0.0048   14.7   5.6   1   1   3.4e-05    0.0077   14.1   5.6   153   212    72   134    57   176 0.48 | transcript=PVPAM_140017300_t1 | gene=PVPAM_140017300 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine recombinase, putative | transcript_product=tyrosine recombinase, putative | location=CASCJQ010000014:572490-575580(-) | protein_length=467 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723726.1         -            304 12286at5820          -            258      0.01   13.7  18.0   1   1   6.6e-05     0.015   13.1  18.0   133   223    74   162    30   171 0.49 | transcript=PVPAM_140065000_t1 | gene=PVPAM_140065000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:2564993-2566570(-) | protein_length=304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722095.1         -            822 12286at5820          -            258     0.013   13.4   3.4   1   1   0.00011     0.024   12.5   3.4   160   194   506   539   496   573 0.48 | transcript=PVPAM_120033300_t1 | gene=PVPAM_120033300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1120143-1122876(-) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 12286at5820          -            258     0.015   13.1  17.9   1   1   0.00012     0.026   12.4  17.9   134   193    96   155    91   174 0.52 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721488.1         -            145 12286at5820          -            258     0.028   12.2  19.7   1   1   0.00015     0.032   12.0  19.7   146   189    12    55     2    81 0.40 | transcript=PVPAM_110039300_t1 | gene=PVPAM_110039300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000011:1430926-1431363(+) | protein_length=145 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720524.1         -           1468 12286at5820          -            258     0.029   12.2  23.3   1   1   0.00027     0.059   11.2  23.3   145   195   821   870   802   876 0.45 | transcript=PVPAM_090028900_t1 | gene=PVPAM_090028900 | organism=Plasmodium_vivax_PAM | gene_product=BEACH domain-containing protein, putative | transcript_product=BEACH domain-containing protein, putative | location=CASCJQ010000009:1108348-1112754(-) | protein_length=1468 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723660.1         -            710 12286at5820          -            258     0.061   11.1  34.3   1   1   0.00059      0.13   10.0  34.3   145   183   666   704   633   710 0.49 | transcript=PVPAM_140058400_t1 | gene=PVPAM_140058400 | organism=Plasmodium_vivax_PAM | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=CASCJQ010000014:2315160-2317685(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720305.1         -            350 12286at5820          -            258      0.11   10.3  14.6   1   1   0.00079      0.18    9.6  14.6   131   158   136   163   114   181 0.46 | transcript=PVPAM_090006900_t1 | gene=PVPAM_090006900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:143764-144939(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 12286at5820          -            258      0.11   10.3  54.3   1   2   3.8e-05    0.0085   13.9  20.6   119   210   202   288   192   306 0.54 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 12286at5820          -            258      0.11   10.3  54.3   2   2      0.22        48    1.6  25.7   126   193   398   456   383   491 0.40 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721986.1         -            139 12286at5820          -            258      0.15    9.9  41.5   1   1   0.00091       0.2    9.4  41.5   134   193    78   135    54   138 0.55 | transcript=PVPAM_120022500_t1 | gene=PVPAM_120022500 | organism=Plasmodium_vivax_PAM | gene_product=parasitophorous vacuolar protein 3, putative | transcript_product=parasitophorous vacuolar protein 3, putative | location=CASCJQ010000012:735464-735883(+) | protein_length=139 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723273.1         -            158 12286at5820          -            258      0.18    9.6  20.9   1   1   0.00091       0.2    9.4  20.9   131   187    99   155    40   158 0.52 | transcript=PVPAM_140019200_t1 | gene=PVPAM_140019200 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=CASCJQ010000014:645115-645591(-) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718579.1         -            376 12286at5820          -            258      0.22    9.3  98.1   1   2     0.049        11    3.8  40.2   112   189   175   261   168   263 0.39 | transcript=PVPAM_040032300_t1 | gene=PVPAM_040032300 | organism=Plasmodium_vivax_PAM | gene_product=protein MAK16, putative | transcript_product=protein MAK16, putative | location=CASCJQ010000004:1130504-1131876(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718579.1         -            376 12286at5820          -            258      0.22    9.3  98.1   2   2    0.0013      0.29    8.9  65.7   141   225   253   340   251   350 0.69 | transcript=PVPAM_040032300_t1 | gene=PVPAM_040032300 | organism=Plasmodium_vivax_PAM | gene_product=protein MAK16, putative | transcript_product=protein MAK16, putative | location=CASCJQ010000004:1130504-1131876(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
