#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719798.1         -            341 7756at5820           -            296  6.8e-196  647.9   8.5   1   1  6.5e-198  8.6e-196  647.6   8.5     1   296    27   339    27   339 0.97 | transcript=PVPAM_070041200_t1 | gene=PVPAM_070041200 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=CASCJQ010000007:1475268-1476949(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723804.1         -            755 7756at5820           -            296   1.5e-64  216.7   5.8   1   2       0.1        13    3.5   0.2    33    69   132   168   114   219 0.77 | transcript=PVPAM_140072700_t1 | gene=PVPAM_140072700 | organism=Plasmodium_vivax_PAM | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=CASCJQ010000014:2870308-2872708(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723804.1         -            755 7756at5820           -            296   1.5e-64  216.7   5.8   2   2   3.6e-66   4.7e-64  215.1   1.4     4   277   426   718   423   733 0.92 | transcript=PVPAM_140072700_t1 | gene=PVPAM_140072700 | organism=Plasmodium_vivax_PAM | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=CASCJQ010000014:2870308-2872708(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 7756at5820           -            296   6.7e-52  175.2   1.0   1   1   7.3e-54   9.7e-52  174.7   0.2     4   256   539   807   536   835 0.89 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722343.1         -            861 7756at5820           -            296   2.2e-36  124.3   7.4   1   1   1.6e-38   2.2e-36  124.3   7.4    11   252   485   738   477   749 0.85 | transcript=PVPAM_120057900_t1 | gene=PVPAM_120057900 | organism=Plasmodium_vivax_PAM | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=CASCJQ010000012:2138523-2141108(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721289.1         -           4017 7756at5820           -            296   1.7e-29  101.6   1.1   1   2     0.015         2    6.2   0.0    39   122   969  1063   949  1076 0.77 | transcript=PVPAM_110019100_t1 | gene=PVPAM_110019100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK3, putative | transcript_product=serine/threonine protein kinase ARK3, putative | location=CASCJQ010000011:590696-602749(-) | protein_length=4017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721289.1         -           4017 7756at5820           -            296   1.7e-29  101.6   1.1   2   2   5.4e-29   7.1e-27   93.0   0.7     7   233  1187  1429  1183  1459 0.85 | transcript=PVPAM_110019100_t1 | gene=PVPAM_110019100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK3, putative | transcript_product=serine/threonine protein kinase ARK3, putative | location=CASCJQ010000011:590696-602749(-) | protein_length=4017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 7756at5820           -            296   5.6e-29   99.9   3.7   1   1   7.1e-31   9.4e-29   99.2   3.7     5   250    69   331    66   358 0.83 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723731.1         -            508 7756at5820           -            296   8.1e-28   96.1   2.5   1   1     1e-29   1.3e-27   95.4   2.5    11   248   115   364   107   396 0.78 | transcript=PVPAM_140065500_t1 | gene=PVPAM_140065500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=CASCJQ010000014:2591167-2592693(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 7756at5820           -            296     2e-27   94.8   2.5   1   1   2.5e-29   3.3e-27   94.1   2.5    12   270   165   439   154   461 0.78 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720502.1         -            561 7756at5820           -            296   7.4e-27   93.0  10.5   1   2   8.1e-22   1.1e-19   69.5   2.3     2   154    30   188    29   199 0.88 | transcript=PVPAM_090026700_t1 | gene=PVPAM_090026700 | organism=Plasmodium_vivax_PAM | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=CASCJQ010000009:990615-992300(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
