#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719674.1         -            783 3000at5820           -            638         0 1323.0  25.7   1   1         0         0 1322.6  25.7    25   638   156   783   130   783 0.96 | transcript=PVPAM_070028800_t1 | gene=PVPAM_070028800 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=CASCJQ010000007:1041436-1043787(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718130.1         -            843 3000at5820           -            638   3.4e-85  285.3  11.1   1   2     0.091   1.2e+02   -0.7   0.1   100   135    50    85    37   101 0.77 | transcript=PVPAM_030012600_t1 | gene=PVPAM_030012600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=CASCJQ010000003:352504-356442(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718130.1         -            843 3000at5820           -            638   3.4e-85  285.3  11.1   2   2   2.6e-88   3.4e-85  285.3  11.1    57   552   241   744   220   757 0.90 | transcript=PVPAM_030012600_t1 | gene=PVPAM_030012600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=CASCJQ010000003:352504-356442(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723511.1         -           1104 3000at5820           -            638   2.7e-61  206.3  22.7   1   2   1.3e-10   1.7e-07   28.6   0.4    61   112   466   516   447   525 0.79 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723511.1         -           1104 3000at5820           -            638   2.7e-61  206.3  22.7   2   2     1e-56   1.3e-53  180.9  16.4   117   615   554  1067   547  1081 0.80 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718832.1         -            662 3000at5820           -            638   3.3e-25   87.1  11.6   1   2   2.2e-27   2.8e-24   84.0  10.0    62   552    47   572    21   593 0.74 | transcript=PVPAM_050022600_t1 | gene=PVPAM_050022600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=CASCJQ010000005:760367-762355(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718832.1         -            662 3000at5820           -            638   3.3e-25   87.1  11.6   2   2      0.17   2.2e+02   -1.5   0.0   488   517   594   622   576   660 0.57 | transcript=PVPAM_050022600_t1 | gene=PVPAM_050022600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=CASCJQ010000005:760367-762355(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718830.1         -            705 3000at5820           -            638   1.8e-21   74.7  11.4   1   3   3.1e-14     4e-11   40.5   1.4    63   276    66   263    63   288 0.85 | transcript=PVPAM_050022400_t1 | gene=PVPAM_050022400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=CASCJQ010000005:754026-756143(-) | protein_length=705 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718830.1         -            705 3000at5820           -            638   1.8e-21   74.7  11.4   2   3   4.2e-11   5.5e-08   30.2   0.3   329   575   364   624   360   633 0.79 | transcript=PVPAM_050022400_t1 | gene=PVPAM_050022400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=CASCJQ010000005:754026-756143(-) | protein_length=705 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718830.1         -            705 3000at5820           -            638   1.8e-21   74.7  11.4   3   3    0.0026       3.3    4.5   0.1   426   478   638   690   632   698 0.73 | transcript=PVPAM_050022400_t1 | gene=PVPAM_050022400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=CASCJQ010000005:754026-756143(-) | protein_length=705 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3000at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3000at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3000at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:57 2026
# [ok]
